"history_id","item","revision_label","effective_change_order","snapshot_json","effective_date"
"REV-2026-0001","RES-001249","01","ECO-2026-0047","{""apn"":""RES-001249"",""revision"":""01"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Released tolerance note for sensor hub BOM""}","03-Aug-2026 08:52:14"
"REV-2026-0002","CAP-000983","01","ECO-2026-0045","{""apn"":""CAP-000983"",""revision"":""01"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Lower ESR capacitor snapshot for ripple improvement""}","03-Aug-2026 11:58:33"
"REV-2026-0003","IND-000377","00","ECO-2026-0047","{""apn"":""IND-000377"",""revision"":""00"",""part_status"":""In_Work"",""lifecycle_phase"":""Design"",""reason"":""Design snapshot pending DCR and thermal review""}","03-Aug-2026 16:08:44"
"REV-2026-0004","CON-000742","02","ECO-2026-0046","{""apn"":""CON-000742"",""revision"":""02"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Low profile service connector release snapshot""}","08-Aug-2026 10:05:45"
"REV-2026-0005","SWT-000290","00","PCO-2026-0033","{""apn"":""SWT-000290"",""revision"":""00"",""part_status"":""Obsolete"",""lifecycle_phase"":""Abandoned"",""reason"":""Obsolete duplicate tactile switch snapshot""}","12-Aug-2026 09:42:18"
"REV-2026-0006","PCB-000519","02","ECO-2026-0048","{""apn"":""PCB-000519"",""revision"":""02"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""PCB revision B release snapshot""}","05-Aug-2026 12:30:20"
"REV-2026-0007","MOT-00165","00","DEV-2026-0017","{""apn"":""MOT-00165"",""revision"":""00"",""part_status"":""In_Work"",""lifecycle_phase"":""Design"",""reason"":""Motor design snapshot with encoder routing deviation""}","06-Aug-2026 16:48:51"
"REV-2026-0008","GEA-00094","01","MCO-2026-0031","{""apn"":""GEA-00094"",""revision"":""01"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Gearbox work cell tooling snapshot""}","07-Aug-2026 09:12:36"
"REV-2026-0009","BRG-00448","00","MCO-2026-0032","{""apn"":""BRG-00448"",""revision"":""00"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Bearing fixture instruction snapshot""}","08-Aug-2026 12:44:09"
"REV-2026-0010","FAS-01323","00","MCO-2026-0027","{""apn"":""FAS-01323"",""revision"":""00"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Stainless screw kitting snapshot""}","09-Aug-2026 17:21:03"
