"Vendor_Code","Vendor_Name","Vendor_Type","Tax_ID","Website.value","Website.url","Website.title","Primary_Email","Phone","Address.address_line_1","Address.address_line_2","Address.district_city","Address.state_province","Address.postal_Code","Address.country","Vendor_Status","Risk_Level","Overall_Score","Evaluation_Score","Risk_Score","Performance_Score","Last_Evaluation_Date","Last_Performance_Review_Date","Vendor_Tier","Internal_Notes"
"4001","Apex Industrial Components","Manufacturer","US-EIN-27-1846392","https://www.apexindustrial.com","https://www.apexindustrial.com","Apex Industrial Components Website","apex.industrial@zylker.com","+14155552001","1250 Forge Parkway","Suite 400","Chicago","Illinois","60606","United States","Approved","Low","91.25","93.50","12.00","88.75","06-Aug-2026","06-Aug-2026","Preferred","Strong quality history and reliable delivery for core component categories."
"4002","BrightSource Distribution","Distributor","CA-BN-782345619","https://www.brightsourcedist.com","https://www.brightsourcedist.com","BrightSource Distribution Website","brightsource.distribution@zylker.com","+14165552002","88 King Street West","Floor 12","Toronto","Ontario","M5H 2N2","Canada","Registered","Medium","72.40","75.00","38.50","68.75","03-Aug-2026","08-Aug-2026","Conditional","Registration documents received and insurance certificate is pending final verification."
"4003","NovaTech Field Services","Service Provider","UK-VAT-GB318245779","https://www.novatechfield.com","https://www.novatechfield.com","NovaTech Field Services Website","novatech.field@zylker.com","+442071835003","41 Shoreditch High Street","Unit 6","London","England","EC2A 4BX","United Kingdom","Onboarded","Low","86.10","88.25","18.75","84.50","04-Aug-2026","05-Aug-2026","Approved","Service onboarding is complete with positive response times during pilot support."
"4004","GreenLine Packaging","Manufacturer","DE-VAT-DE248139657","https://www.greenlinepackaging.com","https://www.greenlinepackaging.com","GreenLine Packaging Website","greenline.packaging@zylker.com","+49405552004","Am Sandtorkai 52","Building B","Hamburg","Hamburg","20457","Germany","Under Evaluation","Medium","67.80","71.25","44.00","62.40","05-Aug-2026","06-Aug-2026","Conditional","Sustainability evidence is strong but capacity planning documentation needs review."
"4005","Sterling Office Supplies","Distributor","US-EIN-14-5028936","https://www.sterlingoffice.com","https://www.sterlingoffice.com","Sterling Office Supplies Website","sterling.office@zylker.com","+16175552005","210 Congress Street","Suite 310","Boston","Massachusetts","02110","United States","Approved","Low","84.55","82.75","20.50","87.25","06-Aug-2026","07-Aug-2026","Approved","Reliable catalog supplier for routine office materials and small equipment purchases."
"4006","Quantum Safety Systems","Manufacturer","US-EIN-31-7742905","https://www.quantumsafety.com","https://www.quantumsafety.com","Quantum Safety Systems Website","quantum.safety@zylker.com","+12145552006","3900 Safety Way","Suite 210","Dallas","Texas","75201","United States","Risk Review","High","54.30","64.00","76.25","49.00","07-Aug-2026","09-Aug-2026","Watchlist","Open corrective actions remain for product certification and incident reporting controls."
"4007","Harbor Logistics Partners","Service Provider","US-EIN-45-6920184","https://www.harborlogistics.com","https://www.harborlogistics.com","Harbor Logistics Partners Website","harbor.logistics@zylker.com","+12065552007","77 Pier Avenue","Dock Office 2","Seattle","Washington","98101","United States","Onboarding","Medium","73.90","76.50","41.25","70.00","08-Aug-2026","03-Aug-2026","Conditional","Onboarding is progressing with route coverage and insurance review still in progress."
"4008","Meridian Compliance Advisors","Consultant","SG-UEN-201934567K","https://www.meridiancompliance.com","https://www.meridiancompliance.com","Meridian Compliance Advisors Website","meridian.compliance@zylker.com","+6565552008","10 Marina Boulevard","Level 24","Singapore","Central Region","018983","Singapore","Approved","Low","89.70","91.00","14.25","86.60","09-Aug-2026","04-Aug-2026","Preferred","Advisor has strong regulatory expertise and consistently clear remediation guidance."
"4009","Atlas Metal Works","Manufacturer","US-EIN-22-4198765","https://www.atlasmetalworks.com","https://www.atlasmetalworks.com","Atlas Metal Works Website","atlas.metal@zylker.com","+13125552009","6400 Industrial Drive","Bay 8","Detroit","Michigan","48226","United States","Suspended","High","42.60","60.00","80.00","28.00","10-Aug-2026","11-Aug-2026","Watchlist","Shipments are paused due to repeated nonconforming lots and delayed corrective actions."
"4010","BluePeak Technology Solutions","Service Provider","IN-GST-29AABCB4521F1Z7","https://www.bluepeaktech.com","https://www.bluepeaktech.com","BluePeak Technology Solutions Website","bluepeak.tech@zylker.com","+918055520010","52 Outer Ring Road","Tower 3","Bengaluru","Karnataka","560103","India","Approved","Low","88.85","90.50","16.50","85.75","11-Aug-2026","12-Aug-2026","Preferred","Technology support vendor meets service levels and maintains strong security documentation."
