"Onboarding_Number","Vendor","Onboarding_Start_Date","Assigned_To","Onboarding_Status","Target_Completion_Date","Completion_Date","Bank_Details_Received","Contract_Signed","Compliance_Clearance","ERP_Created","Onboarding_Score","Remarks"
"8001","Apex Industrial Components","01-Aug-2026","maya.patel@zylker.com","Completed","06-Aug-2026","06-Aug-2026","true","true","true","true","100.00","All onboarding tasks are complete and supplier is ready for active purchasing."
"8002","BrightSource Distribution","03-Aug-2026","ethan.chen@zylker.com","Pending Documents","12-Aug-2026","","false","false","true","false","45.00","Insurance certificate and banking confirmation are still pending from the vendor contact."
"8003","NovaTech Field Services","04-Aug-2026","priya.shah@zylker.com","Completed","08-Aug-2026","06-Aug-2026","true","true","true","true","96.00","Service setup was completed early with contract and compliance evidence verified."
"8004","GreenLine Packaging","05-Aug-2026","liam.davis@zylker.com","In Progress","14-Aug-2026","","true","false","false","false","52.00","Capacity planning review is underway and sustainability evidence needs final approval."
"8005","Sterling Office Supplies","02-Aug-2026","olivia.brown@zylker.com","Completed","07-Aug-2026","06-Aug-2026","true","true","true","true","94.00","Catalog supplier onboarding is complete and routine ordering can begin."
"8006","Quantum Safety Systems","03-Aug-2026","isabella.clark@zylker.com","Rejected","10-Aug-2026","","true","false","false","false","28.00","Onboarding was rejected due to unresolved certification gaps and open corrective actions."
"8007","Harbor Logistics Partners","06-Aug-2026","chloe.wright@zylker.com","In Progress","16-Aug-2026","","true","true","false","false","63.00","Route coverage setup is progressing while compliance clearance remains under review."
"8008","Meridian Compliance Advisors","06-Aug-2026","sophia.lee@zylker.com","Completed","09-Aug-2026","08-Aug-2026","true","true","true","true","98.00","Advisory vendor completed all onboarding checkpoints with strong documentation."
"8009","Atlas Metal Works","01-Aug-2026","ava.martin@zylker.com","Rejected","05-Aug-2026","","false","false","false","false","18.00","Onboarding did not proceed because quality concerns remain unresolved."
"8010","BluePeak Technology Solutions","06-Aug-2026","arjun.menon@zylker.com","Completed","12-Aug-2026","11-Aug-2026","true","true","true","true","95.00","Technology support setup and security verification were completed successfully."
"8011","Sunrise Chemical Supply","01-Aug-2026","noor.ahmed@zylker.com","Pending Documents","15-Aug-2026","","true","false","false","false","34.00","Hazardous material insurance and compliance documents require replacement before approval."
"8012","Northstar Facilities Group","07-Aug-2026","mason.hall@zylker.com","Pending Approval","18-Aug-2026","","true","true","true","false","82.00","Facilities scope is confirmed and ERP creation is awaiting final approval."
"8013","CoreBridge Consulting","08-Aug-2026","ryan.moore@zylker.com","Completed","15-Aug-2026","14-Aug-2026","true","true","true","true","91.00","Consulting engagement setup is complete with finance and contract checks cleared."
"8014","Summit Electrical Contractors","05-Aug-2026","hannah.walker@zylker.com","In Progress","17-Aug-2026","","true","false","true","false","59.00","Safety briefing is being arranged before contract confirmation can be completed."
"8015","EcoWare Manufacturing","09-Aug-2026","elena.rossi@zylker.com","Pending Approval","19-Aug-2026","","true","true","true","false","76.00","Manufacturing audit evidence is acceptable and ERP setup is pending approval."
"8016","Redwood Maintenance Services","10-Aug-2026","jason.reed@zylker.com","Not Started","20-Aug-2026","","false","false","false","false","10.00","Initial onboarding invitation has been sent and no checklist items are complete yet."
"8017","Vertex Precision Tools","01-Aug-2026","priya.shah@zylker.com","Completed","08-Aug-2026","07-Aug-2026","true","true","true","true","99.00","Preferred tooling supplier was fully onboarded with all readiness checks complete."
"8018","Horizon Medical Supplies","04-Aug-2026","sarah.jones@zylker.com","Completed","12-Aug-2026","10-Aug-2026","true","true","true","true","88.00","Medical supply onboarding is complete with finance and risk documentation approved."
"8019","Silverline Print Services","03-Aug-2026","aisha.khan@zylker.com","Not Started","17-Aug-2026","","false","false","false","false","5.00","Prospective vendor profile is open and onboarding tasks have not started."
"8020","TerraBuild Contractors","06-Aug-2026","mason.hall@zylker.com","Pending Documents","19-Aug-2026","","true","false","false","false","41.00","Subcontractor closeout documentation and signed contract evidence are still pending."
"8021","CloudAxis Software Services","02-Aug-2026","marcus.rivera@zylker.com","Completed","09-Aug-2026","06-Aug-2026","true","true","true","true","97.00","Software service onboarding is complete and support integration is ready for launch."
"8022","Keystone Mechanical Systems","07-Aug-2026","daniela.costa@zylker.com","Completed","14-Aug-2026","12-Aug-2026","true","true","true","true","89.00","Mechanical supplier onboarding finished with inspection evidence confirmed."
"8023","Pacific Components Depot","05-Aug-2026","lily.campbell@zylker.com","Pending Documents","16-Aug-2026","","false","true","false","false","46.00","Product origin evidence and banking confirmation are needed before the next review."
