"Registration_Number","Vendor","Registration_Date","Submitted_By_Email","Registration_Status","Business_Summary","Years_In_Business","Annual_Turnover","Employee_Count","Declaration_Accepted","Registration_Score","Reviewer_Comments"
"5001","Apex Industrial Components","06-Aug-2026","apex.industrial@zylker.com","Accepted","Manufacturer of precision industrial components for production maintenance and replacement part programs.","18","24500000.00","420","true","96.00","Registration accepted after tax quality and capacity evidence were verified."
"5002","BrightSource Distribution","03-Aug-2026","brightsource.distribution@zylker.com","Clarification Required","Distributor supporting regional component fulfillment and indirect procurement supply programs.","9","8700000.00","135","true","67.50","Requested updated insurance certificate and banking confirmation before final acceptance."
"5003","NovaTech Field Services","04-Aug-2026","novatech.field@zylker.com","Accepted","Service provider offering technician dispatch and equipment repair support for operational teams.","12","15600000.00","260","true","92.25","Registration accepted with complete service capability and contract evidence."
"5004","GreenLine Packaging","05-Aug-2026","greenline.packaging@zylker.com","Under Review","Packaging manufacturer focused on recycled corrugate cartons and sustainable shipment materials.","7","5200000.75","85","true","61.75","Sustainability evidence is promising and capacity planning documents are still being reviewed."
"5005","Sterling Office Supplies","02-Aug-2026","sterling.office@zylker.com","Accepted","Distributor of office essentials and routine workplace supply catalog items for multiple departments.","22","12400000.25","190","true","88.40","Registration accepted because tax profile and routine supplier documentation are complete."
"5006","Quantum Safety Systems","03-Aug-2026","quantum.safety@zylker.com","Rejected","Manufacturer of industrial safety systems and plant access protection products.","15","18250000.00","310","true","30.00","Registration rejected until product certification gaps and corrective actions are resolved."
"5007","Harbor Logistics Partners","06-Aug-2026","harbor.logistics@zylker.com","Under Review","Logistics service provider supporting route coordination and regional shipment follow up.","11","9800000.50","145","true","70.25","Route coverage details are under review and insurance validation remains open."
"5008","Meridian Compliance Advisors","06-Aug-2026","meridian.compliance@zylker.com","Accepted","Compliance consulting firm providing regulatory advisory support and remediation planning.","14","7600000.00","72","true","95.50","Registration accepted with strong regulatory credentials and validated KYC evidence."
"5009","Atlas Metal Works","01-Aug-2026","atlas.metal@zylker.com","Rejected","Metal fabrication manufacturer serving legacy tooling and custom machined part requirements.","28","31200000.00","540","true","24.75","Registration rejected due to repeated quality concerns and unresolved corrective action history."
"5010","BluePeak Technology Solutions","06-Aug-2026","bluepeak.tech@zylker.com","Accepted","Technology service provider offering managed application support and integration monitoring.","10","21400000.00","380","true","93.80","Registration accepted after security compliance and support readiness evidence were verified."
"5011","Sunrise Chemical Supply","07-Aug-2026","sunrise.chemical@zylker.com","Clarification Required","Chemical distributor supplying regulated industrial materials and handling support programs.","19","27600000.80","460","true","42.90","Clarification requested for hazardous material insurance coverage and renewed compliance evidence."
"5012","Northstar Facilities Group","07-Aug-2026","northstar.facilities@zylker.com","Accepted","Facilities contractor providing preventive maintenance and service coordination for office locations.","16","13800000.00","220","true","84.75","Registration accepted with clear service scope and current onboarding documentation."
"5013","CoreBridge Consulting","08-Aug-2026","corebridge.consulting@zylker.com","Accepted","Business consulting firm supporting procurement process assessments and improvement planning.","8","6400000.00","65","true","87.20","Registration accepted after financial statement and engagement profile review."
"5014","Summit Electrical Contractors","05-Aug-2026","summit.electrical@zylker.com","Under Review","Electrical contractor providing safety inspection and site remediation support services.","21","11500000.00","180","true","58.60","Safety briefing evidence and site access readiness are still under review."
"5015","EcoWare Manufacturing","09-Aug-2026","ecoware.manufacturing@zylker.com","Under Review","Manufacturer of biobased containers and recycled material products for sustainable sourcing needs.","6","4300000.00","96","true","55.40","Manufacturing audit evidence is being checked before the registration can be accepted."
"5016","Redwood Maintenance Services","10-Aug-2026","redwood.maintenance@zylker.com","Submitted","Maintenance service provider offering emergency dispatch and facility repair support.","13","6900000.50","155","true","49.50","Submission received and initial completeness review has been scheduled."
"5017","Vertex Precision Tools","11-Aug-2026","vertex.precision@zylker.com","Accepted","Manufacturer of precision tooling for specialized machining and controlled production runs.","17","22600000.00","340","true","97.10","Registration accepted with excellent inspection history and strong technical documentation."
"5018","Horizon Medical Supplies","12-Aug-2026","horizon.medical@zylker.com","Accepted","Distributor of noncritical medical supplies for workplace clinics and first response programs.","12","16500000.00","280","true","82.00","Registration accepted with valid insurance and appropriate noncritical supply controls."
"5019","Silverline Print Services","13-Aug-2026","silverline.print@zylker.com","Draft","Print service provider preparing documentation for secure batch print sourcing consideration.","5","1800000.00","38","false","18.00","No reviewer comments yet while the vendor prepares draft registration details."
"5020","TerraBuild Contractors","06-Aug-2026","terrabuild.contractors@zylker.com","Clarification Required","Construction contractor supporting project closeout coordination and subcontractor documentation.","24","35400000.00","620","true","44.20","Clarification requested for subcontractor closeout records and signed contract evidence."
"5021","CloudAxis Software Services","15-Aug-2026","cloudaxis.software@zylker.com","Accepted","Software service provider delivering cloud service desk support and application monitoring.","9","14200000.00","210","true","94.40","Registration accepted after compliance package and support integration requirements were confirmed."
"5022","Keystone Mechanical Systems","16-Aug-2026","keystone.mechanical@zylker.com","Accepted","Mechanical systems manufacturer supplying HVAC control assemblies and maintenance components.","26","29800000.00","510","true","86.90","Registration accepted with traceable inspection evidence and stable supplier profile."
"5023","Pacific Components Depot","17-Aug-2026","pacific.components@zylker.com","Clarification Required","Distributor of electronic components requiring product origin and traceability documentation.","11","8900000.00","132","true","54.75","Clarification requested for product origin evidence before registration can proceed."
"5024","AgileProcure Consultants","18-Aug-2026","agileprocure.consultants@zylker.com","Accepted","Procurement advisory firm providing sourcing benchmark workshops and policy guidance.","7","5100000.00","54","true","89.30","Registration accepted with complete contract evidence and clear advisory service scope."
"5025","MetroFleet Leasing","19-Aug-2026","metrofleet.leasing@zylker.com","Under Review","Fleet leasing provider supporting vehicle lease review and maintenance coverage planning.","18","20300000.00","245","true","62.80","Finance review of lease terms and maintenance coverage is still in progress."
"5026","GlobalSecure Screening","20-Aug-2026","globalsecure.screening@zylker.com","Clarification Required","Security screening service provider supporting identity verification and privacy controlled workflows.","14","12100000.00","190","true","50.60","Clarification requested for privacy questionnaire responses and data handling controls."
"5027","Innovent Lab Equipment","06-Aug-2026","innovent.lab@zylker.com","Accepted","Distributor of laboratory equipment and calibrated scale packages for technical teams.","8","7300000.00","83","true","80.25","Registration accepted after tax evidence and catalog setup details were verified."
"5028","PrimeSource Distribution","21-Aug-2026","primesource.distribution@zylker.com","Accepted","Distributor managing inventory replenishment programs and recurring order confirmations.","20","24600000.00","360","true","85.50","Registration accepted with sufficient insurance coverage and dependable fulfillment profile."
"5029","Cascade Furniture Makers","22-Aug-2026","cascade.furniture@zylker.com","Rejected","Furniture manufacturer providing workstation sets and warranty support for office projects.","16","7800000.00","150","true","22.30","Registration rejected because warranty claims and supplier suspension issues remain unresolved."
"5030","Delta Calibration Services","06-Aug-2026","delta.calibration@zylker.com","Accepted","Calibration service provider issuing traceable certificates for measurement instruments.","25","10900000.00","175","true","96.75","Registration accepted with current calibration certificate and strong turnaround performance."
"5031","Beacon Energy Solutions","23-Aug-2026","beacon.energy@zylker.com","Under Review","Energy services provider supporting usage analysis rate exposure review and cost reduction planning.","13","18500000.00","120","true","66.40","Rate exposure documentation is being reviewed by finance before final acceptance."
"5032","UrbanWaste Management","24-Aug-2026","urbanwaste.management@zylker.com","Clarification Required","Waste management contractor providing regulated pickup services and permit tracking.","22","31250000.00","455","true","47.10","Clarification requested for corrected permit package and service coverage schedule."
"5033","Platinum Travel Services","06-Aug-2026","platinum.travel@zylker.com","Draft","Prospective travel service provider preparing corporate booking desk registration documents.","4","950000.00","21","false","12.00","No reviewer comments yet because the draft is still being assembled."
"5034","ClearWater Utilities","25-Aug-2026","clearwater.utilities@zylker.com","Submitted","Utility service provider supporting account administration billing validation and emergency contact maintenance.","30","42900000.00","680","true","57.25","Submission received and utility account records are queued for registration review."
"5035","Falcon Robotics Manufacturing","05-Aug-2026","falcon.robotics@zylker.com","Accepted","Strategic robotics manufacturer supplying robotic arm controllers and automation components.","18","56300000.00","820","true","98.50","Registration accepted with excellent capability evidence and quality performance history."
"5036","Allied Training Partners","06-Aug-2026","allied.training@zylker.com","Accepted","Training consulting provider delivering procurement procedure and compliance checkpoint sessions.","10","4700000.00","64","true","90.75","Registration accepted after facilitator onboarding and course material review."
"5037","Zenith Paper Products","26-Aug-2026","zenith.paper@zylker.com","Under Review","Paper manufacturer providing sustainable paper stock for office and internal communication needs.","29","25600000.00","390","true","72.00","Sustainability documentation and insurance evidence are being reviewed."
"5038","Oceanic Freight Forwarders","27-Aug-2026","oceanic.freight@zylker.com","Rejected","Freight forwarding service provider managing international shipment coordination and customs tracking.","15","33200000.00","520","true","31.80","Registration rejected pending corrected customs compliance attestation and escalation process evidence."
"5039","Integra Legal Advisors","28-Aug-2026","integra.legal@zylker.com","Accepted","Legal advisory firm providing contract review and procurement risk guidance.","11","8800000.00","88","true","91.60","Registration accepted with complete contract reference and strong advisory credentials."
"5040","MountainView Construction","29-Aug-2026","mountainview.construction@zylker.com","Under Review","Construction contractor providing site preparation coordination and safety planning support.","27","40200000.00","710","true","63.50","Safety plan approval and site supervisor evidence are still under registration review."
