"Audit_Number","Audit_DateTime","Module_Name","Record_Display","Record_ID_Text","Action_Type","Changed_By","Summary","Before_Value","After_Value","Related_Customer","Related_Request","Severity"
"1","01-Jul-2026 08:12:15","Customers","Southern Film Converters Pty Ltd","CUS-0001","Created","onboarding.bot@zylker.com","Customer profile created with active Direct Customer status.","","Customer Status=Active; Default Tier=Tier A; Currency=AUD","Southern Film Converters Pty Ltd","","Info"
"2","01-Jul-2026 09:18:42","Pricing_Requests","Request 1000","1000","Created","lisa.chen@zylker.com","Pricing request created for monthly PE film pricing.","","Request Status=Draft; Quote Currency=AUD; Branch=Dandenong South Main","Southern Film Converters Pty Ltd","1000","Info"
"3","02-Jul-2026 09:30:00","Pricing_Requests","Request 1000","1000","Approved","finance.manager@zylker.com","Request approved at agreed Tier A margin for July film volume.","Request Status=Submitted for Approval; Approved By=","Request Status=Approved; Approved By=finance.manager@zylker.com","Southern Film Converters Pty Ltd","1000","Info"
"4","03-Jul-2026 14:22:10","Pricing_Requests","Request 1001","1001","Calculated","pricing.engine@zylker.com","Distributor request calculated using current AUD cost and margin rules.","Request Status=Draft; Calculated Total=Pending","Request Status=Calculated; Pricing Model=Distributor margin applied","Harbour Packaging Supplies","1001","Info"
"5","05-Jul-2026 11:15:00","Pricing_Requests","Request 1003","1003","Approved","pricing.approvals@zylker.com","Standard injection moulding request approved for palletized delivery.","Request Status=Submitted for Approval","Request Status=Approved; Approved By=pricing.approvals@zylker.com","Canterbury Moulding Works","1003","Info"
"6","06-Jul-2026 16:05:33","Supplier_Price_Books","SPB-2026-0004 - PP-FILM-CPP-004","SPB-2026-0004","Updated","procurement.lead@zylker.com","Supplier price book currency and buy price confirmed for cast PP film resin.","Price Status=Draft; Buy Price=1032.00 EUR","Price Status=Active; Buy Price=1035.40 EUR","Buenos Aires Packaging SA","1014","Info"
"7","07-Jul-2026 10:44:18","Logistics_Cost_Matrix","LCM-0003 - NZ-AKL-SOUTH","LCM-0003","Calculated","pricing.engine@zylker.com","Auckland direct delivery cost components calculated for Kiwi pipe request.","Delivery Cost=Pending; Financing Percent=Pending","Delivery Cost=71.60; Financing Percent=1.35","Kiwi Pipe Systems Ltd","1002","Info"
"8","07-Jul-2026 14:05:00","Pricing_Requests","Request 1004","1004","Generated Quote","commercial.manager@zylker.com","Quote generated for Queensland distributor seabulk program.","Request Status=Approved; Quote Document=Not generated","Request Status=Quote Generated; Quote Document=Generated","Pacific Resin Distribution","1004","Info"
"9","08-Jul-2026 10:20:00","Email_Dispatch","Request 1005 Quote Email","1005","Sent","email.service@zylker.com","Approved roto moulding quote sent to customer contact.","Email Status=Queued","Email Status=Sent; Recipient=adelaide.roto@zylker.com","Adelaide Roto Plastics","1005","Info"
"10","08-Jul-2026 15:48:29","Validation_Workflow","Request 1006 Forecast Check","1006","Validation","system.validation@zylker.com","Forecast tonnage missing warning logged for draft PP film request.","Validation Result=Not run","Validation Result=Forecast confirmation required before calculation","North Island Packaging Co","1006","Warning"
"11","10-Jul-2026 08:45:00","Pricing_Requests","Request 1007","1007","Approved","finance.manager@zylker.com","Gulf Coast plant delivery request approved under active agreement.","Request Status=Submitted for Approval","Request Status=Approved; Approved By=finance.manager@zylker.com","Houston Polymer Solutions","1007","Info"
"12","11-Jul-2026 13:10:00","Quote_Generation","Request 1008 Quote","1008","Generated Quote","commercial.manager@zylker.com","West Coast blanket quote generated with storage allowance included.","Quote Status=Not generated; Storage Allowance=Pending","Quote Status=Generated; Storage Allowance=Included","Golden State Film Products","1008","Info"
"13","14-Jul-2026 15:35:00","Pricing_Requests","Request 1009","1009","Sent","pricing.approvals@zylker.com","East Coast palletized container quote sent to distributor contact.","Request Status=Quote Generated","Request Status=Sent; Sent To=empire.packaging@zylker.com","Empire Packaging Group","1009","Info"
"14","17-Jul-2026 09:50:00","Pricing_Requests","Request 1012","1012","Approved","finance.manager@zylker.com","Veracruz pipe and fittings request approved with port delivery costs included.","Request Status=Submitted for Approval","Request Status=Approved; Approved By=finance.manager@zylker.com","Veracruz Industrial Plastics","1012","Info"
"15","17-Jul-2026 16:32:45","Pricing_Requests","Request 1013","1013","Rejected","commercial.manager@zylker.com","Santos film request rejected pending revised freight surcharge input.","Request Status=Submitted for Approval; Freight Variance=Unreviewed","Request Status=Rejected; Reason=Carrier surcharge variance","Santos Film Industries","1013","Warning"
"16","21-Jul-2026 12:25:00","Pricing_Requests","Request 1014","1014","Expired","audit.scheduler@zylker.com","Buenos Aires quote expired after validity lapsed without purchase order confirmation.","Request Status=Approved; Valid Until=24-Jul-2026","Request Status=Expired; Expiry Reason=No customer confirmation","Buenos Aires Packaging SA","1014","Warning"
"17","22-Jul-2026 09:12:37","Pricing_Requests","Request 1015","1015","Cancelled","noah.scott@zylker.com","Roto moulding UV grade request cancelled after customer reduced July spot volume.","Request Status=Draft; Requested Volume=Original July spot lot","Request Status=Cancelled; Requested Volume=Reduced by customer","San Antonio Roto Moulders","1015","Info"
"18","23-Jul-2026 16:40:00","Pricing_Requests","Request 1016","1016","Approved","pricing.approvals@zylker.com","European hub distribution pricing approved for Botlek allocation.","Request Status=Submitted for Approval","Request Status=Approved; Approved By=pricing.approvals@zylker.com","Rotterdam Polymer Trading BV","1016","Info"
"19","24-Jul-2026 11:28:14","Pricing_Requests","Request 1018","1018","Submitted","chloe.adams@zylker.com","Secondary Melbourne warehouse request submitted for margin approval.","Request Status=Draft; Approval Queue=Not assigned","Request Status=Submitted for Approval; Approval Queue=Finance","Southern Film Converters Pty Ltd","1018","Info"
"20","27-Jul-2026 09:07:51","Pricing_Requests","Request 1019","1019","Created","lucas.hall@zylker.com","Current week Hunter depot pricing request created while schedule is confirmed.","","Request Status=Draft; Branch=Hunter Contract Depot; Currency=AUD","Harbour Packaging Supplies","1019","Info"
"21","28-Jul-2026 15:10:00","Pricing_Requests","Request 1020","1020","Approved","commercial.manager@zylker.com","Tauranga project store indent delivery pricing approved for current week.","Request Status=Submitted for Approval","Request Status=Approved; Approved By=commercial.manager@zylker.com","Kiwi Pipe Systems Ltd","1020","Info"
"22","29-Jul-2026 17:05:00","Pricing_Requests","Request 1021","1021","Generated Quote","finance.manager@zylker.com","North Queensland palletized container quote generated with inland freight allowance.","Request Status=Approved; Quote Document=Not generated","Request Status=Quote Generated; Inland Freight=Included","Pacific Resin Distribution","1021","Info"
"23","30-Jul-2026 10:05:00","Pricing_Requests","Request 1022","1022","Sent","pricing.approvals@zylker.com","Current day Baytown HDPE pipe quote approved and sent to customer.","Request Status=Quote Generated; Email Status=Queued","Request Status=Sent; Email Status=Sent","Houston Polymer Solutions","1022","Info"
"24","30-Jul-2026 13:22:18","Pricing_Requests","Request 1023","1023","Submitted","jack.carter@zylker.com","Current day East Tamaki warehouse request submitted for seasonal margin approval.","Request Status=Draft; Approval Comments=","Request Status=Submitted for Approval; Approval Comments=Seasonal overflow review needed","North Island Packaging Co","1023","Info"
"25","30-Jul-2026 16:47:09","Validation_Workflow","Request 1024 Branch Validation","1024","Validation","system.validation@zylker.com","Critical validation logged because spot request has no nominated primary branch.","Primary Branch=; Request Status=Draft","Validation Result=Branch required before quote generation","Tasman Specialty Resins","1024","Critical"
