"Agreement_Code","Customer","Branch","Agreement_Status","Preferred_Quote_Currency","Payment_Terms","Default_Margin_Percent","Default_Validity_Days","Preferred_Packaging","Preferred_Container_Size","Default_Delivery_Model","Effective_From","Effective_To","Notes"
"CCA-2026-0001","Southern Film Converters Pty Ltd","Dandenong South Main","Active","AUD","Net 30","12.50","14","Seabulk Flexitank Standard","40HC","Australia Metro Warehouse DDP","01-Jul-2026","31-Jul-2026","Blanket pricing agreement for high volume PE film shipments into Dandenong South with delivered metro service."
"CCA-2026-0002","Southern Film Converters Pty Ltd","Laverton North Distribution","Active","AUD","Net 30","11.75","14","40 Foot Container Palletized Bags","40HC","Australia Metro Warehouse DDP","02-Jul-2026","31-Jul-2026","Secondary warehouse agreement for palletized film resin replenishment across western Melbourne."
"CCA-2026-0003","Harbour Packaging Supplies","Botany DC","Active","AUD","Net 30","10.25","10","1.1 Ton Bulk Bag","40HC","Australia East Coast DAP","03-Jul-2026","31-Jul-2026","Distributor pricing terms for Botany stock orders with standard east coast delivery charges included."
"CCA-2026-0004","Harbour Packaging Supplies","Hunter Contract Depot","Draft","AUD","","9.50","7","One Ton Bulk Bag","20GP","Project Site Direct Delivery","27-Jul-2026","31-Jul-2026","Draft branch agreement for Hunter project depot orders pending confirmation of payment terms and forecast tonnage."
"CCA-2026-0005","Kiwi Pipe Systems Ltd","Penrose Pipe Yard","Active","NZD","Net 45","13.00","21","20 Foot Container Bulk Bags","20GP","New Zealand Direct DDP","04-Jul-2026","31-Jul-2026","Contract terms for pipe yard deliveries with longer quote validity aligned to infrastructure schedules."
"CCA-2026-0006","Kiwi Pipe Systems Ltd","Tauranga Project Store","Active","NZD","Net 45","13.50","21","40 Foot High Cube Bulk Bags","40HC","Indent Direct Vessel","05-Jul-2026","31-Jul-2026","Indent agreement for Tauranga project stock with high cube containers and confirmed monthly call offs."
"CCA-2026-0007","Canterbury Moulding Works","Hornby Plant","Active","NZD","Net 30","8.75","10","25 KG Paper Bags on Pallet","20GP","New Zealand Direct DDP","06-Jul-2026","31-Jul-2026","Standard agreement for Christchurch injection moulding deliveries using palletized small bags."
"CCA-2026-0008","Pacific Resin Distribution","Lytton Warehouse","Active","AUD","Net 45","10.90","14","Seabulk Heavy Duty Liner","40HC","Australia East Coast DAP","07-Jul-2026","31-Jul-2026","Queensland distributor agreement covering heavy duty seabulk imports into the Lytton warehouse."
"CCA-2026-0009","Pacific Resin Distribution","Townsville Depot","Active","AUD","Net 45","11.40","14","40 Foot Container Palletized Bags","40HC","Project Site Direct Delivery","08-Jul-2026","31-Jul-2026","Regional depot pricing includes allowance for North Queensland inland freight and scheduled project deliveries."
"CCA-2026-0010","Adelaide Roto Plastics","Wingfield Site","Active","AUD","Net 30","9.80","10","Half Ton Bulk Bag","20GP","Bulk Bag Repack Program","09-Jul-2026","31-Jul-2026","Roto moulding supply terms for smaller bulk bags with repacking service included in the delivery model."
"CCA-2026-0011","Tasman Specialty Resins","Invermay Trial Store","Inactive","AUD","Prepaid","7.50","5","Sample Cartons","Other","Prepaid Spot Customer DAP","01-Jul-2026","18-Jul-2026","Inactive trial agreement retained for specialty resin sample movements and historical quotation comparison."
"CCA-2026-0012","North Island Packaging Co","Te Rapa Converter Plant","Active","NZD","Net 30","9.95","10","25 KG PE Bags on Pallet","20GP","New Zealand Direct DDP","10-Jul-2026","31-Jul-2026","Recurring PP film packaging agreement for Te Rapa plant deliveries with pallet appointment requirements."
"CCA-2026-0013","North Island Packaging Co","East Tamaki Warehouse","Active","NZD","Net 30","10.20","14","40 Foot Container Palletized Bags","40HC","New Zealand Direct DDP","11-Jul-2026","31-Jul-2026","Overflow warehouse agreement for seasonal packaging stock and Auckland distribution support."
"CCA-2026-0014","Houston Polymer Solutions","Pasadena Plant","Active","USD","Net 30","12.20","15","One Ton Bulk Bag","20GP","US Gulf Customer Delivery","12-Jul-2026","31-Jul-2026","Gulf Coast plant agreement covering bulk bag deliveries from approved Houston area warehouse stock."
"CCA-2026-0015","Houston Polymer Solutions","Baytown Pipe Site","Active","USD","Net 30","12.00","15","20 Foot Container Loose Bags","20GP","Direct Plant to Customer","13-Jul-2026","31-Jul-2026","Direct delivery agreement for Baytown pipe resin orders with minimal warehouse handling."
"CCA-2026-0016","Golden State Film Products","Vernon Film Plant","Active","USD","Net 45","14.00","21","Seabulk Food Grade Liner","40HC","West Coast Import Blanket","14-Jul-2026","31-Jul-2026","West Coast blanket agreement for premium film resin using food grade liners and storage allowance."
"CCA-2026-0017","Empire Packaging Group","Elizabeth Distribution Center","Active","USD","Net 30","10.60","10","40 Foot Container Palletized Bags","40HC","Cross Dock No Storage","15-Jul-2026","31-Jul-2026","East Coast distributor agreement optimized for fast moving palletized containers through cross dock handling."
"CCA-2026-0018","Vancouver Resin Importers","Richmond Terminal","Active","USD","Net 30","11.10","14","40 Foot High Cube Bulk Bags","40HC","Canada Pacific DDP","16-Jul-2026","31-Jul-2026","Canadian Pacific gateway agreement with storage and delivered freight included for mixed resin containers."
"CCA-2026-0019","Montreal Compounding Labs","Saint Laurent Lab Store","Active","USD","Net 30","8.90","7","Moisture Barrier Bulk Bag","20GP","Temperature Controlled Storage","17-Jul-2026","31-Jul-2026","Specialty compounding agreement for moisture sensitive lots requiring controlled storage and careful handling."
"CCA-2026-0020","Veracruz Industrial Plastics","Zona Industrial Plant","Active","USD","Net 30","11.80","14","1.25 Ton Bulk Bag","40HC","Latin America Port Delivery","20-Jul-2026","31-Jul-2026","Regional pipe and fittings agreement for Veracruz plant deliveries close to the port corridor."
"CCA-2026-0021","Santos Film Industries","Alemoa Film Plant","Active","USD","Net 45","12.70","21","Seabulk Flexitank Standard","40HC","Latin America Port Delivery","29-Jul-2026","31-Jul-2026","Current week film resin agreement for Santos arrivals with high volume seabulk shipment planning."
"CCA-2026-0022","Buenos Aires Packaging SA","Barracas Plant","Expired","USD","Net 30","10.40","14","25 KG Paper Bags on Pallet","20GP","Latin America Port Delivery","22-Jul-2026","24-Jul-2026","Expired short term July agreement retained for comparison before new Argentina delivery surcharge review."
"CCA-2026-0023","San Antonio Roto Moulders","Barrancas Yard","Active","USD","Prepaid","8.25","7","Half Ton Bulk Bag","20GP","Prepaid Spot Customer DAP","27-Jul-2026","31-Jul-2026","Current week prepaid spot agreement for smaller roto moulding lots delivered to Barrancas yard."
"CCA-2026-0024","Rotterdam Polymer Trading BV","Botlek Hub","Active","USD","Net 30","12.90","21","Container with Slip Sheets","40HC","Europe Hub Distribution","30-Jul-2026","31-Jul-2026","Current day hub distribution agreement for slip sheet containers moving through Rotterdam regional stock."
"CCA-2026-0025","Singapore Polymer Hub","Jurong East Hub","Active","USD","Intercompany 30","6.50","14","Bulk Bag to 25 KG Repack","Other","Singapore Transshipment Hub","30-Jul-2026","31-Jul-2026","Current day internal hub agreement for repacking and transshipment allocation through Jurong East."
