"Request_Number","Request_Date","Requested_By","Customer","Primary_Branch","Offer_Month","Request_Source","Quote_Currency","Request_Status","Valid_Until","Customer_Email","Payment_Terms","Approval_Comments","Approved_By","Approved_On","Request_Notes"
"1000","01-Jul-2026","lisa.chen@zylker.com","Southern Film Converters Pty Ltd","Dandenong South Main","01-Jul-2026","Email","AUD","Approved","15-Jul-2026","southern.film@zylker.com","Net 30","Approved at agreed Tier A margin for July film volume.","finance.manager@zylker.com","02-Jul-2026 09:30:00","Monthly PE film pricing request for Dandenong South blanket deliveries."
"1001","02-Jul-2026","mark.evans@zylker.com","Harbour Packaging Supplies","Botany DC","02-Jul-2026","Manual","AUD","Calculated","12-Jul-2026","harbour.packaging@zylker.com","Net 30","Pricing calculated using distributor margin pending final review.","","","Bulk bag replenishment pricing for Sydney distributor stock."
"1002","03-Jul-2026","nina.patel@zylker.com","Kiwi Pipe Systems Ltd","Penrose Pipe Yard","03-Jul-2026","Email","NZD","Submitted for Approval","24-Jul-2026","kiwi.pipe@zylker.com","Net 45","Submitted for margin approval due to infrastructure project volume.","","","PVC and PE pipe resin quote requested for Penrose July call offs."
"1003","04-Jul-2026","oliver.brown@zylker.com","Canterbury Moulding Works","Hornby Plant","04-Jul-2026","Manual","NZD","Approved","14-Jul-2026","canterbury.moulding@zylker.com","Net 30","Approved for standard injection moulding margin and palletized delivery.","pricing.approvals@zylker.com","05-Jul-2026 11:15:00","PP injection moulding grade pricing for Hornby appliance component production."
"1004","06-Jul-2026","sarah.nguyen@zylker.com","Pacific Resin Distribution","Lytton Warehouse","06-Jul-2026","Future CRM","AUD","Quote Generated","20-Jul-2026","pacific.resin@zylker.com","Net 45","Approved and quote generated for Queensland distributor seabulk program.","commercial.manager@zylker.com","07-Jul-2026 14:05:00","Heavy duty liner seabulk pricing for Lytton warehouse July imports."
"1005","07-Jul-2026","james.miller@zylker.com","Adelaide Roto Plastics","Wingfield Site","07-Jul-2026","Email","AUD","Sent","17-Jul-2026","adelaide.roto@zylker.com","Net 30","Approved with repack program costs included in delivered price.","pricing.approvals@zylker.com","08-Jul-2026 10:20:00","Half ton bulk bag pricing sent for roto moulding resin deliveries."
"1006","08-Jul-2026","emma.wilson@zylker.com","North Island Packaging Co","Te Rapa Converter Plant","08-Jul-2026","Manual","NZD","Draft","","northisland.packaging@zylker.com","Net 30","Draft awaiting forecast tonnage confirmation from customer.","","","PP film resin request opened for seasonal Te Rapa packaging demand."
"1007","09-Jul-2026","david.kim@zylker.com","Houston Polymer Solutions","Pasadena Plant","09-Jul-2026","Email","USD","Approved","24-Jul-2026","houston.polymer@zylker.com","Net 30","Approved for Gulf Coast plant delivery under active commercial agreement.","finance.manager@zylker.com","10-Jul-2026 08:45:00","One ton bulk bag pricing for Pasadena production run."
"1008","10-Jul-2026","mia.roberts@zylker.com","Golden State Film Products","Vernon Film Plant","10-Jul-2026","Future CRM","USD","Quote Generated","31-Jul-2026","goldenstate.film@zylker.com","Net 45","Quote generated after approval of West Coast blanket storage allowance.","commercial.manager@zylker.com","11-Jul-2026 13:10:00","Premium film resin pricing for Vernon food grade liner shipments."
"1009","13-Jul-2026","ethan.clark@zylker.com","Empire Packaging Group","Elizabeth Distribution Center","13-Jul-2026","Email","USD","Sent","23-Jul-2026","empire.packaging@zylker.com","Net 30","Approved for cross dock route and sent to distributor contact.","pricing.approvals@zylker.com","14-Jul-2026 15:35:00","East Coast palletized container pricing for Elizabeth distribution center."
"1010","14-Jul-2026","zoe.harris@zylker.com","Vancouver Resin Importers","Richmond Terminal","14-Jul-2026","Manual","USD","Calculated","28-Jul-2026","vancouver.resin@zylker.com","Net 30","Calculated using Canada Pacific DDP cost model pending review.","","","Mixed PE and PP import pricing request for Richmond terminal stock."
"1011","15-Jul-2026","ryan.walker@zylker.com","Montreal Compounding Labs","Saint Laurent Lab Store","15-Jul-2026","Email","USD","Submitted for Approval","22-Jul-2026","montreal.compounding@zylker.com","Net 30","Submitted for approval because controlled storage surcharge applies.","","","Moisture barrier bulk bag quote for specialty compounding campaign."
"1012","16-Jul-2026","ava.martin@zylker.com","Veracruz Industrial Plastics","Zona Industrial Plant","16-Jul-2026","Manual","USD","Approved","30-Jul-2026","veracruz.industrial@zylker.com","Net 30","Approved for regional pipe and fittings account with port delivery costs included.","finance.manager@zylker.com","17-Jul-2026 09:50:00","PVC pipe resin pricing for Veracruz plant July production."
"1013","17-Jul-2026","liam.thomas@zylker.com","Santos Film Industries","Alemoa Film Plant","17-Jul-2026","Email","USD","Rejected","27-Jul-2026","santos.film@zylker.com","Net 45","Rejected due to freight surcharge variance requiring revised landed cost input.","","","Initial Santos film request held for updated carrier surcharge confirmation."
"1014","20-Jul-2026","grace.lee@zylker.com","Buenos Aires Packaging SA","Barracas Plant","20-Jul-2026","Manual","USD","Expired","24-Jul-2026","buenosaires.packaging@zylker.com","Net 30","Price approved but validity lapsed before purchase order confirmation.","commercial.manager@zylker.com","21-Jul-2026 12:25:00","Cast PP film quote for Barracas plant expired after customer delayed response."
"1015","21-Jul-2026","noah.scott@zylker.com","San Antonio Roto Moulders","Barrancas Yard","21-Jul-2026","Email","USD","Cancelled","28-Jul-2026","sanantonio.roto@zylker.com","Prepaid","Cancelled after customer reduced July spot volume requirement.","","","Roto moulding UV grade request cancelled before approval stage."
"1016","22-Jul-2026","chloe.adams@zylker.com","Rotterdam Polymer Trading BV","Botlek Hub","22-Jul-2026","Future CRM","USD","Approved","31-Jul-2026","rotterdam.trading@zylker.com","Net 30","Approved for European hub distribution with slip sheet container handling.","pricing.approvals@zylker.com","23-Jul-2026 16:40:00","Distributor transfer pricing for Botlek hub July allocation."
"1017","23-Jul-2026","henry.turner@zylker.com","Singapore Polymer Hub","Jurong East Hub","23-Jul-2026","Manual","USD","Calculated","31-Jul-2026","singapore.hub@zylker.com","Intercompany 30","Calculated for internal hub repacking and allocation review.","","","Intercompany transshipment pricing for Jurong East repack movement."
"1018","24-Jul-2026","isabella.king@zylker.com","Southern Film Converters Pty Ltd","Laverton North Distribution","24-Jul-2026","Email","AUD","Submitted for Approval","31-Jul-2026","southern.film@zylker.com","Net 30","Submitted for approval due to palletized packaging variance from standard seabulk route.","","","Secondary Melbourne warehouse pricing for palletized PE film resin."
"1019","27-Jul-2026","lucas.hall@zylker.com","Harbour Packaging Supplies","Hunter Contract Depot","27-Jul-2026","Email","AUD","Draft","31-Jul-2026","harbour.packaging@zylker.com","Net 30","Draft created while Hunter depot forecast and delivery schedule are confirmed.","","","Current week request for project depot resin pricing in Newcastle region."
"1020","28-Jul-2026","amelia.young@zylker.com","Kiwi Pipe Systems Ltd","Tauranga Project Store","28-Jul-2026","Future CRM","NZD","Approved","31-Jul-2026","kiwi.pipe@zylker.com","Net 45","Approved for current week project store indent delivery pricing.","commercial.manager@zylker.com","28-Jul-2026 15:10:00","PE pipe resin pricing for Tauranga infrastructure project stock."
"1021","29-Jul-2026","mason.green@zylker.com","Pacific Resin Distribution","Townsville Depot","29-Jul-2026","Manual","AUD","Quote Generated","31-Jul-2026","pacific.resin@zylker.com","Net 45","Approved and generated with North Queensland inland freight allowance included.","finance.manager@zylker.com","29-Jul-2026 17:05:00","Regional palletized container pricing for Townsville depot replenishment."
"1022","30-Jul-2026","ella.baker@zylker.com","Houston Polymer Solutions","Baytown Pipe Site","30-Jul-2026","Email","USD","Sent","31-Jul-2026","houston.polymer@zylker.com","Net 30","Approved today and sent for direct plant to customer delivery terms.","pricing.approvals@zylker.com","30-Jul-2026 10:05:00","Current day HDPE pipe resin pricing for Baytown direct delivery."
"1023","30-Jul-2026","jack.carter@zylker.com","North Island Packaging Co","East Tamaki Warehouse","30-Jul-2026","Future CRM","NZD","Submitted for Approval","31-Jul-2026","northisland.packaging@zylker.com","Net 30","Submitted today for seasonal overflow warehouse margin approval.","","","Current day PP film pricing request for East Tamaki warehouse stock."
"1024","30-Jul-2026","sophia.mitchell@zylker.com","Tasman Specialty Resins","","30-Jul-2026","Manual","AUD","Draft","31-Jul-2026","tasman.specialty@zylker.com","Prepaid","Draft pending confirmation of active delivery location for spot specialty resin lot.","","","Current day spot customer request created without a nominated primary branch."
