"Onboarding_ID","Vendor","Onboarding_Date","Onboarding_Manager_Email","Contract_Signed","Compliance_Documents_Verified","Bank_Details_Verified","Training_Completed","Onboarding_Score","Baseline_Score","Onboarding_Status","Activate_After_Onboarding","Active_From","Onboarding_Notes"
"1","Apex Office Supplies","03-Aug-2026","rachel.onboarding@zylker.com","true","true","true","true","91.50","91.50","Completed","true","03-Aug-2026","All onboarding tasks completed for office supplies program with contract and banking evidence verified."
"2","Northstar Logistics","03-Aug-2026","kevin.vendorops@zylker.com","true","true","true","true","86.00","86.00","Completed","true","04-Aug-2026","Freight onboarding completed with insurance records route contacts and payment setup confirmed."
"3","ByteBridge Systems","03-Aug-2026","anika.platforms@zylker.com","true","true","false","false","68.25","68.25","Pending","false","","Integration vendor onboarding is pending final bank verification and administrator training completion."
"4","GreenField Catering Services","03-Aug-2026","marco.services@zylker.com","true","true","true","true","84.25","84.25","Completed","true","06-Aug-2026","Catering supplier completed onboarding with food safety certificates and event escalation contacts recorded."
"5","Precision Parts Manufacturing","04-Aug-2026","rachel.onboarding@zylker.com","true","true","true","true","94.00","94.00","Completed","true","06-Aug-2026","Manufacturing supplier onboarding closed after quality certificates bank details and buyer training were completed."
"6","CleanWorks Facility Services","05-Aug-2026","kevin.vendorops@zylker.com","true","true","true","true","82.75","82.75","Completed","true","07-Aug-2026","Facility services onboarding completed with supervisor roster safety documentation and payment details validated."
"7","Meridian Cloud Solutions","06-Aug-2026","anika.platforms@zylker.com","true","true","true","true","90.25","90.25","Completed","true","08-Aug-2026","Cloud services onboarding finalized after security questionnaire review contract execution and support handoff."
"8","Evergreen Packaging Co.","06-Aug-2026","marco.services@zylker.com","true","true","true","true","88.50","88.50","Completed","true","08-Aug-2026","Packaging supplier completed onboarding with warehouse contacts inventory backup details and banking approval confirmed."
"9","Citywide Courier Network","07-Aug-2026","rachel.onboarding@zylker.com","true","true","true","true","92.00","92.00","Completed","true","09-Aug-2026","Courier network onboarding completed with dispatch access service level contacts and billing setup validated."
"10","BluePeak Industrial Tools","08-Aug-2026","kevin.vendorops@zylker.com","true","true","true","false","81.25","81.25","Pending","false","","Industrial tools onboarding is awaiting completion of buyer training and capacity escalation walkthrough."
"11","Nova Data Security","08-Aug-2026","anika.platforms@zylker.com","true","true","true","true","96.00","96.00","Completed","true","10-Aug-2026","Security services onboarding completed with audit attestations incident contacts and payment validation in place."
"12","Harmony HR Services","09-Aug-2026","marco.services@zylker.com","true","true","true","true","87.50","87.50","Completed","true","12-Aug-2026","HR services onboarding completed with privacy control evidence background check workflow and billing details confirmed."
"13","RapidFleet Transport","10-Aug-2026","rachel.onboarding@zylker.com","true","true","true","true","85.00","85.00","Completed","true","12-Aug-2026","Transport supplier onboarding finalized with lane contacts driver safety evidence and remittance setup approved."
"14","Keystone Hardware Supply","12-Aug-2026","kevin.vendorops@zylker.com","true","true","true","true","90.00","90.00","Completed","true","14-Aug-2026","Hardware supplier onboarding completed with inventory contacts replacement process and bank details verified."
"15","Atlas Strategy Consultants","13-Aug-2026","anika.platforms@zylker.com","true","true","false","true","83.75","83.75","Pending","false","","Consulting onboarding is pending final bank verification before activation for strategy project work."
"16","SecureNet Telecommunications","15-Aug-2026","marco.services@zylker.com","true","true","true","true","79.50","79.50","Completed","true","17-Aug-2026","Telecommunications onboarding completed with resilience evidence contract records and operational training captured."
"17","FreshSource Produce","18-Aug-2026","rachel.onboarding@zylker.com","true","true","true","true","91.00","91.00","Completed","true","19-Aug-2026","Produce supplier onboarding completed with cold chain documentation seasonal capacity contacts and payment approval."
"18","ProMed Equipment Services","22-Aug-2026","kevin.vendorops@zylker.com","true","true","true","true","93.50","93.50","Completed","true","23-Aug-2026","Medical equipment service onboarding completed with technician certification records and service escalation contacts verified."
"19","Apex Office Supplies","24-Aug-2026","anika.platforms@zylker.com","true","true","true","true","92.40","92.40","Completed","true","24-Aug-2026","Additional office supply category onboarding completed for expanded catalog ordering and invoice routing."
"20","Northstar Logistics","24-Aug-2026","marco.services@zylker.com","true","false","true","false","55.00","55.00","Blocked","false","","Logistics onboarding for new lane scope is blocked pending updated subcontractor compliance evidence and refresher training."
"21","ByteBridge Systems","25-Aug-2026","rachel.onboarding@zylker.com","true","true","true","true","89.75","89.75","Completed","true","26-Aug-2026","Systems integration onboarding completed after bank verification training session and change control evidence review."
"22","Meridian Cloud Solutions","28-Aug-2026","kevin.vendorops@zylker.com","true","true","true","false","72.00","72.00","Pending","false","","Cloud services onboarding remains pending completion of administrator training for the additional workspace scope."
"23","Citywide Courier Network","29-Aug-2026","anika.platforms@zylker.com","true","true","true","true","93.10","93.10","Completed","true","30-Aug-2026","Expanded courier coverage onboarding completed with dispatcher contacts route escalation details and banking validation."
"24","Nova Data Security","30-Aug-2026","marco.services@zylker.com","true","true","true","true","97.00","97.00","Completed","true","31-Aug-2026","Additional security monitoring onboarding completed with compliance documentation and incident response walkthrough signed off."
"25","Atlas Strategy Consultants","31-Aug-2026","rachel.onboarding@zylker.com","true","true","true","true","84.20","84.20","Completed","true","31-Aug-2026","Consulting vendor onboarding completed after final bank verification confidentiality training and kickoff readiness review."
