"Rule_Code","Rule_Status","Application_Category","Resin_Subcategory","Tier","Minimum_Monthly_Tons","Maximum_Monthly_Tons","Threshold_Description","Effective_From","Effective_To","Notes"
"CTR-001","Active","Film","PE","Tier A","500.00","1000.00","High volume PE film customers purchasing 500 to 1000 tons monthly","01-Jul-2026","31-Jul-2026","Use for strategic packaging film accounts with steady monthly demand"
"CTR-002","Active","Film","PE","Tier B","200.00","499.99","Mid volume PE film customers purchasing 200 to 499.99 tons monthly","02-Jul-2026","31-Jul-2026","Applies to established converters with regular forecast visibility"
"CTR-003","Active","Film","PE","Tier C","50.00","199.99","Entry volume PE film customers purchasing 50 to 199.99 tons monthly","03-Jul-2026","31-Jul-2026","Suitable for smaller film producers and trial growth accounts"
"CTR-004","Active","Pipe & Fittings","PVC","Tier A","700.00","1400.00","Large PVC pipe and fittings customers purchasing 700 to 1400 tons monthly","04-Jul-2026","31-Jul-2026","Prioritize customers with infrastructure project schedules"
"CTR-005","Active","Pipe & Fittings","PVC","Tier B","300.00","699.99","Medium PVC pipe and fittings customers purchasing 300 to 699.99 tons monthly","05-Jul-2026","31-Jul-2026","Review quarterly based on project pipeline and payment history"
"CTR-006","Active","Pipe & Fittings","PVC","Tier C","75.00","299.99","Developing PVC pipe customers purchasing 75 to 299.99 tons monthly","06-Jul-2026","31-Jul-2026","Use for regional fabricators with intermittent demand"
"CTR-007","Active","Blow Moulding","PE","Tier A","400.00","850.00","High volume PE blow moulding customers purchasing 400 to 850 tons monthly","07-Jul-2026","31-Jul-2026","Best suited for container and industrial packaging manufacturers"
"CTR-008","Active","Blow Moulding","PE","Tier B","175.00","399.99","Mid volume PE blow moulding customers purchasing 175 to 399.99 tons monthly","08-Jul-2026","31-Jul-2026","Monitor seasonal bottle and drum production requirements"
"CTR-009","Active","Blow Moulding","PE","Tier C","40.00","174.99","Entry volume PE blow moulding customers purchasing 40 to 174.99 tons monthly","09-Jul-2026","31-Jul-2026","Applies to small moulders and new product launch accounts"
"CTR-010","Active","Roto Moulding","PE","Tier A","250.00","600.00","Large PE roto moulding customers purchasing 250 to 600 tons monthly","10-Jul-2026","31-Jul-2026","Use for tank and large part manufacturers with consistent order plans"
"CTR-011","Active","Roto Moulding","PE","Tier B","100.00","249.99","Medium PE roto moulding customers purchasing 100 to 249.99 tons monthly","11-Jul-2026","31-Jul-2026","Consider regional delivery patterns when assigning this tier"
"CTR-012","Active","Roto Moulding","PE","Tier C","25.00","99.99","Small PE roto moulding customers purchasing 25 to 99.99 tons monthly","12-Jul-2026","31-Jul-2026","Good fit for custom moulders with limited monthly drawdown"
"CTR-013","Active","Injection Moulding","PP","Tier A","450.00","900.00","High volume PP injection moulding customers purchasing 450 to 900 tons monthly","13-Jul-2026","31-Jul-2026","Target automotive appliance and durable goods moulders"
"CTR-014","Active","Injection Moulding","PP","Tier B","180.00","449.99","Mid volume PP injection moulding customers purchasing 180 to 449.99 tons monthly","14-Jul-2026","31-Jul-2026","Review purchase consistency before upgrading to Tier A"
"CTR-015","Active","Injection Moulding","PP","Tier C","45.00","179.99","Entry volume PP injection moulding customers purchasing 45 to 179.99 tons monthly","15-Jul-2026","31-Jul-2026","Used for smaller component moulders and trial customers"
"CTR-016","Active","Other","PP","Tier A","300.00","750.00","High volume specialty PP customers purchasing 300 to 750 tons monthly","16-Jul-2026","31-Jul-2026","Covers miscellaneous PP applications with recurring monthly demand"
"CTR-017","Active","Other","PP","Tier B","120.00","299.99","Medium specialty PP customers purchasing 120 to 299.99 tons monthly","17-Jul-2026","31-Jul-2026","Validate end use and shipment cadence during monthly review"
"CTR-018","Active","Other","PP","Tier C","30.00","119.99","Small specialty PP customers purchasing 30 to 119.99 tons monthly","18-Jul-2026","31-Jul-2026","Suitable for niche processors and limited campaign production"
"CTR-019","Active","Film","PP","Tier A","350.00","800.00","High volume PP film customers purchasing 350 to 800 tons monthly","19-Jul-2026","31-Jul-2026","Use for BOPP and cast film customers with stable requirements"
"CTR-020","Active","Film","PP","Tier B","150.00","349.99","Medium PP film customers purchasing 150 to 349.99 tons monthly","20-Jul-2026","31-Jul-2026","Coordinate allocation planning with monthly demand updates"
"CTR-021","Active","Film","PP","Tier C","35.00","149.99","Entry volume PP film customers purchasing 35 to 149.99 tons monthly","27-Jul-2026","31-Jul-2026","Current week rule for smaller PP film converters"
"CTR-022","Active","Pipe & Fittings","PE","Tier A","600.00","1250.00","Large PE pipe customers purchasing 600 to 1250 tons monthly","28-Jul-2026","31-Jul-2026","Current week rule aligned to infrastructure order cycles"
"CTR-023","Active","Pipe & Fittings","PE","Tier B","250.00","599.99","Medium PE pipe customers purchasing 250 to 599.99 tons monthly","29-Jul-2026","31-Jul-2026","Current week rule for regional pipe producers"
"CTR-024","Active","Injection Moulding","Other","Tier B","100.00","350.00","Medium injection moulding customers using other resins purchasing 100 to 350 tons monthly","30-Jul-2026","31-Jul-2026","Current day rule for specialty resin injection accounts"
"CTR-025","Inactive","Other","Other","Tier C","10.00","99.99","Inactive fallback rule for other applications and resins purchasing 10 to 99.99 tons monthly","30-Jul-2026","31-Jul-2026","Current day inactive rule retained for historical comparison"
