"request_id","request_type","title","problem_description","proposed_fix","estimated_cost_impact","requested_by_employee","status","analyst_remarks","created_date"
"ECR-2026-0082","Engineering_ECR","Replace high ESR input capacitor","Pilot controller boards show higher than expected input ripple during temperature soak when the current capacitor lot is installed.","Approve the lower ESR capacitor already validated on the sensor hub board and update inspection notes for derating verification.","186500.00","Olivia Chen","Converted_to_Order","Converted to an engineering order after electrical validation data was attached.","03-Aug-2026 08:18:24"
"MCR-2026-0039","Manufacturing_MCR","Revise screw kitting label for panel build","Assembly operators are selecting mixed screw finishes because the workstation kitting label does not distinguish the approved stainless pan head screw.","Update the kitting label and bin photo standard so only FAS-01323 stainless screws are issued for the panel station.","42000.00","Liam Johnson","Acknowledged","Manufacturing review accepted and requested line supervisor confirmation.","03-Aug-2026 09:26:11"
"ECR-2026-0083","Engineering_ECR","Approve low profile service connector","The current right angle connector interferes with the compact enclosure wall during service cable insertion.","Change the service connector callout to the approved low profile configuration and revise mating cable clearance notes.","395000.00","Aarav Mehta","Acknowledged","Analyst assigned procurement and quality impact checks.","03-Aug-2026 11:05:47"
"ECR-2026-0084","Engineering_ECR","Add IMU module pull up option","The optional motion sensor module has intermittent I2C startup failures on prototype boards with long harness runs.","Add configurable pull up resistor placements and release a board note describing population options for the IMU interface.","76000.00","Daniel Young","Submitted","Initial screening is pending affected item confirmation.","03-Aug-2026 14:32:09"
"MCR-2026-0040","Manufacturing_MCR","Release harness strain relief fixture","Harness assemblies are being routed inconsistently and several pilot units show strain at the connector exit.","Release a simple clamp fixture and update the operator instruction with continuity check and strain relief verification steps.","132000.00","Henry Allen","Submitted","Manufacturing evidence package is being collected.","03-Aug-2026 16:48:36"
"ECR-2026-0085","Engineering_ECR","Retry firmware checksum release","The firmware release package failed downstream checksum validation during the publication attempt.","Regenerate the signed release archive, attach the SHA256 checksum, and repeat the repository validation before release.","142000.00","Charlotte King","Acknowledged","Firmware analyst requested repository tag evidence.","04-Aug-2026 10:14:52"
"MCR-2026-0041","Manufacturing_MCR","Update bearing press verification","Gearbox builds need a documented press depth check for the sealed bearing replacement operation.","Add a go no go gauge step to the work instruction and require lot traceability entry at the workstation.","87500.00","Mason Lee","Converted_to_Order","Converted after manufacturing lead accepted the fixture update.","05-Aug-2026 13:22:18"
"ECR-2026-0086","Engineering_ECR","Correct compliance certificate package link","Released control panel documentation points to an older certificate package and may confuse field service teams.","Update the linked CMP-0032 package and revise the release checklist so the current declaration is attached.","34000.00","Ava Thompson","Converted_to_Order","Low risk document linkage change converted to an order.","06-Aug-2026 09:37:40"
"ECR-2026-0087","Engineering_ECR","Improve regulator inductor noise margin","Prototype power measurements show a marginal noise peak when the selected inductor is loaded near the upper current range.","Evaluate the shielded 22 uH inductor option and bump the item revision if DCR and thermal tests pass.","118000.00","Samuel Adams","Submitted","Electrical test data is still pending.","07-Aug-2026 15:06:23"
"MCR-2026-0042","Manufacturing_MCR","Standardize enclosure gasket inspection","Pilot enclosure builds use different gasket compression checks between shifts, causing inconsistent acceptance decisions.","Add a single inspection gauge method and update the traveler for ENC-00212 assembly verification.","69000.00","Lucas Martin","Acknowledged","Quality review requested first article evidence.","08-Aug-2026 12:40:05"
"ECR-2026-0088","Engineering_ECR","Revise burn in test procedure","The existing burn in procedure does not verify network communication recovery after a power cycle event.","Update TPR-0117 to add a communication check after each power cycle and require captured logs in the validation folder.","58000.00","Amelia Hall","Converted_to_Order","Converted to a process related engineering order for document control release.","09-Aug-2026 17:20:19"
"ECR-2026-0089","Engineering_ECR","Reassess DIN rail power supply source","The proposed DIN rail supply lacks complete regional safety evidence for the target pilot cabinet.","Block release of PSA-000089 until the supplier provides UL and CE certificates or an approved alternate is selected.","376000.00","Noah Williams","Rejected","Rejected due to missing compliance evidence and single source risk.","10-Aug-2026 09:10:44"
"MCR-2026-0043","Manufacturing_MCR","Revise motor encoder cable routing","Actuator fixture builds show abrasion risk where the motor encoder cable crosses the gearbox bracket edge.","Add an alternate routing path with a protective clip and update the fixture photo standard for MOT-00165 installations.","15600.00","Harper Wright","Acknowledged","Temporary deviation option is being reviewed.","11-Aug-2026 14:05:31"
"ECR-2026-0090","Engineering_ECR","Update sensor module calibration note","Sensor module assemblies are being released without a clear instruction for when the calibration table must be loaded.","Add the calibration table instruction to SEN-000305 affected item release notes and verification checklist.","52000.00","Charlotte King","Submitted","Awaiting firmware and quality routing decision.","12-Aug-2026 10:30:16"
"MCR-2026-0044","Manufacturing_MCR","Add gearbox work cell tooling","The gearbox assembly cell needs a bearing press locator and revised torque sequence before production ramp.","Release the tooling kit and update work instructions for GEA-00094 with operator training signoff.","302000.00","Liam Johnson","Acknowledged","Manufacturing and procurement impact review started.","13-Aug-2026 16:45:02"
"ECR-2026-0091","Engineering_ECR","Update carton and foam packaging","Drop test preparation found that the carton insert stackup does not consistently retain the sensor hub accessory kit.","Revise RCT-0153 carton artwork and PFI-0220 foam geometry before customer pilot shipment release.","118000.00","Michael Green","Submitted","Packaging engineering review is pending.","14-Aug-2026 09:58:28"
"ECR-2026-0092","Engineering_ECR","Block obsolete shipping label","A lithium caution label request was raised against an inactive category and lacks approved artwork traceability.","Reject use of SLB-0399 and require category reactivation plus controlled artwork approval before resubmission.","27000.00","Jacob Wilson","Rejected","Rejected because the label category is inactive and artwork evidence is missing.","15-Aug-2026 11:44:37"
"MCR-2026-0045","Manufacturing_MCR","Update control panel connector layout build aid","Panel assemblers need a clearer visual aid after the connector layout revision to avoid cross wiring at final test.","Publish a revised build aid with connector reference designators and add a first shift verification checkpoint.","84500.00","Henry Allen","Submitted","Manufacturing lead is gathering pilot defect examples.","17-Aug-2026 08:55:49"
"ECR-2026-0093","Engineering_ECR","Refresh installation guide template","The installation guide uses an older safety notice format and omits the compact sensor hub mounting clearance note.","Revise IGD-0043 using the current template and add the mounting clearance drawing before document release.","19500.00","Amelia Hall","Acknowledged","Document control accepted the scope as a minor revision.","18-Aug-2026 15:21:06"
"MCR-2026-0046","Manufacturing_MCR","Improve PCB rework tracking","Pilot PCB rework records do not consistently identify which assemblies received the connector clearance change.","Add a rework traveler field for PCB-000519 and require serial number capture before the unit returns to test.","63000.00","Mason Lee","Submitted","Awaiting quality input on traveler retention.","20-Aug-2026 10:38:54"
"ECR-2026-0094","Engineering_ECR","Release configuration tool installer signature note","Validation workstations need a consistent instruction to verify the configuration tool installer signature before use.","Update CFG-00065 release notes and add the installer signature check to the provisioning procedure.","31000.00","William Turner","Converted_to_Order","Converted after IT confirmed signature verification requirement.","21-Aug-2026 13:16:42"
"ECR-2026-0095","Engineering_ECR","Revise user manual diagnostic screens","The user manual does not match the latest control panel diagnostic screen names used during pilot support.","Update UMN-0077 screenshots and navigation steps to match the released panel configuration profile.","48000.00","Sophia Carter","Submitted","Customer support review will be required before approval.","24-Aug-2026 09:42:13"
"MCR-2026-0047","Manufacturing_MCR","Complete foam density trial release","Packaging validation used an alternate foam density and the production traveler must document the approved use up rule.","Update packaging work instructions to allow the validated foam density for the pilot lot and record lot consumption.","9800.00","Lucas Martin","Converted_to_Order","Converted to close the completed packaging deviation trail.","26-Aug-2026 14:29:27"
"ECR-2026-0096","Engineering_ECR","Strengthen secure bootloader preload controls","Pilot units can be flashed manually but there is no checklist verifying boot key provisioning before application firmware load.","Add a bootloader preload checklist for BLD-00035 and require key verification evidence before final firmware programming.","41000.00","Charlotte King","Acknowledged","Firmware and quality reviewers have been added to routing.","28-Aug-2026 11:57:35"
"ECR-2026-0097","Engineering_ECR","Cancel duplicate tactile switch request","The proposed tactile switch duplicates an existing released switch and does not provide lifecycle or force tolerance justification.","Reject SWT-000290 release and direct the requester to use the existing approved switch unless an exception is documented.","12500.00","Olivia Chen","Rejected","Rejected as a duplicate component request with incomplete evidence.","31-Aug-2026 16:06:20"
