"Criteria_Code","Category","Criteria_Name","Description","Applies_To","Measurement_Type","Is_Mandatory","Status"
"2001","New Client Registration","Identity Verification Completeness","Checks whether core identity and ownership details are verified before the registration moves forward.","Registration","Yes/No","true","Active"
"2002","Vendor Registration","Tax and Banking Detail Completeness","Confirms that supplier tax records and banking information are complete and ready for review.","Registration","Yes/No","true","Active"
"2003","Event Attendee Registration","Attendee Contact Accuracy","Measures the accuracy of attendee names contact details and attendance preferences in event records.","Registration","Rating Scale","false","Active"
"2004","Product Warranty Registration","Proof of Purchase Validity","Verifies that purchase evidence matches the product serial number and warranty activation request.","Registration","Yes/No","true","Active"
"2005","Membership Registration","Membership Eligibility Confirmation","Checks whether the applicant meets membership eligibility rules before account creation or renewal.","Registration","Yes/No","true","Active"
"2006","Training Enrollment Registration","Prerequisite Completion Status","Confirms that required prerequisite courses or approvals are completed before training enrollment is accepted.","Registration","Yes/No","true","Active"
"2007","Application Screening Evaluation","Eligibility Match Score","Rates how closely the submitted application matches defined eligibility requirements and screening standards.","Evaluation","Rating Scale","true","Active"
"2008","Document Completeness Evaluation","Required Document Coverage","Counts the percentage of required documents that are present accurate and ready for reviewer validation.","Evaluation","Numeric","true","Active"
"2009","Service Quality Evaluation","Service Experience Rating","Captures the reviewer score for responsiveness accuracy professionalism and overall service delivery quality.","Evaluation","Rating Scale","false","Active"
"2010","Supplier Performance Evaluation","Delivery Reliability Score","Rates supplier delivery performance using timeliness order accuracy and responsiveness during the review period.","Evaluation","Rating Scale","true","Active"
"2011","Candidate Interview Evaluation","Interview Competency Rating","Measures how well the candidate demonstrates role knowledge communication skills and job related competencies.","Evaluation","Rating Scale","true","Active"
"2012","Compliance Evidence Evaluation","Evidence Traceability Check","Confirms that compliance evidence can be traced to the correct policy requirement control and review period.","Evaluation","Yes/No","true","Active"
"2013","Operational Risk Assessment","Process Continuity Impact","Rates the potential disruption to operations if the identified process risk occurs.","Risk Assessment","Rating Scale","true","Active"
"2014","Financial Exposure Assessment","Estimated Financial Exposure","Captures the estimated financial impact amount or exposure score related to the risk under review.","Risk Assessment","Numeric","true","Active"
"2015","Cybersecurity Risk Assessment","Access Control Maturity","Rates the strength of authentication authorization monitoring and privileged access controls.","Risk Assessment","Rating Scale","true","Active"
"2016","Project Delivery Risk Assessment","Schedule Dependency Risk","Measures the likelihood that dependencies scope changes or resource constraints will affect project delivery dates.","Risk Assessment","Rating Scale","true","Active"
"2017","Vendor Risk Assessment","Third Party Control Adequacy","Rates the adequacy of supplier controls for continuity compliance data protection and service reliability.","Risk Assessment","Rating Scale","true","Active"
"2018","Environmental Impact Risk","Environmental Mitigation Readiness","Documents planned mitigation actions for environmental operational or sustainability impacts associated with the activity.","Risk Assessment","Text","false","Inactive"
"2019","Employee Onboarding","Employment Documentation Complete","Confirms that employment forms identification tax details and required acknowledgements are complete for the new employee.","Onboarding","Yes/No","true","Active"
"2020","Customer Onboarding","Account Setup Readiness","Rates readiness of customer profile billing configuration support contacts and launch dependencies.","Onboarding","Rating Scale","true","Active"
"2021","Partner Onboarding","Partner Enablement Completion","Tracks the percentage of enablement materials orientation sessions and setup tasks completed by the partner.","Onboarding","Numeric","false","Active"
"2022","System Access Onboarding","Access Provisioning Accuracy","Confirms that application access permissions and login credentials match the approved role request.","Onboarding","Yes/No","true","Active"
"2023","Policy Orientation","Policy Acknowledgement Completion","Checks whether required policy acknowledgements are completed before onboarding is marked ready.","Onboarding","Yes/No","true","Active"
