"item","notes"
"RES-001249","Affected by the IMU pull up option and resistor tolerance note update for the controller board."
"CAP-000983","Primary item for the input ripple improvement request and capacitor substitution review."
"IND-000377","Included for regulator noise margin evaluation and possible revision bump after DCR confirmation."
"CON-000742","Included in the service connector clearance change and associated enclosure fit review."
"SWT-000290","Tracked as a duplicate tactile switch request that should remain blocked from release."
"PCB-000519","Controller board is affected by connector layout updates and rework traveler tracking changes."
"MOT-00165","Motor item is affected by encoder cable routing and actuator validation requests."
"GEA-00094","Gearbox assembly is affected by bearing press tooling and torque sequence updates."
"BRG-00448","Bearing is included for fixture replacement instruction and lot traceability verification."
"FAS-01323","Fastener item is affected by screw kitting label and approved stainless screw usage changes."
"ENC-00212","Enclosure assembly is affected by gasket compression inspection and connector clearance reviews."
"CBH-000138","Harness assembly is affected by strain relief fixture release and continuity check updates."
"PSA-000089","Power supply is affected by the safety certificate review and sourcing block request."
"SEN-000305","Sensor module is affected by calibration note updates and optional pull up population rules."
"CTL-000058","Control panel assembly is affected by connector layout build aid and diagnostic profile updates."
"IGD-0043","Installation guide is affected by the updated document template and mounting clearance note."
"TPR-0117","Burn in procedure is affected by the added network communication verification step."
"CMP-0032","Compliance package is affected by certificate link correction and release checklist updates."
"UMN-0077","User manual is affected by diagnostic screen name and screenshot updates for pilot support."
"EFW-00206","Firmware package is affected by checksum retry and repository evidence requirements."
"BLD-00035","Bootloader package is affected by secure preload checklist and boot key provisioning controls."
"CFG-00065","Configuration tool is affected by installer signature verification and workstation provisioning updates."
"RCT-0153","Retail carton is affected by artwork and packaging stackup changes for pilot shipment."
"PFI-0220","Foam insert is affected by density trial disposition and carton fit validation."
"SLB-0399","Shipping label is affected by inactive category status and missing controlled artwork approval."
