"Price_Book_Code","Price_Status","Product","Vendor","Arrival_Port","Packaging","Container_Size","Buy_Price_CIF_Curr_MT","Currency","Effective_From","Effective_To","Notes"
"SPB-2026-0001","Active","PE-FILM-LLD-001","Zylker Petrochem Trading LLC","Port of Singapore","Seabulk Flexitank Standard","40HC","1125.50","USD","01-Jul-2026","31-Jul-2026","Core July CIF buy price for LLDPE film resin shipped in standard seabulk liners."
"SPB-2026-0002","Active","PE-FILM-HD-002","Gulf Coast Resin Exporters","Port Houston","40 Foot Container Palletized Bags","40HC","1098.25","USD","02-Jul-2026","31-Jul-2026","Approved HDPE film price for palletized container orders with steady July allocation."
"SPB-2026-0003","Active","PE-FILM-MD-003","Pacific Rim Resin Sources","Port of Shanghai","40 Foot High Cube Bulk Bags","40HC","1138.75","USD","03-Jul-2026","31-Jul-2026","Medium density shrink film grade priced for Asian origin high cube containers."
"SPB-2026-0004","Active","PP-FILM-CPP-004","Atlantic Polymer Supply BV","Port of Rotterdam","Container with Slip Sheets","40HC","1035.40","EUR","04-Jul-2026","31-Jul-2026","European cast PP film resin price includes slip sheet container configuration."
"SPB-2026-0005","Active","PP-FILM-BOPP-005","Mediterranean Resin Partners SA","Port of Algeciras","40 Foot Container Palletized Bags","40HC","1068.90","EUR","06-Jul-2026","31-Jul-2026","BOPP homopolymer PP July pricing for Mediterranean container programs."
"SPB-2026-0006","Active","PVC-PIPE-RIG-006","Rhine Technical Polymers GmbH","Port of Hamburg","20 Foot Container Bulk Bags","20GP","980.30","EUR","07-Jul-2026","31-Jul-2026","Rigid PVC pipe compound price for compact 20GP bulk bag shipments."
"SPB-2026-0007","Draft","PVC-FIT-INJ-007","North Sea Specialty Polymers","Port of Antwerp-Bruges","25 KG Paper Bags on Pallet","20GP","1015.75","EUR","08-Jul-2026","","Draft fittings compound price pending final technical documentation and allocation confirmation."
"SPB-2026-0008","Active","PE-PIPE-HD-008","Zylker Petrochem Trading LLC","Port Houston","20 Foot Container Loose Bags","20GP","1162.00","USD","09-Jul-2026","31-Jul-2026","HDPE pressure pipe grade price for Gulf Coast project deliveries."
"SPB-2026-0009","Active","PE-PIPE-MD-009","Texas Bulk Resin Services","Port Houston","One Ton Bulk Bag","20GP","1147.20","USD","10-Jul-2026","31-Jul-2026","MDPE gas pipe resin pricing based on one ton bulk bag export handling."
"SPB-2026-0010","Active","PE-BLOW-HM-010","Gulf Coast Resin Exporters","Port of Savannah","One Ton Bulk Bag","20GP","1089.60","USD","13-Jul-2026","31-Jul-2026","High melt strength blow moulding PE price for Southeast import containers."
"SPB-2026-0011","Active","PE-BLOW-DRUM-011","Emirates Polymer Distribution FZE","Jebel Ali Port","40 Foot High Cube Bulk Bags","40HC","1118.45","USD","14-Jul-2026","31-Jul-2026","HDPE drum and jerrycan resin price for Middle East origin high cube shipments."
"SPB-2026-0012","Draft","PP-BLOW-CAP-012","Pacific Rim Resin Sources","Port of Shanghai","25 KG PE Bags on Pallet","40HC","1192.80","USD","15-Jul-2026","","Draft PP cap and closure grade price awaiting customer trial volume confirmation."
"SPB-2026-0013","Active","PE-ROTO-GEN-013","Singapore Polymer Logistics Pte Ltd","Port of Singapore","Half Ton Bulk Bag","20GP","1208.35","USD","16-Jul-2026","31-Jul-2026","General purpose roto moulding PE price includes smaller bulk bag format."
"SPB-2026-0014","Active","PE-ROTO-UV-014","Mediterranean Resin Partners SA","Port of Algeciras","Half Ton Bulk Bag","20GP","1245.90","EUR","17-Jul-2026","31-Jul-2026","UV stabilized roto grade supplier price for outdoor tank production programs."
"SPB-2026-0015","Active","PP-INJ-HOMO-015","Atlantic Polymer Supply BV","Port of Rotterdam","25 KG Paper Bags on Pallet","20GP","1044.75","EUR","20-Jul-2026","31-Jul-2026","PP homopolymer injection grade price for palletized small bag shipments."
"SPB-2026-0016","Active","PP-INJ-COP-016","Rhine Technical Polymers GmbH","Port of Hamburg","25 KG PE Bags on Pallet","20GP","1097.10","EUR","21-Jul-2026","31-Jul-2026","Impact copolymer PP price for technical moulding applications and protected bag packaging."
"SPB-2026-0017","Active","PE-INJ-CRATE-017","Zylker Petrochem Trading LLC","Port of Los Angeles","40 Foot Container Palletized Bags","40HC","1168.55","USD","22-Jul-2026","31-Jul-2026","HDPE crate injection grade buy price for West Coast palletized container programs."
"SPB-2026-0018","Active","OTH-INJ-ENG-018","North Sea Specialty Polymers","Port of Antwerp-Bruges","Moisture Barrier Bulk Bag","20GP","1565.20","EUR","23-Jul-2026","31-Jul-2026","Specialty engineering resin blend price includes moisture barrier packaging for technical campaigns."
"SPB-2026-0019","Active","PP-OTHER-FIB-019","Antwerp Additives Group","Port of Antwerp-Bruges","25 KG Paper Bags on Pallet","40HC","1188.65","EUR","27-Jul-2026","31-Jul-2026","Current week PP fiber grade price for European hub distributor transfer planning."
"SPB-2026-0020","Active","PE-OTHER-WAX-020","Antwerp Additives Group","Port of Antwerp-Bruges","Drum Packed Additives","Other","1465.90","EUR","27-Jul-2026","31-Jul-2026","Processing wax concentrate buy price for drum packed additive movements this week."
"SPB-2026-0021","Active","PVC-OTHER-CABLE-021","Mediterranean Resin Partners SA","Port of Algeciras","25 KG Paper Bags on Pallet","20GP","1126.40","EUR","28-Jul-2026","31-Jul-2026","Flexible PVC cable compound price updated for current week Mediterranean supply."
"SPB-2026-0022","Active","OTH-OTHER-ADD-022","Antwerp Additives Group","Port of Antwerp-Bruges","Drum Packed Additives","Other","1680.75","EUR","29-Jul-2026","31-Jul-2026","Additive masterbatch carrier blend price for specialty drum packed July lots."
"SPB-2026-0023","Inactive","PE-FILM-TRIAL-023","Old Coastline Packing Co","Port of Seattle","Container Mixed Pack Trial","Other","995.00","USD","23-Jul-2026","29-Jul-2026","Inactive trial lot pricing retained for historical comparison and should not be used for new quotes."
"SPB-2026-0024","Expired","PVC-PIPE-LEG-024","EuroChem Resin Brokers SARL","Port of Rotterdam","Reconditioned Bulk Bag","20GP","925.50","EUR","12-Jul-2026","24-Jul-2026","Expired legacy PVC pipe resin price retained for audit history after supplier deactivation."
"SPB-2026-0025","Active","PP-INJ-SPEC-025","North Sea Specialty Polymers","Port of Antwerp-Bruges","Moisture Barrier Bulk Bag","20GP","1715.25","EUR","30-Jul-2026","31-Jul-2026","Current day specialty PP medical component grade price with documentation and traceability requirements."
