"order_id","source_request","change_category","title","description","estimated_cost_impact","effectivity_type","effective_date","expiration_date","max_unit_count","alternative_component","units_consumed","status","created_by_employee","created_date","unit_cap_warning_shown","release_error_flag","release_error_details","release_last_attempt_on","approvers"
"ECO-2026-0045","ECR-2026-0081","Engineering_ECO","Replace input filter capacitor on sensor hub","Released immediate capacitor update to improve input ripple margin on pilot controller boards.","185000.00","Permanent_Immediate","03-Aug-2026","","","CAP-000983","","Effective","Olivia Chen","03-Aug-2026 08:35:12","false","false","","03-Aug-2026 11:42:05","201097000000044302"
"ECO-2026-0046","ECR-2026-0081","Engineering_ECO","Approve low profile service connector","Scheduled connector replacement for service cable clearance in the compact enclosure build.","420000.00","Permanent_Scheduled","08-Aug-2026","","","CON-000742","","Approved","Aarav Mehta","03-Aug-2026 10:12:44","false","false","","","201097000000044304"
"MCO-2026-0027","MCR-2026-0038","Manufacturing_MCO","Revise panel screw kitting process","Manufacturing kitting update to standardize stainless pan head screws at the panel assembly station.","95000.00","Permanent_Scheduled","09-Aug-2026","","","FAS-01323","","Submitted","Liam Johnson","03-Aug-2026 14:26:08","false","false","","","201097000000044306"
"PCO-2026-0030","PCO-2026-0029","Process_PCO","Update burn in test sequence","Process change to add network communication verification during the seventy two hour burn in cycle.","58000.00","Permanent_Immediate","04-Aug-2026","","","TPR-0117","","Approval_In_Progress","Amelia Hall","03-Aug-2026 16:05:39","false","false","","","201097000000044308"
"DEV-2026-0013","ECR-2026-0081","Deviation","Temporary use of alternate capacitor","Temporary deviation allowing approved capacitor substitution while regular stock is replenished for pilot lots.","12500.00","Temporary_Deviation","03-Aug-2026","17-Aug-2026","500","CAP-000983","125","Effective","Maya Patel","03-Aug-2026 17:18:22","false","false","","03-Aug-2026 17:45:00","201097000000044310"
"ECO-2026-0047","ECR-2026-0081","Engineering_ECO","Add IMU module pull up resistor option","Engineering change to add configurable pull up resistor locations for the optional motion sensor module.","76000.00","Permanent_Scheduled","14-Aug-2026","","","RES-001249","","Open","Daniel Young","04-Aug-2026 09:31:16","false","false","","","201097000000044312"
"MCO-2026-0028","MCR-2026-0038","Manufacturing_MCO","Release harness strain relief fixture","Completed manufacturing change for harness clamp fixture and operator instruction update.","132000.00","Permanent_Immediate","06-Aug-2026","","","CBH-000138","","Complete","Henry Allen","05-Aug-2026 11:20:48","false","false","","06-Aug-2026 15:19:32","201097000000044314"
"DEV-2026-0014","ECR-2026-0081","Deviation","Use existing right angle connector stock","Deviation permits consumption of remaining right angle connector stock before low profile connector rollout.","8800.00","Temporary_Deviation","04-Aug-2026","10-Aug-2026","200","CON-000742","190","Effective","Ava Thompson","05-Aug-2026 13:44:51","true","false","","05-Aug-2026 16:10:07","201097000000044316"
"PCO-2026-0031","PCO-2026-0029","Process_PCO","Revise firmware provisioning process","Scheduled process update for bootloader preload verification and configuration tool signature check.","64000.00","Permanent_Scheduled","18-Aug-2026","","","CFG-00065","","Approved","Charlotte King","06-Aug-2026 10:08:33","false","false","","","201097000000044318"
"ECO-2026-0048","ECR-2026-0081","Engineering_ECO","Complete PCB revision B release","Engineering order completed for controller PCB revision update with associated BOM line cleanup.","248000.00","Permanent_Immediate","02-Aug-2026","","","PCB-000519","","Complete","Ethan Brown","01-Aug-2026 08:40:11","false","false","","02-Aug-2026 12:26:44","201097000000044320"
"MCO-2026-0029","MCR-2026-0038","Manufacturing_MCO","Rejected motor supplier swap","Manufacturing change was rejected because the proposed motor swap lacked torque validation evidence.","215000.00","Permanent_Scheduled","20-Aug-2026","","","MOT-00165","","Rejected","Mason Lee","08-Aug-2026 12:58:20","false","false","","","201097000000044322"
"DEV-2026-0015","ECR-2026-0081","Deviation","Expired bearing substitution for line recovery","Short term bearing substitution used for line recovery has reached its expiration and is closed to new use.","18500.00","Temporary_Deviation","01-Aug-2026","02-Aug-2026","75","BRG-00448","75","Expired","Harper Wright","01-Aug-2026 10:10:10","true","false","","02-Aug-2026 18:05:55","201097000000044324"
"PCO-2026-0032","PCO-2026-0029","Process_PCO","Immediate update to inspection certificate link","Process update changes the quality release checklist to reference the latest compliance certificate package.","34000.00","Permanent_Immediate","03-Aug-2026","","","CMP-0032","","Effective","Sophia Carter","09-Aug-2026 09:22:41","false","false","","09-Aug-2026 10:48:18","201097000000044326"
"ECO-2026-0049","ECR-2026-0081","Engineering_ECO","Controller panel design change","Design change updates the control panel assembly with revised connector layout and compliance documentation.","495000.00","Permanent_Scheduled","24-Aug-2026","","","CTL-000058","","Approval_In_Progress","Lucas Martin","10-Aug-2026 14:36:07","false","false","","","201097000000044328"
"MCO-2026-0030","MCR-2026-0038","Manufacturing_MCO","Cancel legacy enclosure screw replacement","Cancelled manufacturing change because the replacement screw kit was superseded by a broader enclosure update.","22000.00","Permanent_Immediate","07-Aug-2026","","","FAS-01323","","Cancelled","William Turner","11-Aug-2026 08:55:19","false","false","","","201097000000044330"
