"Option_Code","Pricing_Request","Option_Name","Customer","Customer_Branch","Delivery_Region","Product","Vendor","Arrival_Port","Packaging","Delivery_Model","Total_Quantity_KG","Container_Size","Qty_Per_Pallet_KG","Qty_Per_Container_KG","Quote_Currency","Margin_Percent","Supplier_Price_Record","Logistics_Matrix_Record","FX_Rate_Record","Exchange_Rate","Exchange_Rate_Description","Buy_Price_CIF_Curr_MT","Buy_Currency","Supplier_Price_AUD_MT","Duty_AUD_MT","Wharf_Clearance_AUD_MT","Port_Fees_Transport_WH_AUD_MT","Repacking_Costs_AUD_MT","Est_Storage_Cost_AUD_MT","Additional_Charges_AUD_MT","Fuel_Levy_Percent","Est_Delivery_Cost_AUD_MT","Financing_Percent","Cost_Adders_AUD_MT","Overall_Product_Cost_AUD_MT","Margin_AUD_MT","Quoted_Price_MT","Calculation_Status","Calculation_Message","Calculated_On"
"PO-202607-0001","1001","Botany HDPE Film Bulk Bag Option","Harbour Packaging Supplies","Botany DC","AU-SYD-SOUTH","PE-FILM-HD-002","Gulf Coast Resin Exporters","Port of Singapore","1.1 Ton Bulk Bag","Australia East Coast DAP","66000.00","40HC","1100.00","22000.00","AUD","10.25","SPB-2026-0002","LCM-0002","USD-AUD-20260728","1.5180","USD to AUD current week rate for Australian quote costing","1098.25","USD","1667.14","38.75","19.10","45.30","4.00","0.00","4.25","7.00","62.80","1.15","197.77","1864.91","213.12","2078.03","Calculated","Calculated using current week USD to AUD rate and active Sydney logistics matrix.","03-Jul-2026 14:25:00"
"PO-202607-0002","1001","Botany LLDPE Seabulk Alternate","Harbour Packaging Supplies","Botany DC","AU-SYD-SOUTH","PE-FILM-LLD-001","Zylker Petrochem Trading LLC","Port of Singapore","Seabulk Flexitank Standard","Australia East Coast DAP","72000.00","40HC","0.00","24000.00","AUD","11.00","SPB-2026-0001","LCM-0002","USD-AUD-20260716","1.5255","Mid month USD to AUD costing rate for alternate seabulk option","1125.50","USD","1717.95","42.50","19.10","45.30","0.00","0.00","4.25","7.00","62.80","1.15","198.11","1916.06","236.83","2152.89","Calculated","Alternate seabulk option calculated for comparison against packaged distributor replenishment.","04-Jul-2026 10:40:00"
"PO-202607-0003","1002","Penrose PVC Pipe Bulk Bag Option","Kiwi Pipe Systems Ltd","Penrose Pipe Yard","NZ-AKL-SOUTH","PVC-PIPE-RIG-006","Rhine Technical Polymers GmbH","Port of Singapore","20 Foot Container Bulk Bags","New Zealand Direct DDP","60000.00","20GP","1000.00","20000.00","NZD","13.00","SPB-2026-0006","LCM-0003","EUR-AUD-20260720","1.7840","EUR to AUD monthly procurement conversion used for New Zealand quote costing","980.30","EUR","1748.86","62.40","22.80","51.40","5.75","0.00","6.10","8.50","71.60","1.35","249.75","1998.61","298.64","2502.65","Calculated","Calculated for Penrose pipe yard using active Auckland direct delivery matrix.","06-Jul-2026 09:15:00"
"PO-202607-0004","1002","Penrose HDPE Pressure Pipe Direct Option","Kiwi Pipe Systems Ltd","Penrose Pipe Yard","NZ-AKL-SOUTH","PE-PIPE-HD-008","Zylker Petrochem Trading LLC","Port of Singapore","20 Foot Container Bulk Bags","Indent Direct Vessel","80000.00","20GP","1000.00","20000.00","NZD","12.75","SPB-2026-0008","LCM-0003","USD-AUD-20260728","1.5180","USD to AUD current week costing rate for PE pipe comparison","1162.00","USD","1763.92","41.80","22.80","51.40","5.75","0.00","6.10","8.50","71.60","1.35","229.35","1993.27","291.50","2488.11","Calculated","Indent delivery option prepared for PE pressure pipe project comparison.","07-Jul-2026 16:05:00"
"PO-202607-0005","1006","Te Rapa Cast PP Film Pallet Option","North Island Packaging Co","Te Rapa Converter Plant","NZ-WAIKATO","PP-FILM-CPP-004","Atlantic Polymer Supply BV","Port of Singapore","25 KG PE Bags on Pallet","New Zealand Direct DDP","45000.00","20GP","1250.00","22500.00","NZD","9.95","SPB-2026-0004","LCM-0019","EUR-AUD-20260720","1.7840","EUR to AUD cost conversion with proxy New Zealand warehouse tariff","1035.40","EUR","1847.95","51.00","23.35","52.85","5.95","0.00","6.45","8.65","76.90","1.40","249.02","2096.97","231.71","2536.20","Draft","Draft calculation uses Christchurch current week matrix until Waikato tariff is confirmed.","08-Jul-2026 11:20:00"
"PO-202607-0006","1023","East Tamaki BOPP Overflow Pallet Option","North Island Packaging Co","East Tamaki Warehouse","NZ-AKL-EAST","PP-FILM-BOPP-005","Mediterranean Resin Partners SA","Port of Singapore","40 Foot Container Palletized Bags","New Zealand Direct DDP","48000.00","40HC","1200.00","24000.00","NZD","10.20","SPB-2026-0005","LCM-0003","EUR-AUD-20260720","1.7840","EUR to AUD cost conversion for Auckland overflow warehouse estimate","1068.90","EUR","1907.12","49.30","22.80","51.40","5.75","0.00","6.10","8.50","71.60","1.35","238.79","2145.91","243.90","2602.70","Missing Inputs","Awaiting dedicated East Tamaki logistics matrix before final approval.","10-Jul-2026 13:35:00"
"PO-202607-0007","1010","Richmond PE Blow Moulding Bulk Bag Option","Vancouver Resin Importers","Richmond Terminal","CA-BC-LOWERMAINLAND","PE-BLOW-HM-010","Gulf Coast Resin Exporters","Port of Vancouver","40 Foot High Cube Bulk Bags","Canada Pacific DDP","96800.00","40HC","1100.00","24200.00","USD","11.10","SPB-2026-0010","LCM-0007","USD-AUD-20260728","1.5180","USD to AUD cost conversion for Canada Pacific delivered quote","1089.60","USD","1653.41","37.90","21.15","48.60","2.75","7.20","4.10","7.40","64.25","1.25","211.37","1864.78","232.90","1382.48","Calculated","Calculated with active Vancouver DDP logistics costs and current PE buy price.","14-Jul-2026 10:10:00"
"PO-202607-0008","1010","Richmond PP Fiber Mixed Container Option","Vancouver Resin Importers","Richmond Terminal","CA-BC-LOWERMAINLAND","PP-OTHER-FIB-019","Antwerp Additives Group","Port of Vancouver","40 Foot High Cube Bulk Bags","Canada Pacific DDP","72600.00","40HC","1100.00","24200.00","USD","11.50","SPB-2026-0019","LCM-0007","EUR-AUD-20260720","1.7840","EUR to AUD cost conversion for European origin PP fiber allocation","1188.65","EUR","2120.55","48.90","21.15","48.60","2.75","7.20","4.10","7.40","64.25","1.25","228.21","2348.76","305.20","1748.46","Calculated","Mixed container option calculated for Vancouver distributor import planning.","15-Jul-2026 15:45:00"
"PO-202607-0009","1011","Montreal Specialty PP Medical Moisture Barrier Option","Montreal Compounding Labs","Saint Laurent Lab Store","CA-QC-MTL","PP-INJ-SPEC-025","North Sea Specialty Polymers","Port of Montreal","Moisture Barrier Bulk Bag","Temperature Controlled Storage","19000.00","20GP","1000.00","19000.00","USD","8.90","SPB-2026-0025","LCM-0008","EUR-AUD-20260720","1.7840","EUR to AUD landed cost conversion for controlled storage quotation","1715.25","EUR","3060.01","79.95","22.40","50.10","6.80","5.50","4.75","7.35","31.20","1.30","242.77","3302.78","322.91","2380.00","Draft","Draft specialty option uses Montreal matrix pending carrier confirmation.","16-Jul-2026 09:55:00"
"PO-202607-0010","1011","Montreal Engineering Blend Controlled Storage Option","Montreal Compounding Labs","Saint Laurent Lab Store","CA-QC-MTL","OTH-INJ-ENG-018","North Sea Specialty Polymers","Port of Montreal","Moisture Barrier Bulk Bag","Temperature Controlled Storage","38000.00","20GP","1000.00","19000.00","USD","8.90","SPB-2026-0018","LCM-0008","EUR-AUD-20260720","1.7840","EUR to AUD landed cost conversion for specialty engineering resin","1565.20","EUR","2791.92","72.80","22.40","50.10","6.80","5.50","4.75","7.35","31.20","1.30","232.14","3024.06","295.42","2185.35","Draft","Controlled storage surcharge is included while approval remains pending.","17-Jul-2026 14:30:00"
"PO-202607-0011","1013","Santos PP BOPP Seabulk Review Option","Santos Film Industries","Alemoa Film Plant","BR-SANTOS","PP-FILM-BOPP-005","Mediterranean Resin Partners SA","Port of Santos","Seabulk Flexitank Standard","Latin America Port Delivery","96000.00","40HC","0.00","24000.00","USD","12.70","SPB-2026-0005","LCM-0010","EUR-AUD-20260720","1.7840","EUR to AUD cost conversion with Santos surcharge under review","1068.90","EUR","1906.92","49.30","28.75","63.40","0.00","0.00","8.60","9.60","94.20","1.70","246.26","2153.18","312.26","1625.45","Missing Inputs","Request rejected because logistics surcharge requires refresh before quote approval.","18-Jul-2026 12:05:00"
"PO-202607-0012","1013","Santos LLDPE Film Seabulk Rework Option","Santos Film Industries","Alemoa Film Plant","BR-SANTOS","PE-FILM-LLD-001","Zylker Petrochem Trading LLC","Port of Santos","Seabulk Flexitank Standard","Latin America Port Delivery","72000.00","40HC","0.00","24000.00","USD","12.70","SPB-2026-0001","LCM-0010","USD-AUD-20260728","1.5180","USD to AUD current week costing rate while Santos freight is reviewed","1125.50","USD","1708.51","42.50","28.75","63.40","0.00","0.00","8.60","9.60","94.20","1.70","275.53","1984.04","288.60","1496.45","Missing Inputs","Rework option retained for carrier surcharge comparison before resubmission.","20-Jul-2026 10:50:00"
"PO-202607-0013","1017","Jurong PP Fiber Repack Hub Option","Singapore Polymer Hub","Jurong East Hub","SG-JURONG","PP-OTHER-FIB-019","Antwerp Additives Group","Port of Singapore","Bulk Bag to 25 KG Repack","Singapore Transshipment Hub","40000.00","Other","1000.00","20000.00","USD","6.50","SPB-2026-0019","LCM-0016","EUR-AUD-20260720","1.7840","EUR to AUD cost conversion for internal hub repack calculation","1188.65","EUR","2120.55","48.90","14.85","34.60","11.50","6.40","2.80","5.90","24.75","0.85","163.28","2283.83","158.73","1608.95","Calculated","Internal hub repack pricing calculated with active Jurong matrix.","23-Jul-2026 09:40:00"
"PO-202607-0014","1017","Jurong Additive Drum Pack Handling Option","Singapore Polymer Hub","Jurong East Hub","SG-JURONG","OTH-OTHER-ADD-022","Antwerp Additives Group","Port of Singapore","Drum Packed Additives","Singapore Transshipment Hub","9600.00","Other","400.00","9600.00","USD","6.50","SPB-2026-0022","LCM-0016","EUR-AUD-20260720","1.7840","EUR to AUD cost conversion for drum packed additive allocation","1680.75","EUR","2998.46","75.50","14.85","34.60","11.50","6.40","2.80","5.90","24.75","0.85","197.35","3195.81","222.27","2245.11","Calculated","Drum packed additive handling calculated for internal transshipment allocation.","24-Jul-2026 16:15:00"
"PO-202607-0015","1018","Laverton MDPE Film Palletized Draft Option","Southern Film Converters Pty Ltd","Laverton North Distribution","AU-MEL-WEST","PE-FILM-MD-003","Pacific Rim Resin Sources","Port of Singapore","40 Foot Container Palletized Bags","Australia Metro Warehouse DDP","72000.00","40HC","1200.00","24000.00","AUD","11.75","SPB-2026-0003","LCM-0001","USD-AUD-20260728","1.5180","USD to AUD current week rate for Melbourne palletized estimate","1138.75","USD","1728.22","45.20","18.50","42.75","6.25","8.90","3.50","7.20","58.40","1.10","206.71","1934.93","257.65","2192.58","Missing Inputs","Missing dedicated Laverton matrix; draft estimate uses Melbourne metro base.","24-Jul-2026 17:25:00"
"PO-202607-0016","1018","Dandenong LLDPE Seabulk Metro Option","Southern Film Converters Pty Ltd","Dandenong South Main","AU-MEL-EAST","PE-FILM-LLD-001","Zylker Petrochem Trading LLC","Port of Singapore","Seabulk Flexitank Standard","Australia Metro Warehouse DDP","120000.00","40HC","0.00","24000.00","AUD","12.50","SPB-2026-0001","LCM-0001","USD-AUD-20260728","1.5180","USD to AUD current week rate for Melbourne metro calculation","1125.50","USD","1708.51","42.50","18.50","42.75","6.25","8.90","3.50","7.20","58.40","1.10","203.79","1912.30","273.19","2185.49","Calculated","Calculated for Dandenong South using active metro DDP agreement costs.","27-Jul-2026 09:20:00"
"PO-202607-0017","1019","Hunter MDPE Pipe Project Bag Option","Harbour Packaging Supplies","Hunter Contract Depot","NSW-HUNTER","PE-PIPE-MD-009","Texas Bulk Resin Services","Port of Singapore","One Ton Bulk Bag","Project Site Direct Delivery","40000.00","20GP","1000.00","20000.00","AUD","9.50","SPB-2026-0009","LCM-0002","USD-AUD-20260728","1.5180","USD to AUD current week rate for Hunter project estimate","1147.20","USD","1741.45","40.60","19.10","45.30","4.00","0.00","4.25","7.00","62.80","1.15","200.48","1941.93","203.87","2145.80","Draft","Draft Hunter option uses Sydney south tariff while project carrier schedule is confirmed.","27-Jul-2026 13:05:00"
"PO-202607-0018","1019","Hunter HDPE Film Bulk Bag Draft Option","Harbour Packaging Supplies","Hunter Contract Depot","NSW-HUNTER","PE-FILM-HD-002","Gulf Coast Resin Exporters","Port of Singapore","One Ton Bulk Bag","Project Site Direct Delivery","60000.00","20GP","1000.00","20000.00","AUD","9.75","SPB-2026-0002","LCM-0002","USD-AUD-20260728","1.5180","USD to AUD current week rate for Newcastle depot costing","1098.25","USD","1667.14","38.75","19.10","45.30","4.00","0.00","4.25","7.00","62.80","1.15","197.77","1864.91","201.45","2066.36","Draft","Draft option prepared while Hunter depot forecast and delivery windows are confirmed.","28-Jul-2026 11:35:00"
"PO-202607-0019","1002","Tauranga HDPE Pipe High Cube Indent Option","Kiwi Pipe Systems Ltd","Tauranga Project Store","NZ-BOP-PORT","PE-PIPE-HD-008","Zylker Petrochem Trading LLC","Port of Singapore","40 Foot High Cube Bulk Bags","Indent Direct Vessel","96800.00","40HC","1100.00","24200.00","NZD","13.50","SPB-2026-0008","LCM-0003","USD-AUD-20260728","1.5180","USD to AUD current week costing with Auckland proxy matrix","1162.00","USD","1763.92","41.80","22.80","51.40","5.75","0.00","6.10","8.50","71.60","1.35","229.35","1993.27","311.02","2510.98","Draft","Tauranga project option uses Auckland direct delivery costs pending Bay of Plenty update.","28-Jul-2026 15:55:00"
"PO-202607-0020","1002","Tauranga PVC Pipe High Cube Alternate","Kiwi Pipe Systems Ltd","Tauranga Project Store","NZ-BOP-PORT","PVC-PIPE-RIG-006","Rhine Technical Polymers GmbH","Port of Singapore","40 Foot High Cube Bulk Bags","Indent Direct Vessel","96800.00","40HC","1100.00","24200.00","NZD","13.25","SPB-2026-0006","LCM-0003","EUR-AUD-20260720","1.7840","EUR to AUD procurement conversion with New Zealand proxy delivery matrix","980.30","EUR","1748.86","62.40","22.80","51.40","5.75","0.00","6.10","8.50","71.60","1.35","249.75","1998.61","305.23","2508.31","Draft","Alternate PVC pipe option prepared for project store review before final carrier allocation.","29-Jul-2026 09:10:00"
"PO-202607-0021","1006","Te Rapa Cast PP Film Seasonal Volume Option","North Island Packaging Co","Te Rapa Converter Plant","NZ-WAIKATO","PP-FILM-CPP-004","Atlantic Polymer Supply BV","Port of Singapore","25 KG PE Bags on Pallet","New Zealand Direct DDP","67500.00","20GP","1250.00","22500.00","NZD","9.95","SPB-2026-0004","LCM-0019","EUR-AUD-20260720","1.7840","EUR to AUD cost conversion with proxy current week New Zealand matrix","1035.40","EUR","1847.95","51.00","23.35","52.85","5.95","0.00","6.45","8.65","76.90","1.40","249.02","2096.97","231.71","2536.20","Draft","Seasonal volume option remains draft until Te Rapa forecast is confirmed.","29-Jul-2026 14:45:00"
"PO-202607-0022","1023","East Tamaki BOPP Current Day Approval Option","North Island Packaging Co","East Tamaki Warehouse","NZ-AKL-EAST","PP-FILM-BOPP-005","Mediterranean Resin Partners SA","Port of Singapore","40 Foot Container Palletized Bags","New Zealand Direct DDP","72000.00","40HC","1200.00","24000.00","NZD","10.20","SPB-2026-0005","LCM-0019","EUR-AUD-20260720","1.7840","EUR to AUD cost conversion using current week New Zealand tariff","1068.90","EUR","1907.12","49.30","23.35","52.85","5.95","0.00","6.45","8.65","76.90","1.40","247.15","2154.27","244.72","2612.62","Draft","Current day option submitted for seasonal overflow margin approval.","30-Jul-2026 08:50:00"
"PO-202607-0023","1010","Richmond HDPE Drum Resin High Cube Option","Vancouver Resin Importers","Richmond Terminal","CA-BC-LOWERMAINLAND","PE-BLOW-DRUM-011","Emirates Polymer Distribution FZE","Port of Vancouver","40 Foot High Cube Bulk Bags","Canada Pacific DDP","72600.00","40HC","1100.00","24200.00","USD","11.10","SPB-2026-0011","LCM-0007","USD-AUD-20260728","1.5180","USD to AUD current week costing for Canada high cube option","1118.45","USD","1697.41","39.25","21.15","48.60","2.75","7.20","4.10","7.40","64.25","1.25","213.27","1910.68","238.55","1415.83","Calculated","High cube drum resin option calculated for mixed Vancouver import planning.","30-Jul-2026 11:25:00"
"PO-202607-0024","1011","Montreal Specialty PP Small Campaign Option","Montreal Compounding Labs","Saint Laurent Lab Store","CA-QC-MTL","PP-INJ-SPEC-025","North Sea Specialty Polymers","Port of Montreal","Moisture Barrier Bulk Bag","Temperature Controlled Storage","19000.00","20GP","1000.00","19000.00","USD","8.75","SPB-2026-0025","LCM-0008","EUR-AUD-20260720","1.7840","EUR to AUD landed cost conversion for small controlled storage campaign","1715.25","EUR","3060.01","79.95","22.40","50.10","6.80","5.50","4.75","7.35","31.20","1.30","242.77","3302.78","316.80","2378.35","Draft","Current day controlled storage campaign remains in approval review.","30-Jul-2026 15:10:00"
"PO-202607-0025","1017","Jurong PE Processing Wax Drum Pack Option","Singapore Polymer Hub","Jurong East Hub","SG-JURONG","PE-OTHER-WAX-020","Antwerp Additives Group","Port of Singapore","Drum Packed Additives","Singapore Transshipment Hub","19200.00","Other","400.00","9600.00","USD","6.80","SPB-2026-0020","LCM-0016","EUR-AUD-20260720","1.7840","EUR to AUD cost conversion for processing wax hub allocation","1465.90","EUR","2615.17","68.40","14.85","34.60","11.50","6.40","2.80","5.90","24.75","0.85","186.99","2802.16","204.47","1972.75","Calculated","Processing wax option calculated for Jurong internal allocation and repack planning.","31-Jul-2026 09:30:00"
