"Vendor","Document_Type","Related_Process","Document_Number","Issue_Date","Expiry_Date","Verification_Status","Verified_By","Verified_On","Rejection_Reason","Notes"
"Apex Industrial Components","Registration","Registration","VREG-2026-0801","01-Aug-2026","29-Aug-2026","Verified","maya.patel@zylker.com","06-Aug-2026","","Registration certificate matches vendor profile and tax records."
"BrightSource Distribution","Insurance","Onboarding","INS-BSD-0802","03-Aug-2026","05-Aug-2026","Expired","","","","Insurance certificate expired before onboarding review was completed."
"NovaTech Field Services","Contract","Onboarding","CTR-NFS-0803","04-Aug-2026","30-Aug-2026","Verified","ethan.chen@zylker.com","06-Aug-2026","","Service contract is signed and ready for onboarding reference."
"GreenLine Packaging","Compliance","Evaluation","CMP-GLP-0804","05-Aug-2026","20-Aug-2026","Pending","","","","Sustainability compliance evidence is awaiting reviewer assignment."
"Sterling Office Supplies","Tax","Registration","TAX-SOS-0805","02-Aug-2026","28-Aug-2026","Verified","olivia.brown@zylker.com","06-Aug-2026","","Tax registration document aligns with supplier billing profile."
"Quantum Safety Systems","Quality Certificate","Risk Assessment","QC-QSS-0806","03-Aug-2026","22-Aug-2026","Rejected","liam.davis@zylker.com","06-Aug-2026","Certificate serial could not be matched to issuer record.","Quality certificate requires replacement before risk review can close."
"Harbor Logistics Partners","Registration","Registration","REG-HLP-0807","06-Aug-2026","31-Aug-2026","Pending","","","","Registration package is under intake review for route coverage setup."
"Meridian Compliance Advisors","KYC","Risk Assessment","KYC-MCA-0808","06-Aug-2026","27-Aug-2026","Verified","sophia.lee@zylker.com","06-Aug-2026","","KYC evidence was validated for advisory engagement review."
"Atlas Metal Works","Quality Certificate","Performance Review","QC-AMW-0809","01-Aug-2026","04-Aug-2026","Expired","","","","Certificate expired during suspended vendor follow up."
"BluePeak Technology Solutions","Compliance","Risk Assessment","CMP-BTS-0810","06-Aug-2026","31-Aug-2026","Verified","noor.ahmed@zylker.com","06-Aug-2026","","Security compliance attestation is current for software support services."
"Sunrise Chemical Supply","Insurance","Risk Assessment","INS-SCS-0811","01-Aug-2026","05-Aug-2026","Rejected","isabella.clark@zylker.com","05-Aug-2026","Coverage limits do not meet hazardous material handling requirement.","Vendor must provide revised hazardous material insurance evidence."
"Northstar Facilities Group","Contract","Onboarding","CTR-NFG-0812","07-Aug-2026","25-Aug-2026","Pending","","","","Facilities contract is pending final scope confirmation."
"CoreBridge Consulting","Financial","Evaluation","FIN-CBC-0813","08-Aug-2026","31-Aug-2026","Verified","ryan.moore@zylker.com","09-Aug-2026","","Financial statement supports consulting capacity evaluation."
"Summit Electrical Contractors","Registration","Onboarding","REG-SEC-0814","05-Aug-2026","24-Aug-2026","Pending","","","","Site access registration evidence is awaiting safety coordinator response."
"EcoWare Manufacturing","Quality Certificate","Evaluation","QC-EWM-0815","09-Aug-2026","26-Aug-2026","Verified","ava.martin@zylker.com","10-Aug-2026","","Manufacturing quality certificate is acceptable for sample review."
"Redwood Maintenance Services","KYC","Registration","KYC-RMS-0816","06-Aug-2026","21-Aug-2026","Pending","","","","KYC document is queued for initial registration completeness check."
"Vertex Precision Tools","Tax","Registration","TAX-VPT-0817","01-Aug-2026","31-Aug-2026","Verified","yara.haddad@zylker.com","03-Aug-2026","","Tax document is valid for preferred tooling supplier profile."
"Horizon Medical Supplies","Insurance","Risk Assessment","INS-HMS-0818","04-Aug-2026","18-Aug-2026","Verified","hannah.walker@zylker.com","05-Aug-2026","","Insurance evidence supports noncritical medical supply approval."
"Silverline Print Services","Other","General","OTH-SPS-0819","03-Aug-2026","17-Aug-2026","Rejected","lily.campbell@zylker.com","04-Aug-2026","Uploaded file was unreadable and did not identify the issuing authority.","Prospective vendor was asked to resubmit a readable supporting document."
"TerraBuild Contractors","Contract","Risk Assessment","CTR-TBC-0820","06-Aug-2026","19-Aug-2026","Pending","","","","Contract document is pending review with subcontractor closeout notes."
"CloudAxis Software Services","Compliance","Risk Assessment","CMP-CAS-0821","02-Aug-2026","29-Aug-2026","Verified","arjun.menon@zylker.com","06-Aug-2026","","Compliance package confirms security and support integration requirements."
"Keystone Mechanical Systems","Quality Certificate","Evaluation","QC-KMS-0822","07-Aug-2026","28-Aug-2026","Verified","sarah.jones@zylker.com","08-Aug-2026","","Inspection certificate is traceable and suitable for evaluation evidence."
"Pacific Components Depot","Registration","Registration","REG-PCD-0823","05-Aug-2026","16-Aug-2026","Pending","","","","Distributor registration is awaiting product origin document review."
"AgileProcure Consultants","Contract","Onboarding","CTR-APC-0824","01-Aug-2026","30-Aug-2026","Verified","maya.patel@zylker.com","04-Aug-2026","","Consulting contract is approved for onboarding reference."
"MetroFleet Leasing","Financial","Evaluation","FIN-MFL-0825","06-Aug-2026","23-Aug-2026","Rejected","peter.collins@zylker.com","07-Aug-2026","Financial statement is missing auditor confirmation and current-period schedule.","Finance requested an updated statement before lease review continues."
"GlobalSecure Screening","Compliance","Risk Assessment","CMP-GSS-0826","03-Aug-2026","25-Aug-2026","Pending","","","","Privacy compliance questionnaire is under detailed risk review."
"Innovent Lab Equipment","Tax","Registration","TAX-ILE-0827","06-Aug-2026","27-Aug-2026","Verified","yara.haddad@zylker.com","06-Aug-2026","","Tax evidence is valid for lab equipment onboarding records."
"PrimeSource Distribution","Insurance","Onboarding","INS-PSD-0828","02-Aug-2026","22-Aug-2026","Verified","emily.nguyen@zylker.com","05-Aug-2026","","Insurance coverage is sufficient for inventory replenishment onboarding."
"Cascade Furniture Makers","Quality Certificate","Performance Review","QC-CFM-0829","01-Aug-2026","05-Aug-2026","Expired","","","","Quality certificate expired while warranty claim follow up remained open."
"Delta Calibration Services","Quality Certificate","Evaluation","QC-DCS-0830","06-Aug-2026","31-Aug-2026","Verified","daniela.costa@zylker.com","06-Aug-2026","","Calibration certificate is traceable and current for service review."
"Beacon Energy Solutions","Financial","Risk Assessment","FIN-BES-0831","03-Aug-2026","15-Aug-2026","Pending","","","","Rate exposure document is awaiting finance risk assessment review."
"UrbanWaste Management","Compliance","Risk Assessment","CMP-UWM-0832","04-Aug-2026","14-Aug-2026","Rejected","isabella.clark@zylker.com","06-Aug-2026","Permit attachment does not include the required service coverage schedule.","Compliance team requested a corrected permit package from the vendor."
"Platinum Travel Services","Registration","Registration","REG-PTS-0833","06-Aug-2026","20-Aug-2026","Pending","","","","Prospective travel vendor registration documents are being collected."
"ClearWater Utilities","Tax","Registration","TAX-CWU-0834","01-Aug-2026","12-Aug-2026","Verified","jack.thompson@zylker.com","03-Aug-2026","","Tax documentation matches utility account billing information."
"Falcon Robotics Manufacturing","Quality Certificate","Evaluation","QC-FRM-0835","05-Aug-2026","31-Aug-2026","Verified","priya.shah@zylker.com","06-Aug-2026","","Robotics quality certificate supports preferred supplier evaluation."
"Allied Training Partners","Contract","Onboarding","CTR-ATP-0836","06-Aug-2026","29-Aug-2026","Verified","omar.hassan@zylker.com","07-Aug-2026","","Training services contract is verified for facilitator onboarding."
"Zenith Paper Products","Insurance","Risk Assessment","INS-ZPP-0837","03-Aug-2026","24-Aug-2026","Pending","","","","Insurance evidence is pending review with sustainability documentation."
"Oceanic Freight Forwarders","Compliance","Risk Assessment","CMP-OFF-0838","02-Aug-2026","18-Aug-2026","Rejected","noor.ahmed@zylker.com","06-Aug-2026","Customs compliance attestation is unsigned and references an obsolete policy.","Vendor must resubmit customs compliance evidence before review closure."
"Integra Legal Advisors","Contract","General","CTR-ILA-0839","04-Aug-2026","31-Aug-2026","Verified","thomas.baker@zylker.com","05-Aug-2026","","Legal advisory contract is complete and ready for general reference."
"MountainView Construction","Insurance","Onboarding","INS-MVC-0840","06-Aug-2026","26-Aug-2026","Pending","","","","Construction insurance document is awaiting site safety approval."
"FlexiStaff Contractors","KYC","Registration","KYC-FSC-0841","01-Aug-2026","05-Aug-2026","Rejected","hannah.walker@zylker.com","05-Aug-2026","Screening document failed identity match and labor compliance evidence was insufficient.","Rejected KYC file is retained for audit traceability."
"Sapphire Electronics Supply","Tax","Registration","TAX-SES-0842","07-Aug-2026","31-Aug-2026","Verified","olivia.brown@zylker.com","08-Aug-2026","","Tax registration is current for electronics distributor profile."
"BioSafe Cleaning Services","Compliance","Risk Assessment","CMP-BCS-0843","05-Aug-2026","19-Aug-2026","Verified","liam.davis@zylker.com","06-Aug-2026","","Chemical storage compliance evidence passed document verification."
"Crown Food Services","Quality Certificate","Evaluation","QC-CFS-0844","08-Aug-2026","23-Aug-2026","Pending","","","","Food safety quality certificate is pending allergen process review."
"NextWave Network Services","Compliance","Risk Assessment","CMP-NNS-0845","06-Aug-2026","30-Aug-2026","Verified","marcus.rivera@zylker.com","06-Aug-2026","","Network security compliance evidence is verified for risk assessment."
