"Risk_Assessment_ID","Vendor","Assessment_Date","Assessor_Email","Financial_Risk_Score","Compliance_Risk_Score","Operational_Risk_Score","Cyber_Risk_Score","Overall_Risk_Score","Risk_Tier","Risk_Status","Mitigation_Plan","Assessment_Notes"
"1","Apex Office Supplies","03-Aug-2026","nina.risk@zylker.com","18.50","22.00","24.50","20.00","21.25","Low","Acceptable","Continue standard annual monitoring and confirm insurance renewal dates.","Supplier shows stable finances, clean compliance evidence, and dependable fulfillment history."
"2","Northstar Logistics","03-Aug-2026","omar.audit@zylker.com","42.00","55.00","48.00","50.00","48.75","Medium","Acceptable","Review route subcontractor controls, update insurance evidence, and monitor missed pickup trends each quarter.","Cross border logistics exposure is moderate, with acceptable controls and improving service performance."
"3","ByteBridge Systems","03-Aug-2026","priya.governance@zylker.com","21.00","26.00","24.00","28.00","24.75","Low","Acceptable","Maintain annual SOC evidence collection and verify integration change controls during renewal.","Integration vendor has low financial exposure and adequate cyber documentation for current scope."
"4","GreenField Catering Services","04-Aug-2026","marcus.review@zylker.com","28.00","34.00","38.00","30.00","32.50","Medium","Acceptable","Refresh food safety certificates and track incident logs during first service quarter.","Catering controls are acceptable, though operational continuity depends on local kitchen staffing."
"5","GlobalTech Components","04-Aug-2026","leah.risk@zylker.com","50.00","54.00","58.00","52.00","53.50","Medium","Acceptable","Require updated delivery recovery plan and evidence of supplier redundancy before additional orders.","Evaluation notes indicate lead time pressure and moderate dependency on overseas component sources."
"6","Precision Parts Manufacturing","05-Aug-2026","nina.risk@zylker.com","15.00","18.00","20.00","16.00","17.25","Low","Acceptable","Continue quality audits and maintain monthly defect trend review.","Manufacturing vendor has strong quality results, stable liquidity, and mature operational controls."
"7","Harbor Freight Forwarding","05-Aug-2026","omar.audit@zylker.com","68.00","72.00","76.00","70.00","71.50","High","Unacceptable","Require corrective action plan within 30 days, monthly customs delay review, and finance approval before scope expansion.","High risk driven by operational delay history, customs documentation gaps, and watchlist status."
"8","CleanWorks Facility Services","06-Aug-2026","priya.governance@zylker.com","36.00","45.00","42.00","38.00","40.25","Medium","Acceptable","Verify site supervisor coverage, review safety training completion, and refresh certificate tracking.","Facility services controls are generally sound with moderate compliance monitoring requirements."
"9","Meridian Cloud Solutions","06-Aug-2026","marcus.review@zylker.com","44.00","52.00","46.00","58.00","50.00","Medium","Acceptable","Close open security questionnaire items and monitor uptime service credits monthly.","Cloud provider security posture is acceptable, with residual cyber risk around access review timing."
"10","Evergreen Packaging Co.","07-Aug-2026","leah.risk@zylker.com","20.00","24.00","22.00","18.00","21.00","Low","Acceptable","Maintain supplier scorecard review and confirm warehouse contingency contacts.","Packaging supplier demonstrates stable performance, responsive account support, and low compliance exposure."
