"linked_deviation","units_built_this_batch","batch_reference","recorded_by_employee","recorded_on"
"DEV-2026-0013","12","LOT-AUG-001-SHUB","Liam Johnson","03-Aug-2026 08:22:15"
"DEV-2026-0013","18","LOT-AUG-002-SHUB","Mason Lee","03-Aug-2026 10:14:38"
"DEV-2026-0013","15","LOT-AUG-003-SHUB","Henry Allen","03-Aug-2026 14:05:27"
"DEV-2026-0014","2","LOT-AUG-004-CONN","Ava Thompson","04-Aug-2026 09:18:42"
"DEV-2026-0013","20","LOT-AUG-005-SHUB","Liam Johnson","04-Aug-2026 13:47:10"
"DEV-2026-0013","16","LOT-AUG-006-SHUB","Henry Allen","05-Aug-2026 11:26:33"
"DEV-2026-0014","1","LOT-AUG-007-CONN","Harper Wright","05-Aug-2026 15:32:19"
"DEV-2026-0013","14","LOT-AUG-008-SHUB","Mason Lee","06-Aug-2026 08:55:04"
"DEV-2026-0013","10","LOT-AUG-009-SHUB","Liam Johnson","07-Aug-2026 16:21:48"
"DEV-2026-0014","3","LOT-AUG-010-CONN","Ava Thompson","08-Aug-2026 10:38:52"
"DEV-2026-0013","22","LOT-AUG-011-SHUB","Henry Allen","09-Aug-2026 12:44:07"
"DEV-2026-0013","18","LOT-AUG-012-SHUB","Mason Lee","10-Aug-2026 09:11:23"
"DEV-2026-0014","2","LOT-AUG-013-CONN","Harper Wright","10-Aug-2026 14:27:36"
"DEV-2026-0013","25","LOT-AUG-014-SHUB","Liam Johnson","11-Aug-2026 08:49:15"
"DEV-2026-0013","12","LOT-AUG-015-SHUB","Henry Allen","12-Aug-2026 13:16:29"
"DEV-2026-0013","16","LOT-AUG-016-SHUB","Mason Lee","13-Aug-2026 10:05:44"
"DEV-2026-0014","2","LOT-AUG-017-CONN","Ava Thompson","14-Aug-2026 15:39:51"
"DEV-2026-0013","19","LOT-AUG-018-SHUB","Liam Johnson","17-Aug-2026 09:24:18"
"DEV-2026-0013","21","LOT-AUG-019-SHUB","Henry Allen","18-Aug-2026 11:42:06"
"DEV-2026-0013","17","LOT-AUG-020-SHUB","Mason Lee","19-Aug-2026 16:08:37"
"DEV-2026-0013","13","LOT-AUG-021-SHUB","Harper Wright","21-Aug-2026 08:31:22"
"DEV-2026-0013","24","LOT-AUG-022-SHUB","Liam Johnson","24-Aug-2026 14:52:09"
"DEV-2026-0013","20","LOT-AUG-023-SHUB","Henry Allen","26-Aug-2026 10:19:33"
"DEV-2026-0013","14","LOT-AUG-024-SHUB","Mason Lee","28-Aug-2026 13:44:26"
"DEV-2026-0013","18","LOT-AUG-025-SHUB","Ava Thompson","31-Aug-2026 15:18:57"
