"Scale_Name","Process_Area","Rating_Label","Rating_Value","Score_Percentage","Risk_Flag","Status","Notes"
"Registration Completeness Score","Registration","Missing information","1","20.00","Critical","Active","Use when required registration details are absent or unusable."
"Registration Completeness Score","Registration","Incomplete submission","2","40.00","High","Active","Several required registration fields or supporting items are still pending."
"Registration Completeness Score","Registration","Partially complete","3","60.00","Medium","Active","Most core registration information is present but review is still needed."
"Registration Completeness Score","Registration","Complete submission","4","80.00","Low","Active","All required registration details are present with minor verification pending."
"Registration Completeness Score","Registration","Verified and complete","5","100.00","Low","Active","Registration record is complete verified and ready for downstream processing."
"Evaluation Quality Score","Evaluation","Poor evidence","1","20.00","High","Active","Evaluation has insufficient evidence and does not support a reliable decision."
"Evaluation Quality Score","Evaluation","Below expectations","2","40.00","Medium","Active","Evaluation contains limited analysis and needs additional reviewer attention."
"Evaluation Quality Score","Evaluation","Meets minimum standard","3","60.00","Medium","Active","Evaluation includes acceptable findings but may need clarification."
"Evaluation Quality Score","Evaluation","Strong evaluation","4","80.00","Low","Active","Evaluation is well supported with clear findings and consistent scoring."
"Evaluation Quality Score","Evaluation","Excellent evaluation","5","100.00","Low","Active","Evaluation is complete objective and fully supported by documented evidence."
"Risk Impact Rating","Risk Assessment","Insignificant impact","1","20.00","Low","Active","Potential issue has minimal operational or financial impact if it occurs."
"Risk Impact Rating","Risk Assessment","Minor impact","2","40.00","Low","Active","Potential issue may cause limited disruption that is easily contained."
"Risk Impact Rating","Risk Assessment","Moderate impact","3","60.00","Medium","Active","Potential issue could affect timelines costs or service quality in a measurable way."
"Risk Impact Rating","Risk Assessment","Major impact","4","80.00","High","Active","Potential issue may create serious disruption and require management escalation."
"Risk Impact Rating","Risk Assessment","Severe impact","5","100.00","Critical","Active","Potential issue could cause critical business compliance or customer impact."
"Risk Likelihood Rating","Risk Assessment","Rare occurrence","1","20.00","Low","Active","Risk is unlikely under current controls and operating conditions."
"Risk Likelihood Rating","Risk Assessment","Unlikely occurrence","2","40.00","Low","Active","Risk could occur but is not expected in the normal course of operations."
"Risk Likelihood Rating","Risk Assessment","Possible occurrence","3","60.00","Medium","Active","Risk has a reasonable chance of occurring based on current indicators."
"Risk Likelihood Rating","Risk Assessment","Likely occurrence","4","80.00","High","Active","Risk is expected to occur unless additional mitigation is applied."
"Risk Likelihood Rating","Risk Assessment","Almost certain occurrence","5","100.00","Critical","Active","Risk is imminent or recurring and requires urgent mitigation planning."
"Onboarding Readiness Score","Onboarding","Not ready","1","20.00","High","Active","Critical onboarding prerequisites are missing and start activities should be delayed."
"Onboarding Readiness Score","Onboarding","Limited readiness","2","40.00","Medium","Active","Several onboarding items remain open and require coordination before launch."
"Onboarding Readiness Score","Onboarding","Mostly ready","3","60.00","Medium","Active","Core onboarding items are prepared with a few dependencies still open."
"Onboarding Readiness Score","Onboarding","Ready with minor actions","4","80.00","Low","Active","Onboarding can proceed while minor administrative tasks are completed."
"Onboarding Readiness Score","Onboarding","Fully ready","5","100.00","Not Applicable","Active","All onboarding prerequisites are complete and the participant can proceed."
"Onboarding Task Progress","Onboarding","Not started","1","0.00","Medium","Active","No onboarding tasks have been completed for the record."
"Onboarding Task Progress","Onboarding","Started","2","25.00","Medium","Active","Initial onboarding tasks are in progress with major items still remaining."
"Onboarding Task Progress","Onboarding","In progress","3","50.00","Low","Active","Approximately half of the onboarding checklist has been completed."
"Onboarding Task Progress","Onboarding","Nearly complete","4","75.00","Low","Active","Most onboarding tasks are complete with only final confirmations pending."
"Onboarding Task Progress","Onboarding","Completed","5","100.00","Not Applicable","Active","All required onboarding tasks have been completed and confirmed."
"Performance Competency Rating","Performance Review","Needs significant improvement","1","20.00","High","Active","Competency level is below role expectations and requires immediate development support."
"Performance Competency Rating","Performance Review","Developing competency","2","40.00","Medium","Active","Competency is emerging but performance is inconsistent against expectations."
"Performance Competency Rating","Performance Review","Meets expectations","3","60.00","Low","Active","Competency meets the expected standard for the role and review period."
"Performance Competency Rating","Performance Review","Exceeds expectations","4","80.00","Not Applicable","Active","Competency is consistently above expected standards and contributes strong results."
"Performance Competency Rating","Performance Review","Exceptional competency","5","100.00","Not Applicable","Active","Competency demonstrates outstanding mastery and strong positive influence."
"Goal Achievement Rating","Performance Review","Goal not achieved","1","20.00","High","Active","Target outcome was not met and corrective planning is required."
"Goal Achievement Rating","Performance Review","Partially achieved","2","40.00","Medium","Active","Some milestones were completed but the overall goal remains below target."
"Goal Achievement Rating","Performance Review","Achieved as planned","3","60.00","Low","Active","Goal was completed according to the agreed success criteria."
"Goal Achievement Rating","Performance Review","Exceeded target","4","80.00","Not Applicable","Active","Goal was completed above target with measurable added value."
"Goal Achievement Rating","Performance Review","Outstanding achievement","5","100.00","Not Applicable","Active","Goal results significantly exceeded expectations and delivered exceptional impact."
"Service Satisfaction Score","General","Very dissatisfied","1","20.00","High","Active","Feedback indicates serious dissatisfaction and immediate follow up is recommended."
"Service Satisfaction Score","General","Dissatisfied","2","40.00","Medium","Active","Feedback indicates concerns that should be reviewed for service improvement."
"Service Satisfaction Score","General","Neutral","3","60.00","Low","Active","Feedback is acceptable but does not indicate strong satisfaction."
"Service Satisfaction Score","General","Satisfied","4","80.00","Not Applicable","Active","Feedback indicates a positive experience with minor improvement opportunities."
"Service Satisfaction Score","General","Very satisfied","5","100.00","Not Applicable","Active","Feedback indicates an excellent experience and strong service confidence."
"Process Maturity Rating","General","Ad hoc","1","20.00","High","Active","Process is informal inconsistent and dependent on individual effort."
