"Delivery_Model_Code","Delivery_Model_Name","Delivery_Status","Incoterm","Agreement_Type","Include_Warehouse_Costs","Include_Delivery_Costs","Include_Storage_Costs","Include_Repacking_Costs","Default_Terms_Text","Notes"
"DM-001","Australia Metro Warehouse DDP","Active","DDP","Blanket Agreement","true","true","true","true","Pricing includes approved warehouse handling, local delivery, up to seven days storage, and standard carton repacking.","Used for high volume Australian contract customers requiring delivered metro service."
"DM-002","Australia East Coast DAP","Active","DAP","Standard Delivery","true","true","false","false","Pricing includes origin documentation, warehouse dispatch handling, and delivery to the nominated East Coast customer site.","Default model for Sydney, Melbourne, and Brisbane palletized orders."
"DM-003","New Zealand Direct DDP","Active","DDP","Direct to Customer","false","true","false","true","Pricing includes customs cleared delivery to the customer site and standard repacking for damaged outer bags when needed.","Used for Auckland and Christchurch direct customer shipments."
"DM-004","US Gulf Customer Delivery","Active","DAP","Standard Delivery","true","true","false","false","Pricing includes port drayage, warehouse receiving, and scheduled delivery from Gulf Coast storage to the customer.","Common route for Houston and nearby industrial customers."
"DM-005","West Coast Import Blanket","Active","DDP","Blanket Order Contract","true","true","true","false","Pricing includes import clearance support, warehouse storage up to fourteen days, and prebooked local delivery windows.","Supports Los Angeles and Long Beach blanket order contracts."
"DM-006","Distributor Ex Warehouse","Active","Other","Blanket Agreement","true","false","true","false","Pricing includes warehouse receiving, stock rotation, and storage charges; customer arranges outbound freight collection.","Used when distributors nominate their own carriers."
"DM-007","Indent Direct Vessel","Active","DAP","Indent","false","true","false","false","Pricing includes supplier to arrival port movement and delivery coordination to the nominated destination after arrival.","Best for indent orders with customer forecast confirmation."
"DM-008","Canada Pacific DDP","Active","DDP","Standard Delivery","true","true","true","false","Pricing includes port handling, Vancouver warehouse costs, storage allowance, and delivery to approved Canadian sites.","Designed for Canadian Pacific gateway distributor shipments."
"DM-009","Latin America Port Delivery","Active","DAP","Direct to Customer","false","true","false","false","Pricing includes delivery to named arrival port or inland point with customs support handled by the buyer.","Used for Mexico, Chile, Brazil, and Argentina customer routes."
"DM-010","Europe Hub Distribution","Active","DDP","Blanket Agreement","true","true","true","true","Pricing includes hub warehousing, delivery scheduling, storage allowance, and repacking for mixed pallet preparation.","Configured for Rotterdam, Antwerp, and Hamburg regional distribution."
"DM-011","Singapore Transshipment Hub","Active","Other","Other","true","false","true","true","Pricing includes hub storage and repacking services; onward ocean or road freight is quoted separately.","Internal regional hub model for Southeast Asia allocation movements."
"DM-012","Prepaid Spot Customer DAP","Active","DAP","Standard Delivery","false","true","false","false","Pricing includes delivery to the confirmed customer address after prepaid funds are cleared and stock is allocated.","Used for spot customers with prepaid terms and limited service requirements."
"DM-013","Direct Plant to Customer","Active","DAP","Direct to Customer","false","true","false","false","Pricing includes direct delivery from plant or terminal to customer without intermediate warehouse storage.","Suitable for full truckload movements where warehouse handling is not required."
"DM-014","Bulk Bag Repack Program","Active","DDP","Blanket Order Contract","true","true","true","true","Pricing includes warehouse handling, storage allowance, bulk bag repacking, and delivered freight to contracted customers.","Used for customers requiring smaller pack sizes from bulk imported lots."
"DM-015","Emergency Replacement Delivery","Active","DDP","Other","true","true","false","true","Pricing includes expedited handling, same week delivery planning, and repacking required to restore shipment quality.","Reserved for service recovery and urgent replacement loads."
"DM-016","Inactive Legacy FOB Equivalent","Inactive","Other","Other","false","false","false","false","","Retired model replaced by customer arranged freight process."
"DM-017","Inactive Old NZ Warehouse","Inactive","DAP","Standard Delivery","false","false","false","false","","Legacy New Zealand warehouse configuration kept for audit history only."
"DM-018","Inactive Manual Repack Only","Inactive","Other","Other","false","false","false","true","","Manual repack service no longer offered as a standalone delivery model."
"DM-019","Inactive West Coast Trial","Inactive","DDP","Blanket Agreement","true","true","false","false","","Pilot route closed after warehouse transition to the blanket import model."
"DM-020","Cross Dock No Storage","Active","DAP","Standard Delivery","true","true","false","false","Pricing includes cross dock handling and delivery to customer, with no storage allowance included.","Use for fast moving shipments that leave the warehouse within twenty four hours."
"DM-021","Customer Carrier Collection","Active","Other","Standard Delivery","true","false","false","false","Pricing includes warehouse release and loading charges; customer nominated carrier is responsible for delivery.","Appropriate for customers with negotiated transport contracts."
"DM-022","Intercompany Hub Transfer","Active","DAP","Other","true","true","true","false","Pricing includes warehouse transfer handling, internal freight, and storage for allocation balancing between hubs.","Used for internal replenishment and inventory repositioning."
"DM-023","Project Site Direct Delivery","Active","DDP","Indent","false","true","false","false","Pricing includes delivered freight to approved project sites under confirmed indent order schedules.","Used for pipe and fittings project deliveries with scheduled site access."
"DM-024","Temperature Controlled Storage","Active","DDP","Blanket Agreement","true","true","true","false","Pricing includes controlled storage, warehouse monitoring, and delivered freight for sensitive additive and specialty resin lots.","Applied only where product handling instructions require temperature control."
"DM-025","Inactive Regional Distributor Contract","Inactive","DAP","Blanket Order Contract","true","true","true","false","","Former regional distributor contract retained for historical pricing references."
