"Packaging_Code","Packaging_Name","Packaging_Status","Packaging_Type","Default_Qty_Per_Pallet_KG","Default_Qty_Per_Container_KG","Repacking_Required_By_Default","Notes"
"PKG-001","Seabulk Flexitank Standard","Active","Seabulk","0.00","24000.00","false","Standard seabulk configuration for resin pellets shipped in lined bulk containers."
"PKG-002","Seabulk Food Grade Liner","Active","Seabulk","0.00","23500.00","false","Dedicated clean liner option used for high specification polymer grades requiring contamination control."
"PKG-003","Seabulk Heavy Duty Liner","Active","Seabulk","0.00","25000.00","false","Heavy duty liner for dense resin grades and long haul ocean shipments."
"PKG-004","Seabulk Trial Shipment","Inactive","Seabulk","0.00","22000.00","true","Legacy trial setup retained for historical comparison only."
"PKG-005","One Ton Bulk Bag","Active","Bulk Bags","1000.00","20000.00","false","Common one ton FIBC bulk bag configuration for palletized warehouse handling."
"PKG-006","1.1 Ton Bulk Bag","Active","Bulk Bags","1100.00","22000.00","false","Preferred bulk bag size for high volume PE and PP customers with forklift handling capability."
"PKG-007","1.25 Ton Bulk Bag","Active","Bulk Bags","1250.00","22500.00","false","Used where customers can receive heavier pallets and want fewer handling units."
"PKG-008","Half Ton Bulk Bag","Active","Bulk Bags","500.00","16000.00","true","Smaller repacked bulk bag option for customers with limited silo or hopper capacity."
"PKG-009","Moisture Barrier Bulk Bag","Active","Bulk Bags","1000.00","19000.00","true","Bulk bag with liner for hygroscopic additives or specialty compounds requiring extra protection."
"PKG-010","Reconditioned Bulk Bag","Inactive","Bulk Bags","950.00","18000.00","true","Retired option no longer used for new customer orders due to updated quality standards."
"PKG-011","20 Foot Container Loose Bags","Active","Container","1200.00","18000.00","false","Container loaded with palletized loose bags for smaller import consignments."
"PKG-012","40 Foot Container Palletized Bags","Active","Container","1200.00","24000.00","false","Standard full container load of palletized 25 kilogram bags."
"PKG-013","40 Foot High Cube Bulk Bags","Active","Container","1100.00","24200.00","false","High cube container configuration for bulk bags shipped to distributor warehouses."
"PKG-014","20 Foot Container Bulk Bags","Active","Container","1000.00","20000.00","false","Compact container option for dense resin grades and regional shipments."
"PKG-015","Container with Slip Sheets","Active","Container","1250.00","23750.00","true","Slip sheet configuration used when customer requests reduced timber pallet content."
"PKG-016","Container Mixed Pack Trial","Inactive","Container","900.00","18000.00","true","Inactive mixed pack option retained for audit records from previous customer trials."
"PKG-017","25 KG Paper Bags on Pallet","Active","Other","1000.00","20000.00","false","Standard small bag pallet for injection moulding and compounding customers."
"PKG-018","25 KG PE Bags on Pallet","Active","Other","1250.00","22500.00","false","Polyethylene bag format used for moisture resistant packaged resin deliveries."
"PKG-019","500 KG Octabin","Active","Other","500.00","11000.00","true","Octabin format for processors needing smaller batch feeding and controlled warehouse storage."
"PKG-020","Gaylord Box with Liner","Active","Other","650.00","13000.00","true","Boxed liner packaging for specialty resins requiring clean discharge into process equipment."
"PKG-021","Drum Packed Additives","Active","Other","400.00","9600.00","true","Drum packaging option for additives and concentrates moved alongside resin shipments."
"PKG-022","Sample Cartons","Active","Other","100.00","2000.00","true","Small carton configuration for customer trials and lab evaluation quantities."
"PKG-023","Returnable Plastic Bins","Inactive","Other","600.00","12000.00","true","Inactive returnable bin program closed after limited customer adoption."
"PKG-024","Bulk Bag to 25 KG Repack","Active","Other","1000.00","20000.00","true","Default repacking service for converting imported bulk bags into smaller customer bags."
"PKG-025","Emergency Replacement Pack","Active","Other","750.00","15000.00","true","Flexible packaging option used for urgent replacement loads and quality recovery shipments."
