"Branch_Code","Customer","Branch_Name","Branch_Status","Country","City","Suburb","State","Postal_Code","Delivery_Address","Delivery_Region","Historical_Location","Default_Arrival_Port","Preferred_Packaging","Preferred_Container_Size","Notes"
"CBR-0001","Southern Film Converters Pty Ltd","Dandenong South Main","Active","Australia","Melbourne","Dandenong South","Victoria","3175","42 Polymer Drive Dandenong South VIC 3175","AU-MEL-EAST","false","Port of Singapore","Seabulk Flexitank Standard","40HC","Main delivery branch for high volume PE film consignments"
"CBR-0002","Southern Film Converters Pty Ltd","Laverton North Distribution","Active","Australia","Melbourne","Laverton North","Victoria","3026","18 Resin Circuit Laverton North VIC 3026","AU-MEL-WEST","false","Port of Singapore","40 Foot Container Palletized Bags","40HC","West metro warehouse receiving palletized film resin"
"CBR-0003","Harbour Packaging Supplies","Botany DC","Active","Australia","Sydney","Botany","New South Wales","2019","7 Foreshore Road Botany NSW 2019","AU-SYD-SOUTH","false","Port of Singapore","1.1 Ton Bulk Bag","40HC","Preferred Sydney delivery site for distributor stock replenishment"
"CBR-0004","Harbour Packaging Supplies","Hunter Contract Depot","Active","Australia","Newcastle","","New South Wales","2304","25 Industrial Road Mayfield West NSW 2304","NSW-HUNTER","false","Port of Singapore","One Ton Bulk Bag","20GP","Delivery region supplied because suburb changes by project site"
"CBR-0005","Kiwi Pipe Systems Ltd","Penrose Pipe Yard","Active","New Zealand","Auckland","Penrose","Auckland","1061","91 Station Road Penrose Auckland 1061","NZ-AKL-SOUTH","false","Port of Singapore","20 Foot Container Bulk Bags","20GP","Primary pipe extrusion yard with scheduled forklift unloading"
"CBR-0006","Kiwi Pipe Systems Ltd","Tauranga Project Store","Active","New Zealand","Tauranga","Mount Maunganui","Bay of Plenty","3116","14 Portside Avenue Mount Maunganui Tauranga 3116","NZ-BOP-PORT","false","Port of Singapore","40 Foot High Cube Bulk Bags","40HC","Project stock point for North Island infrastructure deliveries"
"CBR-0007","Canterbury Moulding Works","Hornby Plant","Active","New Zealand","Christchurch","Hornby","Canterbury","8042","56 Moulders Lane Hornby Christchurch 8042","NZ-CHC-WEST","false","Port of Singapore","25 KG Paper Bags on Pallet","20GP","Receiving area configured for palletized injection moulding grades"
"CBR-0008","Pacific Resin Distribution","Lytton Warehouse","Active","Australia","Brisbane","Lytton","Queensland","4178","33 Port Gate Drive Lytton QLD 4178","AU-BNE-PORT","false","Port of Singapore","Seabulk Heavy Duty Liner","40HC","Bulk receiving warehouse for Queensland distributor imports"
"CBR-0009","Pacific Resin Distribution","Townsville Depot","Active","Australia","Townsville","Garbutt","Queensland","4814","12 Ingham Road Garbutt QLD 4814","AU-NQLD","false","Port of Singapore","40 Foot Container Palletized Bags","40HC","Regional depot covering North Queensland customer collections"
"CBR-0010","Adelaide Roto Plastics","Wingfield Site","Active","Australia","Adelaide","Wingfield","South Australia","5013","6 Cormack Road Wingfield SA 5013","AU-ADL-NORTH","false","Port of Singapore","Half Ton Bulk Bag","20GP","Smaller bulk bags preferred for roto moulding feed systems"
"CBR-0011","Tasman Specialty Resins","Invermay Trial Store","Inactive","Australia","Launceston","Invermay","Tasmania","7248","22 Churchill Park Drive Invermay TAS 7248","TAS-NORTH","true","Port of Singapore","Sample Cartons","Other","Historical trial delivery point retained for reference only"
"CBR-0012","North Island Packaging Co","Te Rapa Converter Plant","Active","New Zealand","Hamilton","Te Rapa","Waikato","3200","77 Sunshine Avenue Te Rapa Hamilton 3200","NZ-WAIKATO","false","Port of Singapore","25 KG PE Bags on Pallet","20GP","Regular PP film packaging deliveries with pallet appointments"
"CBR-0013","North Island Packaging Co","East Tamaki Warehouse","Active","New Zealand","Auckland","East Tamaki","Auckland","2013","9 Cryers Road East Tamaki Auckland 2013","NZ-AKL-EAST","false","Port of Singapore","40 Foot Container Palletized Bags","40HC","Overflow warehouse for seasonal packaging stock"
"CBR-0014","Houston Polymer Solutions","Pasadena Plant","Active","United States","Houston","Pasadena","Texas","77506","2100 Red Bluff Road Pasadena TX 77506","US-TX-GULF","false","Port Houston","One Ton Bulk Bag","20GP","Gulf Coast plant deliveries scheduled by morning appointment"
"CBR-0015","Houston Polymer Solutions","Baytown Pipe Site","Active","United States","Baytown","Baytown","Texas","77520","115 Industrial Harbor Road Baytown TX 77520","US-TX-BAY","false","Port Houston","20 Foot Container Loose Bags","20GP","Pipe grade receiving site with direct drayage preference"
"CBR-0016","Golden State Film Products","Vernon Film Plant","Active","United States","Los Angeles","Vernon","California","90058","3100 Bandini Boulevard Vernon CA 90058","US-CA-LA","false","Port of Los Angeles","Seabulk Food Grade Liner","40HC","High cleanliness liner option for premium film resin imports"
"CBR-0017","Empire Packaging Group","Elizabeth Distribution Center","Active","United States","Elizabeth","Elizabeth","New Jersey","07201","88 Kapkowski Road Elizabeth NJ 07201","US-NJ-PORT","false","Port of New York and New Jersey","40 Foot Container Palletized Bags","40HC","East Coast distributor DC for packaged resin stock"
"CBR-0018","Vancouver Resin Importers","Richmond Terminal","Active","Canada","Vancouver","Richmond","British Columbia","V6V 1A1","1440 River Road Richmond BC V6V 1A1","CA-BC-LOWERMAINLAND","false","Port of Vancouver","40 Foot High Cube Bulk Bags","40HC","Pacific gateway branch for mixed PE and PP imports"
"CBR-0019","Montreal Compounding Labs","Saint Laurent Lab Store","Active","Canada","Montreal","Saint Laurent","Quebec","H4S 1Y7","5015 Cote Vertu Boulevard Saint Laurent QC H4S 1Y7","CA-QC-MTL","false","Port of Montreal","Moisture Barrier Bulk Bag","20GP","Controlled receiving location for specialty compounding campaigns"
