"Account_Name","Account_Type","Industry","Website.value","Website.url","Website.title","Primary_Email","Phone","Billing_Address","Account_Status"
"Apex Fabrication Inc","Customer","Manufacturing","Apex Fabrication Website","https://www.apexfabrication.com","Apex Fabrication Inc","apex.fabrication@zylker.com","+14125550101","1200 Foundry Road, Pittsburgh, PA 15222, USA","Active"
"Meridian Finance Group","Customer","Finance","Meridian Finance Website","https://www.meridianfinancegroup.com","Meridian Finance Group","meridian.finance@zylker.com","+12125550118","88 Liberty Street, New York, NY 10005, USA","Active"
"CareWell Clinics","Partner","Healthcare","CareWell Clinics Website","https://www.carewellclinics.com","CareWell Clinics","carewell.clinics@zylker.com","+13125550124","450 Wellness Avenue, Chicago, IL 60611, USA","Active"
"NovaGrid Technologies","Customer","Technology","NovaGrid Technologies Website","https://www.novagridtech.com","NovaGrid Technologies","novagrid.tech@zylker.com","+14085550133","210 Innovation Parkway, San Jose, CA 95134, USA","Active"
"UrbanNest Retailers","Customer","Retail","UrbanNest Retailers Website","https://www.urbannestretail.com","UrbanNest Retailers","urbannest.retail@zylker.com","+16175550149","75 Market Square, Boston, MA 02109, USA","Prospect"
"CivicWorks Agency","Customer","Government","CivicWorks Agency Website","https://www.civicworksagency.gov","CivicWorks Agency","civicworks.agency@zylker.com","+12025550157","300 Capitol Mall, Washington, DC 20001, USA","Active"
"GreenLeaf Supply","Vendor","Manufacturing","GreenLeaf Supply Website","https://www.greenleafsupply.com","GreenLeaf Supply","greenleaf.supply@zylker.com","+15035550162","980 Industrial Way, Portland, OR 97214, USA","Active"
"HarborPay Services","Partner","Finance","HarborPay Services Website","https://www.harborpayservices.com","HarborPay Services","harborpay.services@zylker.com","+14105550179","62 Harbor Point Drive, Baltimore, MD 21230, USA","Active"
"MediCore Labs","Customer","Healthcare","MediCore Labs Website","https://www.medicorelabs.com","MediCore Labs","medicore.labs@zylker.com","+16195550186","5400 Research Center Drive, San Diego, CA 92121, USA","Active"
"CloudPeak Systems","Vendor","Technology","CloudPeak Systems Website","https://www.cloudpeaksystems.com","CloudPeak Systems","cloudpeak.systems@zylker.com","+13035550192","1660 Tech Center Boulevard, Denver, CO 80202, USA","Active"
"BrightCart Stores","Customer","Retail","BrightCart Stores Website","https://www.brightcartstores.com","BrightCart Stores","brightcart.stores@zylker.com","+17045550205","22 Commerce Lane, Charlotte, NC 28202, USA","Prospect"
"Northbridge Council","Customer","Government","Northbridge Council Website","https://www.northbridgecouncil.gov","Northbridge Council","northbridge.council@zylker.com","+16175550211","10 Civic Plaza, Cambridge, MA 02139, USA","Active"
"Summit Logistics","Partner","Other","Summit Logistics Website","https://www.summitlogistics.com","Summit Logistics","summit.logistics@zylker.com","+13145550227","875 Distribution Drive, St. Louis, MO 63102, USA","Active"
"Precision Alloy Works","Customer","Manufacturing","Precision Alloy Works Website","https://www.precisionalloyworks.com","Precision Alloy Works","precision.alloy@zylker.com","+13175550238","240 Forge Street, Indianapolis, IN 46204, USA","Active"
"BlueRiver Capital","Customer","Finance","BlueRiver Capital Website","https://www.bluerivercapital.com","BlueRiver Capital","blueriver.capital@zylker.com","+14155550244","600 Montgomery Street, San Francisco, CA 94111, USA","Active"
"VitalPath Health","Customer","Healthcare","VitalPath Health Website","https://www.vitalpathhealth.com","VitalPath Health","vitalpath.health@zylker.com","+12165550259","4100 Medical Plaza, Cleveland, OH 44114, USA","Active"
"QuantumForge Software","Customer","Technology","QuantumForge Software Website","https://www.quantumforgesoftware.com","QuantumForge Software","quantumforge.software@zylker.com","+15125550268","315 Digital Loop, Austin, TX 78701, USA","Active"
"MarketLane Co","Vendor","Retail","MarketLane Co Website","https://www.marketlaneco.com","MarketLane Co","marketlane.co@zylker.com","+12145550272","700 Retail Row, Dallas, TX 75201, USA","Inactive"
"StateLine Utilities","Customer","Government","StateLine Utilities Website","https://www.statelineutilities.gov","StateLine Utilities","stateline.utilities@zylker.com","+15185550284","920 Public Works Drive, Albany, NY 12207, USA","Active"
"Zylker Operations","Internal","Technology","Zylker Operations Website","https://www.zylkeroperations.com","Zylker Operations","zylker.operations@zylker.com","+16505550297","1 Zylker Plaza, Pleasanton, CA 94588, USA","Active"
"PrimeSource Packaging","Vendor","Manufacturing","PrimeSource Packaging Website","https://www.primesourcepackaging.com","PrimeSource Packaging","primesource.packaging@zylker.com","+14145550302","1800 Packaging Parkway, Milwaukee, WI 53202, USA","Active"
"SecureBank Partners","Partner","Finance","SecureBank Partners Website","https://www.securebankpartners.com","SecureBank Partners","securebank.partners@zylker.com","+16025550318","250 Financial Center, Phoenix, AZ 85004, USA","Active"
"Horizon Home Goods","Customer","Retail","Horizon Home Goods Website","https://www.horizonhomegoods.com","Horizon Home Goods","horizon.homegoods@zylker.com","+16125550329","520 Home Market Drive, Minneapolis, MN 55401, USA","Prospect"
"Public Safety Bureau","Customer","Government","Public Safety Bureau Website","https://www.publicsafetybureau.gov","Public Safety Bureau","public.safety@zylker.com","+17025550336","400 Municipal Center, Las Vegas, NV 89101, USA","Active"
"EcoMetrics Analytics","Other","Technology","EcoMetrics Analytics Website","https://www.ecometricsanalytics.com","EcoMetrics Analytics","ecometrics.analytics@zylker.com","+12065550345","155 Sustainability Avenue, Seattle, WA 98101, USA","Inactive"
