"Audit","Checklist_Question","Category","Result","Notes","Evidence_Link.value","Evidence_Link.url","Evidence_Link.title","Requires_Finding"
"03-Jul-2026","Is the release approval package complete and signed by required owners?","Documentation","Compliant","Approval records were complete and matched the deployment calendar.","Release approval package","https://evidence.zylker.com/audits/1001/release-approval","Release Approval Evidence","false"
"04-Jul-2026","Are month-end reconciliations reviewed before close sign off?","Finance","Observation","Reconciliations were reviewed but variance comments should be more descriptive.","Close reconciliation sample","https://evidence.zylker.com/audits/1002/reconciliations","Close Reconciliation Evidence","true"
"08-Jul-2026","Are stale endpoint enrollment records assigned to accountable owners?","IT","Non-Compliant","Several exception records lacked current ownership and remediation dates.","Endpoint exception report","https://evidence.zylker.com/audits/1003/endpoint-exceptions","Endpoint Exception Evidence","true"
"10-Jul-2026","Do high priority security alerts include escalation notes and triage outcomes?","IT","Observation","Escalation paths were followed but duplicate alert notes need cleanup.","Security alert sample","https://evidence.zylker.com/audits/1004/security-alerts","Security Alert Evidence","true"
"11-Jul-2026","Are machine guarding checks completed for sampled production areas?","Safety","Compliant","Machine guarding records were available for all sampled areas.","Machine guarding checklist","https://evidence.zylker.com/audits/1005/machine-guards","Machine Guarding Evidence","false"
"11-Jul-2026","Are housekeeping corrective actions closed within the expected time frame?","Safety","Non-Compliant","Three housekeeping actions remained open past the local target date.","Housekeeping action log","https://evidence.zylker.com/audits/1005/housekeeping-actions","Housekeeping Action Evidence","true"
"14-Jul-2026","Do defect tickets include retest evidence before closure?","Process","Non-Compliant","Retest attachments were missing for multiple sampled closure records.","Defect retest sample","https://evidence.zylker.com/audits/1006/retest-evidence","Defect Retest Evidence","true"
"15-Jul-2026","Is supplier risk screening retained before approval?","Compliance","Compliant","All sampled supplier files included risk screening evidence before onboarding approval.","Supplier risk screening files","https://evidence.zylker.com/audits/1007/risk-screening","Supplier Screening Evidence","false"
"17-Jul-2026","Are pricing exceptions supported by finance approval evidence?","Finance","Non-Compliant","Two exception records had unclear finance review evidence and justification.","Pricing exception sample","https://evidence.zylker.com/audits/1008/pricing-exceptions","Pricing Exception Evidence","true"
"22-Jul-2026","Are customer onboarding milestones updated in the tracker?","Process","Compliant","Milestone updates were current for the majority of sampled onboarding plans.","Onboarding milestone tracker","https://evidence.zylker.com/audits/1009/milestones","Onboarding Milestone Evidence","false"
"23-Jul-2026","Are regulatory evidence folders mapped to active control owners?","Compliance","Non-Compliant","Several mappings need refreshed owner attestations before final reporting.","Control owner attestation list","https://evidence.zylker.com/audits/1010/control-mapping","Control Mapping Evidence","true"
"23-Jul-2026","Are emergency exits clear and supported by recent inspection records?","Safety","Compliant","Emergency paths were clear and inspection records were available.","Emergency exit inspection photos","https://evidence.zylker.com/audits/1011/emergency-exits","Emergency Exit Evidence","false"
"23-Jul-2026","Do analytics dashboards have confirmed business owners?","IT","Observation","Several shared dashboards require owner confirmation before sampling can close.","Dashboard ownership register","https://evidence.zylker.com/audits/1012/dashboard-owners","Dashboard Ownership Evidence","true"
"24-Jul-2026","Are recruiting requisitions approved before interviews begin?","Compliance","Compliant","Approval evidence was present with minor filing gaps in the recruiting folder.","Recruiting requisition sample","https://evidence.zylker.com/audits/1013/requisitions","Recruiting Requisition Evidence","false"
"23-Jul-2026","Are contract exceptions documented with legal risk notes?","Documentation","Observation","Exception notes were present but turnaround variance should be monitored.","Contract exception log","https://evidence.zylker.com/audits/1014/contract-exceptions","Contract Exception Evidence","false"
"24-Jul-2026","Do support cases reference current knowledge base articles?","Process","Non-Compliant","Knowledge article links were inconsistent across sampled support cases.","Support case sample","https://evidence.zylker.com/audits/1015/support-cases","Support Case Evidence","true"
"24-Jul-2026","Are roadmap intake scorecards completed for submitted product initiatives?","Documentation","Not Applicable","Fieldwork has not started and scorecards will be tested after evidence is received.","Roadmap intake request list","https://evidence.zylker.com/audits/1016/intake-requests","Roadmap Intake Evidence","false"
"25-Jul-2026","Do campaign launch checklists include brand and budget approvals?","Compliance","Not Applicable","Review is planned and checklist testing will begin after campaign samples are finalized.","Campaign checklist index","https://evidence.zylker.com/audits/1017/checklist-index","Campaign Checklist Evidence","false"
"25-Jul-2026","Are enablement modules reviewed against current product guidance before publishing?","Documentation","Observation","Planned review will focus on stale content and reviewer comment traceability.","Enablement module inventory","https://evidence.zylker.com/audits/1018/module-inventory","Enablement Module Evidence","true"
"26-Jul-2026","Are expansion deal pricing models version controlled and approved?","Finance","Not Applicable","Audit is scheduled and pricing model testing has not started.","Expansion pricing model list","https://evidence.zylker.com/audits/1019/pricing-models","Expansion Pricing Evidence","false"
