"config_name","finance_approval_threshold_inr","reference_designator_check_enabled","internal_ecn_only","is_active","notes"
"Production Default","500000.00","true","false","true","Primary production configuration used for standard engineering change routing and finance approval checks."
"Sandbox QA Baseline","250000.00","true","false","false","Test configuration for quality assurance validation of routing rules before production deployment."
"Internal Prototype Mode","150000.00","false","true","false","Used for prototype-only change trials where supplier communication is not required."
"High Value Capital Review","1000000.00","true","false","false","Scenario configuration for changes with major tooling, equipment, or capital expenditure impact."
"Low Risk Document Change","75000.00","false","true","false","Configuration intended for internal document-only updates with limited operational impact."
"Manufacturing Pilot","300000.00","true","false","false","Pilot workflow for manufacturing readiness checks on new assemblies and process updates."
"Procurement Focused Review","200000.00","true","false","false","Emphasizes procurement review when component availability or supplier readiness is a key concern."
"Finance Strict Control","100000.00","true","false","false","Requires finance review at a lower threshold for tighter cost control during audit testing."
"Regulatory Change Control","350000.00","true","false","false","Configuration for compliance-sensitive changes requiring strong traceability and review discipline."
"Firmware Release Trial","125000.00","false","true","false","Supports internal firmware release testing where physical BOM reference checks are not applicable."
"Legacy Migration Setup","400000.00","false","false","false","Temporary configuration used while migrating legacy item and change records into the system."
"Supplier Qualification Review","275000.00","true","false","false","Used to validate workflows that involve new approved manufacturers or supplier qualification activities."
"Cost Reduction Program","225000.00","true","false","false","Scenario for cost reduction changes where finance and procurement visibility remain important."
"Emergency Change Mode","600000.00","true","false","false","Reserved for urgent production support changes with expedited but controlled approval routing."
"Engineering Lab Only","50000.00","false","true","false","Configuration for lab-only experiments that should remain internal to engineering users."
"Packaging Update Control","90000.00","false","false","false","Designed for packaging artwork, carton, insert, and label updates with limited BOM complexity."
"Electronics Assembly Control","450000.00","true","false","false","Supports circuit board and electronics assembly changes where reference designator validation is critical."
"Mechanical Assembly Control","320000.00","false","false","false","Used for mechanical assembly changes where geometry, fit, and production readiness reviews are emphasized."
"Customer Driven Change","550000.00","true","false","false","Scenario for customer-requested product updates with enhanced cross-functional visibility."
"Service Parts Control","180000.00","true","false","false","Configuration for service part changes where item status and approved sourcing must be carefully checked."
"Regional Compliance Trial","260000.00","true","false","false","Testing configuration for region-specific compliance review and document control requirements."
"ERP Integration Mock","700000.00","true","false","false","Non-active setup used to test cost threshold behavior and downstream ERP integration payloads."
"Training Environment","100000.00","false","true","false","Training configuration for new users learning engineering change submission and approval workflows."
"Audit Simulation","380000.00","true","false","false","Supports audit walkthroughs that demonstrate validation rules, approval routing, and configuration history."
"Archive Reference","0.00","false","true","false","Inactive reference configuration retained for comparison with older workflow behavior."
