"manufacturer_name","manufacturer_code","country","is_approved","is_active","contact_name","contact_email"
"Apex Electronics Inc.","APX","United States","true","true","Rachel Morgan","rachel.morgan@zylker.com"
"NexCore Components","NXC","United States","true","true","David Kim","david.kim@zylker.com"
"VoltEdge Technologies","VET","Germany","true","true","Anna Schneider","anna.schneider@zylker.com"
"Precision Motion GmbH","PMG","Germany","true","true","Lukas Weber","lukas.weber@zylker.com"
"Pacific Micro Devices","PMD","Japan","true","true","Yuki Tanaka","yuki.tanaka@zylker.com"
"Shenzhen Delta Parts","SDP","China","true","true","Li Wei","li.wei@zylker.com"
"CircuitWorks Manufacturing","CWM","Malaysia","true","true","Nur Aisyah","nur.aisyah@zylker.com"
"Nordic Sensor Systems","NSS","Sweden","true","true","Erik Johansson","erik.johansson@zylker.com"
"BrightCap Semiconductors","BCS","Taiwan","true","true","Mei Lin","mei.lin@zylker.com"
"OmniFast Industrial","OFI","United States","true","true","Peter Walsh","peter.walsh@zylker.com"
"MetroMold Plastics","MMP","Mexico","true","true","Carlos Rivera","carlos.rivera@zylker.com"
"PrimeBearing Co.","PBC","South Korea","true","true","Minho Park","minho.park@zylker.com"
"EverLink Connectors","ELC","Singapore","true","true","Siti Rahman","siti.rahman@zylker.com"
"BluePeak Enclosures","BPE","Canada","true","true","Olivia Fraser","olivia.fraser@zylker.com"
"GreenField Packaging","GFP","United States","true","true","Nathan Brooks","nathan.brooks@zylker.com"
"FusionFirmware Labs","FFL","India","true","true","Priya Nair","priya.nair@zylker.com"
"Cobalt Cable Systems","CCS","Vietnam","true","true","Anh Nguyen","anh.nguyen@zylker.com"
"Vertex Power Solutions","VPS","United Kingdom","true","true","James Bennett","james.bennett@zylker.com"
"Quantum Switchgear","QSG","France","true","true","Claire Dubois","claire.dubois@zylker.com"
"Atlas Label Works","ALW","United States","true","true","Monica Price","monica.price@zylker.com"
"Mariner Foam Products","MFP","Ireland","true","true","Sean OConnell","sean.oconnell@zylker.com"
"HelioTest Instruments","HTI","Italy","true","true","Giulia Rossi","giulia.rossi@zylker.com"
"Summit Gearworks","SGW","Spain","true","true","Mateo Alvarez","mateo.alvarez@zylker.com"
"Orion Compliance Services","OCS","Netherlands","true","true","Sanne de Vries","sanne.devries@zylker.com"
"Legacy Parts Depot","LPD","United States","false","false","Brenda Hayes","brenda.hayes@zylker.com"
