"apn","category","description","part_name","decal_name","part_type","value","voltage","temperature","part_status","lifecycle_phase","revision","is_variant","variant_of","variant_code","mfg_0","mpn_0","mfg_1","mpn_1","mfg_2","mpn_2","mfg_3","mpn_3","mfg_4","mpn_4","mfg_5","mpn_5","comment","nir_source","is_deviated","owner_employee","created_date","is_deleted","deleted_on","deleted_by_employee","deleted_reason","bom_lines"
"RES-001249","Resistors","10 kOhm 1 percent thick film resistor qualified for sensor bias and low noise divider networks.","10 kOhm 1 percent 0603 resistor","RES_0603_10K_1P","Component","10 kOhm","75 V","-55 C to 155 C","Released","Production","01","false","","","Apex Electronics Inc.","APX-R0603-10K-1","NexCore Components","NXC-R0603-10K-1","BrightCap Semiconductors","BCS-CR0603-10K0F","Pacific Micro Devices","PMD-R0603-10K-F","","","","","Released for Rev C controller board population and approved alternate sourcing.","NIR-2026-0059","false","Olivia Chen","03-Aug-2026 08:28:41","false","","","","201097000000044502"
"CAP-000983","Capacitors","4.7 uF 25 V X7R ceramic capacitor selected for input filtering and local decoupling on sensor hub assemblies.","4.7 uF 25 V X7R 0805 capacitor","CAP_0805_4U7_25V_X7R","Component","4.7 uF","25 V","-55 C to 125 C","Released","Production","01","false","","","BrightCap Semiconductors","BCS-C0805-4U7-25V-X7R","NexCore Components","NXC-C0805-4U7-25V-X7R","Apex Electronics Inc.","APX-C0805-475K25X7R","Pacific Micro Devices","PMD-0805X475K250","","","","","Lower ESR capacitor used for improved ripple margin on pilot controller boards.","NIR-2026-0060","true","Aarav Mehta","03-Aug-2026 10:24:18","false","","","","201097000000044504"
"IND-000377","Inductors","22 uH shielded power inductor for buck converter evaluation with DCR and thermal validation pending.","22 uH shielded 1210 inductor","IND_SHIELDED_22UH_1210","Component","22 uH","30 V","-40 C to 125 C","In_Work","Design","00","false","","","VoltEdge Technologies","VET-L1210-22UH-1A2","Pacific Micro Devices","PMD-L1210-22UH-1A","Apex Electronics Inc.","APX-PI1210-220M","NexCore Components","NXC-PIL1210-22U","","","","","Use remains restricted to regulator noise margin testing until final DCR evidence is approved.","NIR-2026-0061","false","Samuel Adams","03-Aug-2026 15:51:36","false","","","","201097000000044506"
"CON-000742","Connectors","12 position right angle board header and approved low profile connector family for service cable interface builds.","12 position 2 mm service header","CONN_01X12_SERVICE","Component","12 positions","125 V","-40 C to 105 C","Released","Production","02","false","","","EverLink Connectors","ELC-BH12-RA-2MM","Shenzhen Delta Parts","SDP-BH12RA-2MMS","NexCore Components","NXC-CON12-RA-2MM","Apex Electronics Inc.","APX-HDR12RA-2MM","","","","","Low profile configuration is preferred for compact enclosure clearance while legacy stock is controlled by deviation.","NIR-2026-0062","true","Lucas Martin","04-Aug-2026 09:25:42","false","","","","201097000000044508"
"SWT-000290","Switches","6 mm tactile switch request retained for traceability after duplicate assessment against an existing released switch.","6 mm tactile reset switch","SW_PUSH_6X6_160GF","Component","160 gf","12 V","-25 C to 85 C","Obsolete","Abandoned","00","false","","","Quantum Switchgear","QSG-TSW-6X6-160GF","Apex Electronics Inc.","APX-TSW0606-160","NexCore Components","NXC-TAC6-160GF","Pacific Micro Devices","PMD-SW6X6-160","","","","","Blocked from release because requester should use the existing approved tactile switch unless an exception is approved.","NIR-2026-0063","false","Olivia Chen","04-Aug-2026 14:45:33","false","","","","201097000000044510"
"PCB-000519","Circuit Boards","Four layer compact sensor hub controller printed circuit board with updated BOM cleanup and connector layout support.","Sensor hub controller PCB assembly","PCB_SENSOR_HUB_C4L","Assembly","4 layer FR4 ENIG","24 V","-20 C to 85 C","Released","Production","02","false","","","CircuitWorks Manufacturing","CWM-PCB-SHUB-C4L","Shenzhen Delta Parts","SDP-PCB-SHUB-C4L","Apex Electronics Inc.","APX-PCB-SHUB-4L","NexCore Components","NXC-PCB-SHUB-4L","","","","","Released board item carries the controller assembly BOM and pilot rework tracking updates.","NIR-2026-0064","false","Daniel Young","05-Aug-2026 11:18:09","false","","","","201097000000044512"
"MOT-00165","Motors","24 V brushless DC motor with encoder for automated fixture axis drive and actuator validation builds.","24 V BLDC motor with encoder","MOTOR_BLDC_24V_42MM","Component","3000 rpm","24 V","-20 C to 80 C","In_Work","Design","00","false","","","Precision Motion GmbH","PMG-BLDC24-42-3000","Summit Gearworks","SGW-BLDC42-24V-2800","NexCore Components","NXC-MTR42-24V-ENC","VoltEdge Technologies","VET-BLDC42-24V","","","","","Encoder cable routing and torque validation remain open before production lifecycle transition.","NIR-2026-0065","true","Samuel Adams","06-Aug-2026 16:31:28","false","","","","201097000000044514"
"GEA-00094","Gear Assemblies","32 mm planetary gear assembly with 10 to 1 ratio for enclosure latch actuator and endurance fixture use.","10 to 1 planetary gearbox assembly","GEARBOX_PLANETARY_32MM","Assembly","10:1 ratio","24 V compatible","-20 C to 90 C","Released","Production","01","false","","","Summit Gearworks","SGW-PG32-10R1","Precision Motion GmbH","PMG-PG32-10R1","PrimeBearing Co.","PBC-GBX32-10R1","OmniFast Industrial","OFI-PG32-10R1","","","","","Work cell tooling and bearing press sequence are tracked through manufacturing change activities.","NIR-2026-0066","false","Lucas Martin","07-Aug-2026 08:58:46","false","","","","201097000000044516"
"BRG-00448","Bearings","608ZZ C3 sealed ball bearing for conveyor guide roller replacement and gearbox output support.","608ZZ sealed ball bearing","BEARING_608ZZ_C3","Component","8 mm ID 22 mm OD","","-30 C to 110 C","Released","Production","00","false","","","PrimeBearing Co.","PBC-608ZZ-C3","OmniFast Industrial","OFI-608ZZ-C3","Precision Motion GmbH","PMG-BRG608ZZ","Summit Gearworks","SGW-BRG608-2Z","","","","","Commodity bearing approved for use with lot traceability and standard incoming inspection.","NIR-2026-0067","false","Henry Allen","08-Aug-2026 12:26:55","false","","","","201097000000044518"
"FAS-01323","Fasteners","M3 x 8 mm stainless steel pan head Phillips screw for panel mounting and enclosure kitting.","M3 x 8 stainless pan head screw","SCREW_M3X8_PAN_HEAD_SS","Component","M3 x 8 mm","","-40 C to 125 C","Released","Production","00","false","","","OmniFast Industrial","OFI-M3X8-SS-PH","PrimeBearing Co.","PBC-M3X8-SSPH","Summit Gearworks","SGW-SCR-M3X8-SS","Shenzhen Delta Parts","SDP-M3X8-PH-SS","","","","","Standard fastener used to simplify workstation kitting and panel assembly service kits.","NIR-2026-0068","false","Mason Lee","09-Aug-2026 17:15:22","false","","","","201097000000044520"
