"Vendor_ID","Vendor_Name","Vendor_Category","Vendor_Type","Registration_Date","Stage","Qualification_Status","Contact_Person","Contact_Email","Contact_Phone","Vendor_Address.address_line_1","Vendor_Address.address_line_2","Vendor_Address.district_city","Vendor_Address.state_province","Vendor_Address.postal_Code","Vendor_Address.country","Tax_ID","Business_Registration_Number","Current_Evaluation_Rating","Evaluation_Result","Latest_Risk_Tier","Latest_Risk_Status","Onboarding_Baseline_Score","Active_From","Latest_Performance_Score","Last_Review_Month","Lifecycle_Notes"
"1001","Apex Office Supplies","Goods","Local","01-Aug-2026","Active","Qualified","Olivia Carter","olivia.carter@zylker.com","+16105550101","125 Market Street","Suite 400","Philadelphia","Pennsylvania","19106","United States","US-47-8392015","BRN-US-2026-1001","4.60","Acceptable","Low","Acceptable","91.50","03-Aug-2026","93.20","03-Aug-2026","Approved office consumables supplier with strong delivery consistency and stable pricing."
"1002","Northstar Logistics","Logistics","National","02-Aug-2026","Performance Reviewed","Qualified","Ethan Brooks","ethan.brooks@zylker.com","+14165550122","88 King Street West","Floor 12","Toronto","Ontario","M5H 1A1","Canada","CA-782-445-190","BRN-CA-2026-1002","4.20","Acceptable","Medium","Acceptable","86.00","04-Aug-2026","88.40","04-Aug-2026","National freight partner reviewed for on-time performance and capacity coverage."
"1003","ByteBridge Systems","Technology","National","03-Aug-2026","Risk Assessed","Qualified","Maya Patel","maya.patel@zylker.com","+12125550133","310 Hudson Avenue","Suite 6B","New York","New York","10013","United States","US-84-1204473","BRN-US-2026-1003","4.35","Acceptable","Low","Acceptable","89.75","05-Aug-2026","90.10","03-Aug-2026","Software integration vendor cleared risk assessment with minor documentation follow-up."
"1004","GreenField Catering Services","Services","Local","03-Aug-2026","Onboarded","Qualified","Lucas Nguyen","lucas.nguyen@zylker.com","+442071555104","42 Garden Lane","Unit 3","London","England","EC2A 4BX","United Kingdom","GB-229845731","BRN-GB-2026-1004","4.05","Acceptable","Low","Acceptable","84.25","06-Aug-2026","85.90","06-Aug-2026","Onboarded for corporate catering with approved food safety certificates on file."
"1005","GlobalTech Components","Technology","International","03-Aug-2026","Evaluated","Pending","Sofia Martinez","sofia.martinez@zylker.com","+49305550155","14 Alexanderplatz","Building A","Berlin","Berlin","10178","Germany","DE-512984730","BRN-DE-2026-1005","3.70","Needs Improvement","Medium","Acceptable","78.00","07-Aug-2026","76.50","03-Aug-2026","Evaluation completed with action required on lead time commitments before onboarding."
"1006","Precision Parts Manufacturing","Goods","National","04-Aug-2026","Active","Qualified","Benjamin Reed","benjamin.reed@zylker.com","+13125550166","600 Industrial Road","Bay 12","Chicago","Illinois","60607","United States","US-36-7742018","BRN-US-2026-1006","4.75","Acceptable","Low","Acceptable","94.00","06-Aug-2026","95.30","07-Aug-2026","Critical component supplier performing above quality threshold with low defect rates."
"1007","Summit Advisory Partners","Consulting","Local","04-Aug-2026","Registered","Pending","Ava Thompson","ava.thompson@zylker.com","+16105550177","77 Walnut Street","Suite 210","Harrisburg","Pennsylvania","17101","United States","US-91-4485206","BRN-US-2026-1007","0.00","Not Evaluated","Not Assessed","Not Assessed","0.00","08-Aug-2026","0.00","08-Aug-2026","Registration received for business advisory services and awaiting evaluation assignment."
"1008","Harbor Freight Forwarding","Logistics","International","05-Aug-2026","Risk Assessed","Watchlist","Noah Wilson","noah.wilson@zylker.com","+6565550188","9 Raffles Place","Level 18","Singapore","Central Region","048619","Singapore","SG-201684923K","BRN-SG-2026-1008","3.15","Needs Improvement","High","Unacceptable","69.50","09-Aug-2026","64.20","09-Aug-2026","International forwarding vendor placed on watchlist due to customs delay history."
"1009","CleanWorks Facility Services","Services","Local","05-Aug-2026","Active","Qualified","Isabella Garcia","isabella.garcia@zylker.com","+12135550199","215 Spring Street","Suite 102","Los Angeles","California","90012","United States","US-58-3490172","BRN-US-2026-1009","4.10","Acceptable","Medium","Acceptable","82.75","07-Aug-2026","86.60","05-Aug-2026","Facility services vendor active with satisfactory compliance and site supervisor coverage."
"1010","Meridian Cloud Solutions","Technology","National","06-Aug-2026","Onboarded","Qualified","Henry Adams","henry.adams@zylker.com","+14155550210","500 Mission Street","Floor 9","San Francisco","California","94105","United States","US-73-2901846","BRN-US-2026-1010","4.50","Acceptable","Medium","Acceptable","90.25","08-Aug-2026","89.80","06-Aug-2026","Cloud services vendor onboarded after security questionnaire and insurance review."
