"Product_Code","Product_Name","Trade_Name","Product_Status","Application_Category","Resin_Subcategory","Book_Name","Default_Vendor","Default_Currency","Default_Duty_AUD_MT","Product_Notes"
"PE-FILM-LLD-001","Linear Low Density PE Film Grade","ZylFilm LLD 118","Active","Film","PE","PE","Zylker Petrochem Trading LLC","USD","42.50","Core LLDPE film grade for flexible packaging converters requiring good seal strength and consistent gauge control."
"PE-FILM-HD-002","High Clarity HDPE Film Grade","ZylClear HD 220","Active","Film","PE","PE","Gulf Coast Resin Exporters","USD","38.75","HDPE film grade suited to grocery sacks and thin gauge liners with reliable stiffness and clarity balance."
"PE-FILM-MD-003","Medium Density PE Shrink Film","ZylShrink MD 310","Active","Film","PE","PE","Pacific Rim Resin Sources","USD","45.20","Medium density shrink film resin used for bundled goods and transport packaging applications."
"PP-FILM-CPP-004","Cast PP Film Resin","ZylCast PP 410","Active","Film","PP","OTP","Atlantic Polymer Supply BV","EUR","51.00","Cast polypropylene film grade for packaging lines requiring low gels and steady extrusion performance."
"PP-FILM-BOPP-005","BOPP Homopolymer Film Resin","ZylOrient PP 520","Active","Film","PP","OTP","Mediterranean Resin Partners SA","EUR","49.30","Homopolymer PP grade selected for oriented film applications with good stiffness and optical properties."
"PVC-PIPE-RIG-006","Rigid PVC Pipe Compound","ZylPipe R 600","Active","Pipe & Fittings","PVC","PVC","Rhine Technical Polymers GmbH","EUR","62.40","Rigid PVC compound for pressure and non pressure pipe extrusion with stable fusion characteristics."
"PVC-FIT-INJ-007","PVC Injection Fittings Compound","ZylFit PVC 710","Active","Pipe & Fittings","PVC","PVC","North Sea Specialty Polymers","EUR","64.10","Injection moulding PVC compound for elbows and fittings requiring dimensional control and clean finish."
"PE-PIPE-HD-008","HDPE Pressure Pipe Grade","ZylPipe HD 800","Active","Pipe & Fittings","PE","PE","Zylker Petrochem Trading LLC","USD","41.80","High density polyethylene pressure pipe grade for water and infrastructure project applications."
"PE-PIPE-MD-009","MDPE Gas Pipe Grade","ZylGas MD 850","Active","Pipe & Fittings","PE","PE","Texas Bulk Resin Services","USD","40.60","Medium density polyethylene pipe resin used for gas distribution and utility conduit programs."
"PE-BLOW-HM-010","High Melt Strength PE Blow Moulding Grade","ZylBlow HM 910","Active","Blow Moulding","PE","PE","Gulf Coast Resin Exporters","USD","37.90","PE blow moulding resin designed for industrial containers requiring strong parison stability."
