"template_key","subject","body","is_active"
"ECN_SUBMITTED","ECN {{ECN_Number}} submitted for review","<p>An engineering change notice has been submitted by {{Submitted_By}} and is ready for initial review.</p>","true"
"ECN_ASSIGNED_ANALYST","ECN {{ECN_Number}} assigned to analyst","<p>The change request has been assigned to {{Analyst_Name}} for impact assessment and routing.</p>","true"
"ECN_APPROVAL_REQUESTED","Approval required for ECN {{ECN_Number}}","<p>Please review the proposed change, affected items, cost impact, and implementation plan before approving.</p>","true"
"ECN_APPROVED","ECN {{ECN_Number}} approved","<p>The engineering change notice has completed approval and is ready for release activities.</p>","true"
"ECN_REJECTED","ECN {{ECN_Number}} rejected","<p>The submitted change has been rejected. Review the comments from the approver and update the request if needed.</p>","true"
"ECN_IMPLEMENTATION_DUE","Implementation due for ECN {{ECN_Number}}","<p>The implementation task for this approved change is approaching its planned completion date.</p>","true"
"ECO_RELEASED","ECO {{ECO_Number}} released","<p>The engineering change order has been released and applicable item revisions are now available to downstream teams.</p>","true"
"ITEM_REVISION_CREATED","New revision created for {{Item_Number}}","<p>A new item revision has been created as part of the approved change process.</p>","true"
"BOM_CHANGE_REQUESTED","BOM change requested for {{Assembly_Number}}","<p>A bill of material update has been requested. Validate component quantities, alternates, and reference designators.</p>","true"
"MANUFACTURER_APPROVED","Manufacturer {{Manufacturer_Name}} approved","<p>The manufacturer record has been approved for use in sourcing and approved manufacturer lists.</p>","true"
"SUPPLIER_QUOTE_REQUIRED","Supplier quote required for {{Item_Number}}","<p>Procurement approval requires an updated supplier quote before the change can proceed.</p>","true"
"QUALITY_REVIEW_REQUIRED","Quality review required for ECN {{ECN_Number}}","<p>Quality assurance review is required due to potential inspection, compliance, or customer impact.</p>","true"
"PROCUREMENT_REVIEW_REQUIRED","Procurement review required for ECN {{ECN_Number}}","<p>Procurement review is required to confirm availability, supplier readiness, and purchasing impact.</p>","true"
"FINANCE_APPROVAL_REQUIRED","Finance approval required for ECN {{ECN_Number}}","<p>The estimated cost impact exceeds the configured finance threshold and requires finance approval.</p>","true"
"MANUFACTURING_REVIEW_REQUIRED","Manufacturing review required for ECN {{ECN_Number}}","<p>Manufacturing review is required to confirm work instruction updates, tooling readiness, and production timing.</p>","true"
"DOCUMENT_OBSOLETED","Document {{Document_Number}} marked obsolete","<p>The controlled document has been obsoleted as part of the change and should no longer be used for production.</p>","true"
"FIRMWARE_RELEASED","Firmware package {{Firmware_Version}} released","<p>The firmware package has been released and is available for approved product configurations.</p>","true"
"CAPA_LINKED_TO_ECN","CAPA linked to ECN {{ECN_Number}}","<p>A corrective action has been linked to this engineering change for traceability and follow up.</p>","true"
"TEST_RESULT_FAILED","Test failure recorded for {{Item_Number}}","<p>A validation test has failed. Review the attached test results and determine whether the change requires revision.</p>","true"
"REFERENCE_DESIGNATOR_WARNING","Reference designator check warning","<p>The reference designator validation found a mismatch between the assembly BOM and expected component placement.</p>","true"
"WEEKLY_CHANGE_SUMMARY","Weekly engineering change summary","<p>This summary lists open, approved, rejected, and implemented changes for the current reporting week.</p>","true"
"CONFIG_CHANGED","System configuration updated","<p>A system configuration record was updated. Administrators should confirm approval thresholds and routing flags.</p>","false"
"ITEM_INACTIVATED","Item {{Item_Number}} inactivated","<p>The item record has been set to inactive and should not be selected for new change requests.</p>","true"
"AML_EXPIRING","Approved manufacturer status review needed","<p>An approved manufacturer list entry requires review to confirm continued sourcing eligibility.</p>","false"
"CHANGE_CANCELLED","Change request {{ECN_Number}} cancelled","<p>The change request has been cancelled and no further workflow action is required.</p>","false"
