"Process_Area","Status_Name","Status_Order","Is_Start_Status","Is_Final_Status","Responsible_Profile","SLA_Days","Notification_Required","Status"
"Registration","Draft","1","true","false","Register Vendor","0","false","Active"
"Registration","Submitted","2","false","false","Register Vendor","1","true","Active"
"Registration","Awaiting Documents","3","false","false","Register Vendor","3","true","Active"
"Registration","Procurement Review","4","false","false","Procurement Executive","2","true","Active"
"Registration","Vendor Clarification","5","false","false","Register Vendor","4","true","Active"
"Registration","Approved for Evaluation","6","false","true","Procurement Executive","1","true","Active"
"Registration","Registration Rejected","7","false","true","Procurement Executive","1","true","Active"
"Registration","Registration Archived","8","false","true","Admin","0","false","Inactive"
"Evaluation","Evaluation Assigned","1","true","false","Vendor Evaluator","1","true","Active"
"Evaluation","Initial Screening","2","false","false","Vendor Evaluator","2","true","Active"
"Evaluation","Evidence Review","3","false","false","Vendor Evaluator","3","true","Active"
"Evaluation","Technical Assessment","4","false","false","Vendor Evaluator","4","true","Active"
"Evaluation","Commercial Assessment","5","false","false","Procurement Executive","3","true","Active"
"Evaluation","Evaluation Clarification","6","false","false","Register Vendor","3","true","Active"
"Evaluation","Recommendation Prepared","7","false","false","Vendor Evaluator","2","true","Active"
"Evaluation","Evaluation Approved","8","false","true","Admin","1","true","Active"
"Evaluation","Evaluation Declined","9","false","true","Admin","1","true","Active"
"Risk Assessment","Risk Review Created","1","true","false","Vendor Evaluator","1","true","Active"
"Risk Assessment","Risk Data Collection","2","false","false","Register Vendor","4","true","Active"
"Risk Assessment","Compliance Screening","3","false","false","Vendor Evaluator","3","true","Active"
"Risk Assessment","Financial Risk Review","4","false","false","Admin","3","true","Active"
"Risk Assessment","Operational Risk Review","5","false","false","Procurement Executive","3","true","Active"
"Risk Assessment","Mitigation Plan Required","6","false","false","Register Vendor","5","true","Active"
"Risk Assessment","Management Escalation","7","false","false","Admin","2","true","Active"
"Risk Assessment","Risk Accepted","8","false","true","Admin","1","true","Active"
"Risk Assessment","Risk Rejected","9","false","true","Admin","1","true","Active"
"Onboarding","Onboarding Initiated","1","true","false","Procurement Executive","1","true","Active"
"Onboarding","Access Setup","2","false","false","Admin","2","true","Active"
"Onboarding","Contract Confirmation","3","false","false","Procurement Executive","3","true","Active"
"Onboarding","Tax and Banking Verification","4","false","false","Admin","3","true","Active"
"Onboarding","Orientation Scheduled","5","false","false","Onboarded Vendor","2","true","Active"
"Onboarding","Training In Progress","6","false","false","Onboarded Vendor","5","true","Active"
"Onboarding","Readiness Review","7","false","false","Procurement Executive","2","true","Active"
"Onboarding","Onboarding Complete","8","false","true","Admin","1","true","Active"
"Onboarding","Onboarding Cancelled","9","false","true","Admin","1","true","Active"
"Performance Review","Review Cycle Opened","1","true","false","Admin","1","true","Active"
"Performance Review","Self Assessment Pending","2","false","false","Onboarded Vendor","5","true","Active"
"Performance Review","Manager Assessment","3","false","false","Procurement Executive","4","true","Active"
"Performance Review","Score Calibration","4","false","false","Vendor Evaluator","3","true","Active"
"Performance Review","Feedback Discussion","5","false","false","Procurement Executive","3","true","Active"
"Performance Review","Improvement Plan Required","6","false","false","Onboarded Vendor","7","true","Active"
"Performance Review","Review Completed","7","false","true","Admin","1","true","Active"
"Document Verification","Documents Requested","1","true","false","Register Vendor","2","true","Active"
"Document Verification","Documents Uploaded","2","false","false","Register Vendor","1","true","Active"
"Document Verification","Completeness Check","3","false","false","Vendor Evaluator","2","true","Active"
"Document Verification","Authenticity Verification","4","false","false","Vendor Evaluator","3","true","Active"
"Document Verification","Compliance Validation","5","false","false","Admin","2","true","Active"
"Document Verification","Resubmission Requested","6","false","false","Register Vendor","5","true","Active"
"Document Verification","Documents Verified","7","false","true","Vendor Evaluator","1","true","Active"
"Document Verification","Verification Failed","8","false","true","Vendor Evaluator","1","true","Active"
