"Matrix_Code","Matrix_Status","Arrival_Port","Delivery_Region","State","Country","Packaging","Delivery_Model","Container_Size","Wharf_Clearance_AUD_MT","Port_Fees_Transport_WH_AUD_MT","Repacking_Costs_AUD_MT","Est_Storage_Cost_AUD_MT","Additional_Charges_AUD_MT","Fuel_Levy_Percent","Est_Delivery_Cost_AUD_MT","Financing_Percent","Effective_From","Effective_To","Notes"
"LCM-0001","Active","Port of Singapore","AU-MEL-EAST","Victoria","Australia","Seabulk Flexitank Standard","Australia Metro Warehouse DDP","40HC","18.50","42.75","6.25","8.90","3.50","7.20","58.40","1.10","01-Jul-2026","31-Jul-2026","Melbourne east metro delivered matrix for seabulk film resin with standard storage allowance"
"LCM-0002","Active","Port of Singapore","AU-SYD-SOUTH","New South Wales","Australia","1.1 Ton Bulk Bag","Australia East Coast DAP","40HC","19.10","45.30","4.00","0.00","4.25","7.00","62.80","1.15","02-Jul-2026","31-Jul-2026","Sydney south distributor route based on palletized bulk bag deliveries from port warehouse"
"LCM-0003","Active","Port of Singapore","NZ-AKL-SOUTH","Auckland","New Zealand","20 Foot Container Bulk Bags","New Zealand Direct DDP","20GP","22.80","51.40","5.75","0.00","6.10","8.50","71.60","1.35","03-Jul-2026","31-Jul-2026","Auckland pipe yard cost model includes direct delivery and allowance for occasional outer bag repair"
"LCM-0004","Active","Port Houston","US-TX-GULF","Texas","United States","One Ton Bulk Bag","US Gulf Customer Delivery","20GP","16.40","38.90","3.25","0.00","2.75","6.60","49.80","0.95","04-Jul-2026","31-Jul-2026","Houston metro matrix for gulf customer deliveries from approved warehouse stock"
"LCM-0005","Active","Port of Los Angeles","US-CA-LA","California","United States","Seabulk Food Grade Liner","West Coast Import Blanket","40HC","17.25","44.10","0.00","9.80","3.20","8.10","55.70","1.05","06-Jul-2026","31-Jul-2026","Los Angeles film route includes blanket storage allowance for food grade liner shipments"
"LCM-0006","Active","Port of New York and New Jersey","US-NJ-PORT","New Jersey","United States","40 Foot Container Palletized Bags","Cross Dock No Storage","40HC","20.35","53.25","2.40","0.00","5.60","7.80","66.50","1.20","07-Jul-2026","31-Jul-2026","East Coast distributor cross dock tariff for fast moving palletized resin containers"
"LCM-0007","Active","Port of Vancouver","CA-BC-LOWERMAINLAND","British Columbia","Canada","40 Foot High Cube Bulk Bags","Canada Pacific DDP","40HC","21.15","48.60","2.75","7.20","4.10","7.40","64.25","1.25","08-Jul-2026","31-Jul-2026","Vancouver lower mainland matrix covers port handling warehouse storage and delivery"
"LCM-0008","Draft","Port of Montreal","CA-QC-MTL","Quebec","Canada","Moisture Barrier Bulk Bag","Distributor Ex Warehouse","20GP","22.40","50.10","6.80","5.50","4.75","7.35","31.20","1.30","09-Jul-2026","","Draft Montreal ex warehouse rate awaiting final carrier confirmation for specialty compounding lots"
"LCM-0009","Active","Port of Veracruz","MX-VERACRUZ","Veracruz","Mexico","1.25 Ton Bulk Bag","Latin America Port Delivery","40HC","24.60","57.80","3.90","0.00","7.40","9.10","82.35","1.50","10-Jul-2026","31-Jul-2026","Veracruz industrial delivery matrix for regional pipe and fittings resin shipments"
"LCM-0010","Expired","Port of Santos","BR-SANTOS","Sao Paulo","Brazil","Seabulk Flexitank Standard","Latin America Port Delivery","40HC","28.75","63.40","0.00","0.00","8.60","9.60","94.20","1.70","13-Jul-2026","24-Jul-2026","Expired Santos seabulk rate retained for July comparison before updated carrier surcharge"
