"Vendor","Item_Name","Item_Type","Service_Category","Description","Criticality","Approval_Status","Effective_From","Effective_To","Notes"
"Apex Industrial Components","Forged Bracket Assembly","Product","Industrial Components","High tolerance forged brackets used in production equipment maintenance and replacement programs.","High","Approved","06-Aug-2026","31-Aug-2026","Preferred catalog item with stable demand and approved quality evidence."
"BrightSource Distribution","Regional Parts Fulfillment","Both","Distribution Services","Standard component stocking and regional fulfillment service for indirect procurement teams.","Medium","Submitted","03-Aug-2026","28-Aug-2026","Submitted for review while updated insurance evidence is pending."
"NovaTech Field Services","Onsite Equipment Repair Support","Service","Field Maintenance","Technician dispatch service for urgent equipment troubleshooting repair and preventive maintenance.","High","Approved","04-Aug-2026","30-Aug-2026","Service scope aligns with completed onboarding and support response commitments."
"GreenLine Packaging","Recycled Corrugate Packaging","Product","Sustainable Packaging","Recycled corrugate cartons and protective inserts for outbound customer shipments.","Medium","Submitted","05-Aug-2026","25-Aug-2026","Capacity evidence is being reviewed before final approval."
"Sterling Office Supplies","Office Essentials Catalog","Product","Office Supplies","Routine office materials including paper stationery desk accessories and small workplace supplies.","Low","Approved","02-Aug-2026","29-Aug-2026","Approved for routine low risk catalog ordering across departments."
"Quantum Safety Systems","Industrial Guardrail Kit","Product","Safety Equipment","Modular guardrail kits intended for plant safety zones and controlled access walkways.","Critical","Rejected","03-Aug-2026","22-Aug-2026","Rejected pending replacement certification and corrective action closure."
"Harbor Logistics Partners","Dedicated Route Coordination","Service","Logistics","Route planning carrier coordination and shipment follow up for regional transport lanes.","Medium","Submitted","06-Aug-2026","27-Aug-2026","Route coverage is under review with insurance validation still open."
"Meridian Compliance Advisors","Regulatory Advisory Retainer","Service","Compliance Consulting","Monthly advisory support for policy interpretation remediation planning and regulatory response readiness.","High","Approved","06-Aug-2026","31-Aug-2026","Approved due to strong documentation and reliable advisory performance."
"Atlas Metal Works","Custom Machined Plate Set","Product","Metal Fabrication","Machined metal plate sets for legacy equipment repair and tooling replacement needs.","High","Inactive","01-Aug-2026","15-Aug-2026","Item remains inactive while vendor suspension and quality issues are unresolved."
"BluePeak Technology Solutions","Managed Application Support","Service","Technology Support","Application monitoring incident triage user support and monthly service health reporting.","Critical","Approved","06-Aug-2026","31-Aug-2026","Security review is complete and service is approved for operational use."
"Sunrise Chemical Supply","Solvent Handling Supply Program","Both","Chemical Supply","Chemical supply and handling guidance for approved industrial solvent consumption.","Critical","Rejected","01-Aug-2026","20-Aug-2026","Rejected until hazardous material insurance and compliance evidence are corrected."
"Northstar Facilities Group","Preventive Maintenance Program","Service","Facilities Maintenance","Scheduled inspections maintenance work orders and facility service coordination.","Medium","Approved","07-Aug-2026","26-Aug-2026","Approved for controlled facility maintenance tasks with defined service scope."
"CoreBridge Consulting","Procurement Process Assessment","Service","Business Consulting","Assessment of sourcing workflows policy adherence spend visibility and improvement opportunities.","Medium","Approved","08-Aug-2026","31-Aug-2026","Consulting service approved for process improvement planning."
"Summit Electrical Contractors","Electrical Safety Inspection","Service","Electrical Contracting","Site electrical inspection service covering panels circuits safety labeling and remediation recommendations.","High","Submitted","05-Aug-2026","24-Aug-2026","Safety briefing must be completed before work order release."
"EcoWare Manufacturing","Biobased Food Container Set","Product","Sustainable Manufacturing","Biobased containers for internal cafeteria and customer event supply requirements.","Medium","Draft","09-Aug-2026","29-Aug-2026","Draft item pending sample review and sourcing control validation."
"Redwood Maintenance Services","Emergency Maintenance Dispatch","Service","Maintenance Services","After hours maintenance response for minor facility repairs and service continuity issues.","Medium","Draft","10-Aug-2026","21-Aug-2026","Initial service profile is drafted while risk assessment assignment is pending."
"Vertex Precision Tools","Micro Tolerance Cutting Tool","Product","Precision Tooling","Precision cutting tools used for specialized machining and controlled production runs.","High","Approved","01-Aug-2026","31-Aug-2026","Preferred product with strong inspection results and reliable delivery history."
"Horizon Medical Supplies","Noncritical Medical Supply Kit","Product","Medical Supplies","Consumable medical supply kits for workplace clinics and first response cabinets.","Medium","Approved","04-Aug-2026","27-Aug-2026","Approved for noncritical use with updated financial review on file."
"Silverline Print Services","Secure Print Batch Service","Service","Print Services","Batch printing assembly and delivery service for controlled internal documents.","Low","Rejected","03-Aug-2026","17-Aug-2026","Rejected until readable supporting documentation is resubmitted."
"TerraBuild Contractors","Project Closeout Support","Service","Construction Services","Construction closeout coordination including punch list tracking documentation and subcontractor follow up.","High","Submitted","06-Aug-2026","26-Aug-2026","Contract and subcontractor evidence are still under review."
"CloudAxis Software Services","Cloud Service Desk Subscription","Service","Software Support","Subscription based service desk support for cloud applications user issues and integration monitoring.","Critical","Approved","02-Aug-2026","31-Aug-2026","Approved after completion of security and support integration checks."
"Keystone Mechanical Systems","HVAC Control Valve Assembly","Product","Mechanical Systems","Control valve assemblies used in facility HVAC systems and mechanical maintenance projects.","High","Approved","07-Aug-2026","30-Aug-2026","Inspection evidence is valid and item is approved for controlled purchasing."
"Pacific Components Depot","Traceable Electronics Components","Product","Electronics Distribution","Electronic components supplied with product origin and traceability documentation.","Medium","Submitted","05-Aug-2026","16-Aug-2026","Product origin evidence is required before approval can be granted."
"AgileProcure Consultants","Sourcing Benchmark Workshop","Service","Procurement Advisory","Facilitated workshop providing market benchmarking supplier strategy and policy guidance.","Medium","Approved","01-Aug-2026","30-Aug-2026","Approved consulting service for sourcing improvement initiatives."
"MetroFleet Leasing","Fleet Lease Review Package","Service","Fleet Leasing","Vehicle lease review and maintenance coverage planning for corporate fleet sourcing.","Medium","Submitted","06-Aug-2026","23-Aug-2026","Finance review remains open for lease terms and maintenance coverage."
"GlobalSecure Screening","Background Screening Integration","Service","Security Screening","Screening service integration for identity verification compliance checks and privacy controlled workflows.","Critical","Submitted","03-Aug-2026","25-Aug-2026","Privacy questionnaire clarification is required before approval."
