"nir_id","category","item_type_derived","description","manufacturer","part_number","package","datasheet_links","raised_by_employee","status","pca_remarks","rejection_reason","request_datetime","apn","mpn","package_detail","single_source","supply_risk","rohs","schematic_symbol_name","footprint_name","alternate_status","mech_3d","alternate_1_schematic_symbol","alternate_2_schematic_symbol","alternate_1_manufacturer","alternate_1_mpn","alternate_2_manufacturer","alternate_2_mpn","alternate_3_manufacturer","alternate_3_mpn","comments"
"NIR-2026-0059","Resistors","Library_Component","Request for 10 kOhm 1 percent thick film resistor for sensor bias network.","Apex Electronics Inc.","APX-R0603-10K-1","0603","https://docs.zylker.com/datasheets/APX-R0603-10K-1.pdf","Olivia Chen","Approved","PCA reviewed parametric need and confirmed existing 5 percent part is not equivalent.","","03-Aug-2026 08:21:14","RES-001249","APX-R0603-10K-1","0603 1608 metric thick film","No","Low - approved alternates available","Compliant","RES_0603","R_0603_1608Metric","Two qualified alternates proposed","Not required","RES_0603_ALT1","RES_0603_ALT2","NexCore Components","NXC-R0603-10K-1","BrightCap Semiconductors","BCS-CR0603-10K0F","Pacific Micro Devices","PMD-R0603-10K-F","Use for low noise divider on Rev C controller board."
"NIR-2026-0060","Capacitors","Library_Component","Request for 4.7 uF 25 V X7R ceramic capacitor for input filtering.","BrightCap Semiconductors","BCS-C0805-4U7-25V-X7R","0805","https://docs.zylker.com/datasheets/BCS-C0805-4U7-25V-X7R.pdf","Aarav Mehta","Approved","Library checked voltage derating and package footprint.","","03-Aug-2026 10:16:32","CAP-000983","BCS-C0805-4U7-25V-X7R","0805 2012 metric MLCC","No","Low - three approved capacitor sources","Compliant","CAP_NP_0805","C_0805_2012Metric","Three alternate MLCCs identified","Not required","CAP_NP_0805_ALT1","CAP_NP_0805_ALT2","NexCore Components","NXC-C0805-4U7-25V-X7R","Apex Electronics Inc.","APX-C0805-475K25X7R","Pacific Micro Devices","PMD-0805X475K250","Required for input filter on sensor hub main board."
"NIR-2026-0061","Inductors","Library_Component","Request for 22 uH shielded inductor for buck converter evaluation.","VoltEdge Technologies","VET-L1210-22UH-1A2","1210","https://docs.zylker.com/datasheets/VET-L1210-22UH-1A2.pdf","Samuel Adams","PCA_Review","Pending DCR comparison against existing 18 uH inductor.","","03-Aug-2026 15:44:08","IND-000377","VET-L1210-22UH-1A2","1210 shielded power inductor","Unknown","Medium - quote and availability under review","Pending certificate","IND_SHIELDED_1210","L_1210_3225Metric","Alternates proposed but not yet validated","Not required","IND_SHIELDED_1210_ALT1","IND_SHIELDED_1210_ALT2","Pacific Micro Devices","PMD-L1210-22UH-1A","Apex Electronics Inc.","APX-PI1210-220M","NexCore Components","NXC-PIL1210-22U","Needed for regulator efficiency test on prototype units."
"NIR-2026-0062","Connectors","Library_Component","Request for 12 position right angle board header for service cable interface.","EverLink Connectors","ELC-BH12-RA-2MM","2 mm header","https://docs.zylker.com/datasheets/ELC-BH12-RA-2MM.pdf","Lucas Martin","Submitted","Awaiting PCA assignment for connector family review.","","04-Aug-2026 09:12:25","CON-000742","ELC-BH12-RA-2MM","12 position right angle SMT header","No","Low - common connector family","Compliant","CONN_01X12_RA","ELC_BH12_RA_2MM","Two alternate connector suppliers available","STEP model pending","CONN_01X12_RA_ALT1","CONN_01X12_RA_ALT2","Shenzhen Delta Parts","SDP-BH12RA-2MMS","NexCore Components","NXC-CON12-RA-2MM","Apex Electronics Inc.","APX-HDR12RA-2MM","Service cable requires side entry to meet enclosure clearance."
"NIR-2026-0063","Switches","Library_Component","Request for 6 mm tactile switch with 160 gf actuation force for panel reset input.","Quantum Switchgear","QSG-TSW-6X6-160GF","6x6 mm SMT","https://docs.zylker.com/datasheets/QSG-TSW-6X6-160GF.pdf","Olivia Chen","Rejected","Duplicate found during PCA review.","Requested tact switch duplicates existing approved SWT-000274 and lacks life cycle evidence.","04-Aug-2026 14:38:11","SWT-000290","QSG-TSW-6X6-160GF","6x6 mm surface mount tactile switch","Unknown","Medium - life cycle data not provided","Pending certificate","SW_PUSH_6X6","SW_QSG_6X6_SMT","Alternate review stopped due duplicate item","STEP not reviewed","SW_PUSH_6X6_ALT1","SW_PUSH_6X6_ALT2","Apex Electronics Inc.","APX-TSW0606-160","NexCore Components","NXC-TAC6-160GF","Pacific Micro Devices","PMD-SW6X6-160","Requester should use existing released switch unless a force tolerance exception is approved."
"NIR-2026-0064","Circuit Boards","Assembly_Component","New four layer control PCB bare board for compact sensor hub assembly.","CircuitWorks Manufacturing","CWM-PCB-SHUB-C4L","Bare PCB","https://docs.zylker.com/fabrication/CWM-PCB-SHUB-C4L-stackup.pdf","Daniel Young","Library_Review","PCA approved new assembly category and routed to library for board item setup.","","05-Aug-2026 11:05:43","PCB-000519","CWM-PCB-SHUB-C4L","4 layer FR4 1.6 mm ENIG","No","Low - multiple board houses qualified","Compliant","ASM_PCB_SENSOR_HUB","PCB_SENSOR_HUB_C4L","Board outline and two alternates available","STEP outline available","ASM_PCB_SENSOR_HUB_ALT1","ASM_PCB_SENSOR_HUB_ALT2","Shenzhen Delta Parts","SDP-PCB-SHUB-C4L","Apex Electronics Inc.","APX-PCB-SHUB-4L","NexCore Components","NXC-PCB-SHUB-4L","Library team to confirm board outline origin and mounting holes."
"NIR-2026-0065","Motors","Library_Component","Brushless DC motor 24 V for automated test fixture axis drive.","Precision Motion GmbH","PMG-BLDC24-42-3000","42 mm motor","https://docs.zylker.com/datasheets/PMG-BLDC24-42-3000.pdf","Samuel Adams","Submitted","Motor torque curve review is pending.","","06-Aug-2026 16:22:07","MOT-00165","PMG-BLDC24-42-3000","42 mm flange BLDC motor with encoder","Yes","Medium - manufacturer lead time is 12 weeks","Compliant","MOTOR_BLDC_24V","MOTOR_42MM_FLANGE","Mechanical alternates requested from sourcing","STEP model requested","MOTOR_BLDC_24V_ALT1","MOTOR_BLDC_24V_ALT2","Summit Gearworks","SGW-BLDC42-24V-2800","NexCore Components","NXC-MTR42-24V-ENC","VoltEdge Technologies","VET-BLDC42-24V","Fixture design requires encoder feedback for repeatable positioning."
"NIR-2026-0066","Gear Assemblies","Assembly_Component","Planetary gear assembly 10 to 1 ratio for enclosure latch actuator.","Summit Gearworks","SGW-PG32-10R1","32 mm gearbox","https://docs.zylker.com/datasheets/SGW-PG32-10R1.pdf","Lucas Martin","Approved","Mechanical review confirmed torque margin and mounting compatibility.","","07-Aug-2026 08:49:58","GEA-00094","SGW-PG32-10R1","32 mm planetary gearbox 10 to 1 ratio","No","Low - compatible alternatives available","Not applicable","GEARBOX_PLANETARY_32MM","GEARBOX_SGW_PG32","Approved alternate gear ratio options documented","STEP model available","GEARBOX_PLANETARY_ALT1","GEARBOX_PLANETARY_ALT2","Precision Motion GmbH","PMG-PG32-10R1","PrimeBearing Co.","PBC-GBX32-10R1","OmniFast Industrial","OFI-PG32-10R1","Use with latch motor on enclosure endurance fixture."
"NIR-2026-0067","Bearings","Library_Component","Request for 608ZZ sealed bearing for conveyor guide roller replacement.","PrimeBearing Co.","PBC-608ZZ-C3","608ZZ","https://docs.zylker.com/datasheets/PBC-608ZZ-C3.pdf","Henry Allen","Approved","PCA confirmed bearing dimensions match existing roller drawing.","","08-Aug-2026 12:18:36","BRG-00448","PBC-608ZZ-C3","8 mm ID 22 mm OD sealed ball bearing","No","Low - commodity bearing with local stock","Not applicable","BEARING_608ZZ","BEARING_608ZZ_22MM","Alternate brands accepted by manufacturing","STEP model available","BEARING_608ZZ_ALT1","BEARING_608ZZ_ALT2","OmniFast Industrial","OFI-608ZZ-C3","Precision Motion GmbH","PMG-BRG608ZZ","Summit Gearworks","SGW-BRG608-2Z","Needed for maintenance spares and production fixture builds."
"NIR-2026-0068","Fasteners","Library_Component","M3 x 8 stainless steel pan head screw for revised mounting bracket.","OmniFast Industrial","OFI-M3X8-SS-PH","M3 screw","https://docs.zylker.com/datasheets/OFI-M3X8-SS-PH.pdf","Mason Lee","PCA_Review","Thread engagement and finish requirements are under review.","","09-Aug-2026 17:06:51","FAS-01323","OFI-M3X8-SS-PH","M3 x 8 mm stainless pan head Phillips","No","Low - standard catalog fastener","Not applicable","FASTENER_M3X8_PH","SCREW_M3X8_PAN_HEAD","Alternate finish options available","STEP simplified model available","FASTENER_M3X8_ALT1","FASTENER_M3X8_ALT2","PrimeBearing Co.","PBC-M3X8-SSPH","Summit Gearworks","SGW-SCR-M3X8-SS","Shenzhen Delta Parts","SDP-M3X8-PH-SS","Manufacturing requested common fastener to simplify workstation kitting."
