"Audit","Checklist_Question","Category","Result","Notes","Evidence_Link.value","Evidence_Link.url","Evidence_Link.title","Requires_Finding"
"03-Jul-2026","Are rollback test outcomes retained with the deployment approval package?","Documentation","Compliant","Rollback evidence was retained and matched the approved release record.","Rollback test package","https://evidence.zylker.com/checklists/5001","Rollback Test Evidence","false"
"04-Jul-2026","Are close calendar tasks completed by the assigned owners before final sign off?","Finance","Compliant","Task ownership and completion timing were documented for the sampled close activities.","Close calendar sample","https://evidence.zylker.com/checklists/5002","Close Calendar Evidence","false"
"08-Jul-2026","Is endpoint exception remediation reviewed weekly by IT operations?","IT","Non-Compliant","Weekly review evidence was missing for several stale endpoint exceptions.","Endpoint remediation review","https://evidence.zylker.com/checklists/5003","Endpoint Remediation Evidence","true"
"10-Jul-2026","Are security monitoring tuning changes approved before production update?","IT","Observation","Approval evidence existed but the tuning change notes did not consistently include impact rationale.","Monitoring tuning record","https://evidence.zylker.com/checklists/5004","Monitoring Tuning Evidence","true"
"11-Jul-2026","Are safety briefing attendance logs retained for each production shift?","Safety","Observation","Attendance logs were retained for most shifts but one late shift log required follow up.","Safety briefing logs","https://evidence.zylker.com/checklists/5005","Safety Briefing Evidence","true"
"14-Jul-2026","Are defect severity changes documented with rationale and reviewer approval?","Process","Non-Compliant","Several severity changes lacked reviewer approval notes and clear rationale.","Defect severity sample","https://evidence.zylker.com/checklists/5006","Defect Severity Evidence","true"
"15-Jul-2026","Are supplier master data changes approved before onboarding completion?","Compliance","Compliant","Approval records were present for the sampled supplier master data changes.","Supplier master data sample","https://evidence.zylker.com/checklists/5007","Supplier Master Evidence","false"
"17-Jul-2026","Are quote handoff notes attached before pricing exceptions are released?","Finance","Non-Compliant","Handoff notes were incomplete for pricing exceptions that required finance review.","Quote handoff sample","https://evidence.zylker.com/checklists/5008","Quote Handoff Evidence","true"
"22-Jul-2026","Are onboarding kickoff decisions documented in the customer milestone tracker?","Process","Compliant","Kickoff decisions were documented and linked to the milestone tracker for the sampled accounts.","Kickoff decision tracker","https://evidence.zylker.com/checklists/5009","Kickoff Decision Evidence","false"
"23-Jul-2026","Are control evidence files named consistently in the regulatory repository?","Documentation","Observation","Evidence files were available but naming conventions varied by control owner.","Evidence naming review","https://evidence.zylker.com/checklists/5010","Evidence Naming Evidence","true"
"23-Jul-2026","Are inspection forms completed after facilities walkthroughs?","Safety","Compliant","Facilities inspection forms were completed and tied to the walkthrough schedule.","Facilities inspection forms","https://evidence.zylker.com/checklists/5011","Facilities Inspection Evidence","false"
"23-Jul-2026","Are analytics privileged users recertified by workspace owners?","IT","Non-Compliant","Privileged user recertification was missing for two shared analytics workspaces.","Analytics recertification list","https://evidence.zylker.com/checklists/5012","Analytics Recertification Evidence","true"
"24-Jul-2026","Are interview feedback forms retained with the approved requisition file?","Compliance","Observation","Feedback forms were present but some were stored outside the approved requisition folder.","Interview feedback sample","https://evidence.zylker.com/checklists/5013","Interview Feedback Evidence","true"
"23-Jul-2026","Are legal intake requests categorized by contract risk level?","Documentation","Compliant","Sampled intake requests included risk categories and supporting review notes.","Legal intake register","https://evidence.zylker.com/checklists/5014","Legal Intake Evidence","false"
"24-Jul-2026","Are support escalation summaries reviewed by queue leads before case closure?","Process","Non-Compliant","Escalation summaries were inconsistent and queue lead review was not evident for some cases.","Support escalation sample","https://evidence.zylker.com/checklists/5015","Support Escalation Evidence","true"
"24-Jul-2026","Are roadmap prioritization criteria approved before scoring begins?","Process","Not Applicable","Fieldwork has not started and prioritization samples will be tested after evidence is received.","Roadmap scoring checklist","https://evidence.zylker.com/checklists/5016","Roadmap Scoring Evidence","false"
"25-Jul-2026","Are campaign content approvals recorded before launch checklists are completed?","Compliance","Not Applicable","Campaign samples are pending finalization and content approval testing has not started.","Campaign approval index","https://evidence.zylker.com/checklists/5017","Campaign Content Evidence","false"
"25-Jul-2026","Are training update requests linked to reviewer approval before publishing?","Documentation","Observation","Planned testing identified that reviewer approval links should be verified for recently updated modules.","Training update register","https://evidence.zylker.com/checklists/5018","Training Update Evidence","true"
"26-Jul-2026","Are expansion business cases reviewed by finance owners before approval memo routing?","Finance","Not Applicable","Audit testing has not started and business case samples are scheduled for later review.","Expansion business case list","https://evidence.zylker.com/checklists/5019","Expansion Business Case Evidence","false"
"27-Jul-2026","Are partner application files complete before onboarding checklists are activated?","Process","Not Applicable","Partner file extraction is pending and checklist completeness will be reviewed after receipt.","Partner application index","https://evidence.zylker.com/checklists/5020","Partner Application Evidence","false"
"28-Jul-2026","Are prototype lab notes stored in the controlled research repository?","Documentation","Not Applicable","Prototype evidence is scheduled for review after validation records are locked.","Prototype lab note register","https://evidence.zylker.com/checklists/5021","Prototype Lab Note Evidence","false"
"29-Jul-2026","Are communications distribution lists approved before executive announcements are released?","Compliance","Not Applicable","Current messaging materials are not final and distribution list controls will be tested after approval.","Distribution list approval log","https://evidence.zylker.com/checklists/5022","Distribution Approval Evidence","false"
"23-Jul-2026","Are design component change logs complete for July release updates?","Documentation","Compliant","Component change logs were complete and linked to accessibility review records.","Design change log sample","https://evidence.zylker.com/checklists/5023","Design Change Log Evidence","false"
"23-Jul-2026","Are board pack metric calculations independently reviewed against source files?","Finance","Non-Compliant","Independent review evidence was incomplete for several executive reporting metrics.","Board metric review sample","https://evidence.zylker.com/checklists/5024","Board Metric Review Evidence","true"
"30-Jul-2026","Are warehouse archive records reconciled with the safety closure register?","Safety","Not Applicable","Closure testing is scheduled after archive handoff preparation is completed.","Warehouse archive register","https://evidence.zylker.com/checklists/5025","Warehouse Archive Evidence","false"
