"category_name","prefix","item_group","item_type","id_digit_length","version_digit_length","last_issued_number","is_active"
"Resistors","RES","Electrical_Component","Library_Component","6","2","1248","true"
"Capacitors","CAP","Electrical_Component","Library_Component","6","2","982","true"
"Inductors","IND","Electrical_Component","Library_Component","6","2","376","true"
"Connectors","CON","Electrical_Component","Library_Component","6","2","741","true"
"Switches","SWT","Electrical_Component","Library_Component","6","2","289","true"
"Circuit Boards","PCB","Electrical_Component","Assembly_Component","6","2","518","true"
"Motors","MOT","Mechanical_Component","Library_Component","5","2","164","true"
"Gear Assemblies","GEA","Mechanical_Component","Assembly_Component","5","2","93","true"
"Bearings","BRG","Mechanical_Component","Library_Component","5","2","447","true"
"Fasteners","FAS","Mechanical_Component","Library_Component","5","2","1322","true"
"Enclosures","ENC","Mechanical_Component","Assembly_Component","5","2","211","true"
"Cable Harnesses","CBH","Assembly","Assembly_Component","6","2","137","true"
"Power Supply Assemblies","PSA","Assembly","Assembly_Component","6","2","88","true"
"Sensor Modules","SEN","Assembly","Assembly_Component","6","2","304","true"
"Control Panels","CTL","Assembly","Assembly_Component","6","2","57","true"
"Installation Guides","IGD","Document","Library_Component","4","2","42","true"
"Test Procedures","TPR","Document","Library_Component","4","2","116","true"
"Compliance Certificates","CMP","Document","Library_Component","4","2","31","true"
"User Manuals","UMN","Document","Library_Component","4","2","76","true"
"Embedded Firmware","EFW","Software_Firmware","Library_Component","5","2","205","true"
"Bootloader Packages","BLD","Software_Firmware","Library_Component","5","2","34","true"
"Configuration Tools","CFG","Software_Firmware","Library_Component","5","2","64","true"
"Retail Cartons","RCT","Packaging","Library_Component","4","2","152","true"
"Protective Foam Inserts","PFI","Packaging","Library_Component","4","2","219","true"
"Shipping Labels","SLB","Packaging","Library_Component","4","2","398","false"
