"parent_item","line_number","child_item","quantity","reference_designator","manufacturer_approval_status","bom_notes","is_struck","superseded_by"
"PCB-000519","10","RES-001249","4.00","R1,R2,R3,R4","Approved","Voltage divider and pull up resistor set for the controller board.","false",""
"PCB-000519","20","CAP-000983","5.00","C1,C2,C3,C4,C5","Approved","Input and local decoupling capacitors placed near power entry and sensor interface.","false",""
"PCB-000519","30","IND-000377","1.00","L1","Pending_Review","Buck converter inductor awaiting final DCR confirmation.","false",""
"PCB-000519","40","CON-000742","2.00","J1,J2","Unapproved","Original right angle connector option is being replaced by a low profile version.","true","60"
"PCB-000519","50","SEN-000305","1.00","U1","Approved","Motion sensor module installed on the optional interface footprint.","false",""
"PCB-000519","60","CON-000742","2.00","J3,J4","Approved","Approved low profile connector set for the service cable interface.","false",""
"CTL-000058","70","PCB-000519","1.00","A1","Approved","Main controller PCB assembly for the seven inch control panel.","false",""
"CTL-000058","80","CBH-000138","1.00","W1","Approved","Harness connecting the control panel assembly to the sensor board interface.","false",""
"CTL-000058","90","CON-000742","4.00","J5,J6,J7,J8","Approved","Panel mounted connector set for power, service, and auxiliary I/O.","false",""
"CTL-000058","100","FAS-01323","6.00","","Unapproved","Older screw finish is being phased out for the panel mounting kit.","true","110"
"CTL-000058","110","FAS-01323","6.00","","Approved","Replacement stainless pan head screw kit approved for panel installation.","false",""
"CBH-000138","120","CON-000742","2.00","P1,P2","Approved","Keyed connector pair for the 12 conductor control harness.","false",""
"CBH-000138","130","FAS-01323","2.00","","Approved","Cable clamp fasteners used during harness strain relief installation.","false",""
"SEN-000305","140","CAP-000983","2.00","C10,C11","Approved","Local bypass capacitors for the IMU sensor module.","false",""
"SEN-000305","150","RES-001249","6.00","R10,R11,R12,R13,R14,R15","Approved","Pull up and configuration resistors for digital sensor interfaces.","false",""
"SEN-000305","160","IND-000377","1.00","L2","Pending_Review","Filter inductor retained pending noise test confirmation.","false",""
"GEA-00094","170","BRG-00448","2.00","","Approved","Sealed bearings for planetary gearbox output support.","false",""
"GEA-00094","180","MOT-00165","1.00","","Pending_Review","BLDC motor included for latch actuator evaluation build.","false",""
"GEA-00094","190","FAS-01323","8.00","","Approved","Standard M3 fasteners used for gearbox cover and motor plate assembly.","false",""
"ENC-00212","200","FAS-01323","4.00","","Unapproved","Legacy enclosure screw kit marked for replacement after fit review.","true","230"
"ENC-00212","210","CBH-000138","1.00","","Approved","Internal cable harness routed between enclosure panel and sensor board.","false",""
"ENC-00212","220","PFI-0220","2.00","","Approved","Protective foam pieces used for shipment of the enclosure kit.","false",""
"ENC-00212","230","FAS-01323","4.00","","Approved","Approved enclosure screw kit for gasketed housing assembly.","false",""
"CTL-000058","240","UMN-0077","1.00","","Pending_Review","User manual included with the control panel pilot shipment package.","false",""
"CTL-000058","250","CMP-0032","1.00","","Approved","Compliance certificate package linked to the released control panel assembly.","false",""
