"Customer_Code","Customer_Name","Customer_Status","Customer_Type","Default_Tier","Primary_Country","Primary_City","Primary_Suburb","Primary_State","Primary_Email","Primary_Phone","Preferred_Quote_Currency","Default_Payment_Terms","CRM_Reference_ID","Notes"
"CUS-0001","Southern Film Converters Pty Ltd","Active","Direct Customer","Tier A","Australia","Melbourne","Dandenong South","Victoria","southern.film@zylker.com","+61390123401","AUD","Net 30","CRM-AU-1001","High volume PE film account with monthly forecast updates and regular container deliveries"
"CUS-0002","Harbour Packaging Supplies","Active","Distributor","Tier B","Australia","Sydney","Botany","New South Wales","harbour.packaging@zylker.com","+61279001202","AUD","Net 30","CRM-AU-1002","Distributor serving flexible packaging converters around greater Sydney and Newcastle"
"CUS-0003","Kiwi Pipe Systems Ltd","Active","Contract Customer","Tier A","New Zealand","Auckland","Penrose","Auckland","kiwi.pipe@zylker.com","+6498841203","NZD","Net 45","CRM-NZ-2001","PVC and PE pipe customer with infrastructure project demand through the current quarter"
"CUS-0004","Canterbury Moulding Works","Active","Direct Customer","Tier C","New Zealand","Christchurch","Hornby","Canterbury","canterbury.moulding@zylker.com","+6437411204","NZD","Net 30","CRM-NZ-2002","Injection moulding customer purchasing mixed PP grades for appliance components"
"CUS-0005","Pacific Resin Distribution","Active","Distributor","Tier A","Australia","Brisbane","Lytton","Queensland","pacific.resin@zylker.com","+61731234505","AUD","Net 45","CRM-AU-1005","Queensland distributor with consistent demand for PE blow moulding and film grades"
"CUS-0006","Adelaide Roto Plastics","Active","Direct Customer","Tier B","Australia","Adelaide","Wingfield","South Australia","adelaide.roto@zylker.com","+61881234506","AUD","Net 30","CRM-AU-1006","Roto moulding processor requiring scheduled bagged resin deliveries"
"CUS-0007","West Coast Polymer Traders","On Hold","Distributor","Tier B","Australia","Perth","Welshpool","Western Australia","westcoast.polymer@zylker.com","+61894601207","AUD","Prepaid","CRM-AU-1007","Account on credit hold pending overdue payment review and updated trade references"
"CUS-0008","Tasman Specialty Resins","Active","Spot Customer","Unassigned","Australia","Hobart","Moonah","Tasmania","tasman.specialty@zylker.com","+61362081208","AUD","Prepaid","CRM-AU-1008","Spot buyer for specialty PP lots with variable shipment timing"
"CUS-0009","North Island Packaging Co","Active","Contract Customer","Tier B","New Zealand","Hamilton","Te Rapa","Waikato","northisland.packaging@zylker.com","+6478501209","NZD","Net 30","CRM-NZ-2009","PP film customer with recurring palletized orders and seasonal uplift"
"CUS-0010","Melbourne Industrial Components","Inactive","Direct Customer","Tier C","Australia","Melbourne","Sunshine West","Victoria","melbourne.components@zylker.com","+61390123410","AUD","Net 14","CRM-AU-1010","Inactive account retained for historical injection moulding price comparisons"
"CUS-0011","Houston Polymer Solutions","Active","Direct Customer","Tier A","United States","Houston","Pasadena","Texas","houston.polymer@zylker.com","+17135551011","USD","Net 30","CRM-US-3011","Gulf Coast customer for PP injection and PE pipe shipments routed via Houston"
"CUS-0012","Golden State Film Products","Active","Contract Customer","Tier A","United States","Los Angeles","Vernon","California","goldenstate.film@zylker.com","+12135551012","USD","Net 45","CRM-US-3012","Large PE film converter with steady monthly demand and warehouse appointments"
"CUS-0013","Empire Packaging Group","Active","Distributor","Tier B","United States","New York","Elizabeth","New Jersey","empire.packaging@zylker.com","+19085551013","USD","Net 30","CRM-US-3013","East Coast distributor supplying packaging and blow moulding customers"
"CUS-0014","Savannah Pipe Fabricators","On Hold","Contract Customer","Tier B","United States","Savannah","Garden City","Georgia","savannah.pipe@zylker.com","+19125551014","USD","Net 15","CRM-US-3014","Project order account on hold while updated insurance certificates are collected"
"CUS-0015","Vancouver Resin Importers","Active","Distributor","Tier A","Canada","Vancouver","Richmond","British Columbia","vancouver.resin@zylker.com","+16045551015","USD","Net 30","CRM-CA-4015","Canadian Pacific gateway distributor ordering mixed PE and PP containers"
"CUS-0016","Montreal Compounding Labs","Active","Direct Customer","Tier C","Canada","Montreal","Saint Laurent","Quebec","montreal.compounding@zylker.com","+15145551016","USD","Net 30","CRM-CA-4016","Specialty compounding customer focused on small campaign PP and additive blends"
"CUS-0017","Veracruz Industrial Plastics","Active","Direct Customer","Tier B","Mexico","Veracruz","Zona Industrial","Veracruz","veracruz.industrial@zylker.com","+522295551017","USD","Net 30","CRM-MX-5017","Regional pipe and fittings processor with regular USD quotation preference"
"CUS-0018","Lazaro Logistics Resins","Inactive","Distributor","Unassigned","Mexico","Lazaro Cardenas","Centro","Michoacan","lazaro.resins@zylker.com","+527535551018","USD","Prepaid","CRM-MX-5018","Inactive distributor profile kept for potential reactivation after compliance review"
"CUS-0019","Santos Film Industries","Active","Contract Customer","Tier A","Brazil","Santos","Alemoa","Sao Paulo","santos.film@zylker.com","+55135551019","USD","Net 45","CRM-BR-6019","High volume film customer using Santos arrivals for monthly PE and PP shipments"
"CUS-0020","Buenos Aires Packaging SA","Active","Direct Customer","Tier B","Argentina","Buenos Aires","Barracas","Buenos Aires","buenosaires.packaging@zylker.com","+54115551020","USD","Net 30","CRM-AR-7020","Packaging converter with quarterly forecasts and stable PP film requirements"
"CUS-0021","San Antonio Roto Moulders","Active","Spot Customer","Tier C","Chile","San Antonio","Barrancas","Valparaiso","sanantonio.roto@zylker.com","+56355551021","USD","Prepaid","CRM-CL-8021","Roto moulding customer buying smaller lots for tanks and custom molded products"
"CUS-0022","Rotterdam Polymer Trading BV","Active","Distributor","Tier A","Netherlands","Rotterdam","Botlek","South Holland","rotterdam.trading@zylker.com","+31105551022","USD","Net 30","CRM-EU-9022","European distributor using Rotterdam warehousing for multi-country resin supply"
"CUS-0023","Hamburg Technical Plastics","On Hold","Direct Customer","Tier B","Germany","Hamburg","Wilhelmsburg","Hamburg","hamburg.technical@zylker.com","+49405551023","USD","Net 15","CRM-DE-9023","On hold pending revised purchase order terms for technical injection grades"
"CUS-0024","Singapore Polymer Hub","Active","Internal","Tier A","Singapore","Singapore","Jurong East","Central Region","singapore.hub@zylker.com","+6565551024","USD","Intercompany 30","CRM-SG-10024","Internal regional hub coordinating Southeast Asia transshipment and allocation"
"CUS-0025","Dubai Resin Services","Inactive","Spot Customer","Unassigned","United Arab Emirates","Dubai","Jebel Ali","Dubai","dubai.resin@zylker.com","+97145551025","USD","Prepaid","CRM-AE-11025","Inactive spot account retained for historical Middle East quotation records"
