"child_item","current_revision","planned_revision_bump","target_lifecycle_phase","software_load_instruction"
"RES-001249","01","true","Production","No software load required; update resistor value in assembly instructions."
"CAP-000983","01","false","Production","No software load required; verify capacitor placement and derating in inspection notes."
"IND-000377","00","true","Design","No software load required; confirm regulator noise test is rerun after the revision bump."
"CON-000742","02","true","Production","No software load required; update connector callout and mating cable verification."
"SEN-000305","01","true","Production","Load sensor calibration table only if module firmware is present; otherwise verify I2C address."
"FAS-01323","00","false","Production","No software load required; update workstation kitting label for stainless screw usage."
"PCB-000519","01","true","Production","No software load required; release updated board fabrication package before BOM activation."
"CBH-000138","01","false","Production","No software load required; verify harness continuity and strain relief routing."
"BRG-00448","00","false","Production","No software load required; inspect bearing fit and record lot traceability."
"MOT-00165","00","true","Design","No software load required; repeat actuator torque and encoder feedback validation."
"GEA-00094","01","true","Production","No software load required; update gearbox assembly torque sequence in work instructions."
"ENC-00212","00","true","Production","No software load required; confirm gasket compression and standoff clearance."
"PFI-0220","00","false","Production","No software load required; perform packaging fit check with revised carton."
"UMN-0077","01","true","Production","No software load required; publish revised manual PDF to the document portal."
"CMP-0032","01","false","Production","No software load required; attach updated certificate package in the release folder."
"EFW-00206","02","true","Production","Load firmware package FFL-FW-SHUB-2.4.0 using approved programmer and verify SHA256 checksum."
"BLD-00035","01","true","Production","Flash secure bootloader FFL-BLD-STM32-1.8.2 before application firmware and validate boot key provisioning."
"CFG-00065","03","false","Production","Install configuration tool 3.1.0 on validation workstation and verify installer signature."
"RCT-0153","00","false","Production","No software load required; release approved carton dieline and artwork revision."
"PSA-000089","00","false","Design","No software load required; hold lifecycle transition until safety certificate evidence is complete."
"CTL-000058","01","true","Production","Load panel configuration profile after assembly and verify touchscreen diagnostic screens."
"IGD-0043","00","true","Production","No software load required; route installation guide through document control release."
"TPR-0117","00","true","Production","No software load required; update burn in procedure and attach validation checklist."
"SWT-000290","00","false","Design","No software load required; keep switch in design review until duplicate assessment is closed."
"SLB-0399","00","false","Obsolete","No software load required; obsolete inactive label record and block use in new releases."
