"affected_item","new_buys","wip","production_stock","fgi","logistics","spares_depot","disposition_notes"
"RES-001249","Modify_Spec","Rework_Mid_Line","Use_Up","No_Action","No_Action","Use_as_Spare","Use existing resistor stock through current pilot kits and update assembly notes for the revised tolerance requirement."
"CAP-000983","Pivot_to_New_Revision","Rework_Mid_Line","Purge_and_Scrap","Hold","Hold_in_Transit","Recall_Defective","Hold all capacitor affected builds until input ripple verification is complete and scrap suspect production stock from the rejected lot."
"IND-000377","No_Action","Run_Out_to_Milestone","Use_Up","No_Action","No_Action","No_Action","Allow current inductor work in process to run out to the regulator test milestone while procurement confirms DCR data."
"CON-000742","Cancel_Open_POs","Rework_Mid_Line","Return_to_Vendor","Rework","Redirect_to_Hub","Recall_Defective","Cancel open buys for the old connector height and rework assemblies where enclosure clearance is at risk."
"SWT-000290","No_Action","Scrap","Purge_and_Scrap","Hold","Hold_in_Transit","Recall_Defective","Suspect tactile switch configuration is a duplicate and should not be shipped or retained in production stock."
"PCB-000519","Modify_Spec","Rework_Mid_Line","Use_Up","Rework","No_Action","Use_as_Spare","Revise controller board documentation and rework pilot assemblies only where BOM cleanup affects fitted parts."
"MOT-00165","Pivot_to_New_Revision","Run_Out_to_Milestone","Return_to_Vendor","Hold","Hold_in_Transit","No_Action","Route future motor purchases to the new revision and hold finished actuator fixtures pending torque validation."
"GEA-00094","Modify_Spec","Rework_Mid_Line","Use_Up","No_Action","No_Action","Use_as_Spare","Update gearbox work instructions and rework partially built units to the revised bearing press sequence."
"BRG-00448","No_Action","No_Action","Use_Up","No_Action","No_Action","Use_as_Spare","Bearing stock may be used up with lot traceability because fit and inspection requirements are unchanged."
"FAS-01323","Cancel_Open_POs","No_Action","Return_to_Vendor","No_Action","No_Action","Use_as_Spare","Return legacy screw finish stock to vendor and retain approved stainless fasteners for service kits."
"ENC-00212","Pivot_to_New_Revision","Rework_Mid_Line","Use_Up","Rework","Redirect_to_Hub","Use_as_Spare","Move enclosure orders to the revised housing and rework pilot units with gasket compression findings."
"CBH-000138","No_Action","Rework_Mid_Line","Use_Up","Hold","Hold_in_Transit","Use_as_Spare","Rework harness strain relief on units already built and hold finished kits until continuity evidence is attached."
"PSA-000089","Cancel_Open_POs","Scrap","Return_to_Vendor","Hold","Hold_in_Transit","Recall_Defective","Stop power supply purchasing until safety certificates are complete and recall any pilot depot units with this source."
"SEN-000305","Pivot_to_New_Revision","Rework_Mid_Line","Use_Up","Rework","No_Action","Use_as_Spare","Update sensor module revision and rework boards requiring the calibration table or pull up option."
"CTL-000058","Modify_Spec","Rework_Mid_Line","Use_Up","Hold","Redirect_to_Hub","Recall_Defective","Hold control panel shipments at the hub until connector layout and compliance package updates are complete."
"IGD-0043","Modify_Spec","No_Action","Use_Up","Hold","No_Action","Use_as_Spare","Revise the installation guide template and hold packaged document sets awaiting updated mounting instructions."
"TPR-0117","Modify_Spec","No_Action","No_Action","Hold","No_Action","No_Action","Update the burn in procedure before additional validation lots are released from finished goods inspection."
"CMP-0032","Modify_Spec","No_Action","No_Action","Hold","Hold_in_Transit","Recall_Defective","Replace obsolete certificate packages and recall field service copies that do not include the latest conformity evidence."
"UMN-0077","Pivot_to_New_Revision","No_Action","Use_Up","Hold","Redirect_to_Hub","Use_as_Spare","Move manuals to the new revision and redirect pilot shipment documentation to the customer hub for replacement."
"EFW-00206","Pivot_to_New_Revision","Rework_Mid_Line","No_Action","Hold","Hold_in_Transit","Recall_Defective","Hold firmware loaded units until checksum validation passes and reflash work in process where required."
"BLD-00035","Pivot_to_New_Revision","Rework_Mid_Line","No_Action","Hold","Hold_in_Transit","Recall_Defective","Reflash affected pilot units with the approved secure bootloader and block shipment until boot key verification is recorded."
"CFG-00065","Modify_Spec","Rework_Mid_Line","No_Action","Hold","No_Action","Use_as_Spare","Update validation workstations to the signed installer and rework configuration media in active pilot kits."
"RCT-0153","Modify_Spec","No_Action","Use_Up","Hold","Redirect_to_Hub","Use_as_Spare","Use current cartons for internal builds only and redirect customer pilot cartons to the hub for artwork replacement."
"PFI-0220","No_Action","Run_Out_to_Milestone","Use_Up","No_Action","No_Action","Use_as_Spare","Allow foam inserts to run out through the packaging validation milestone with fit check records attached."
"SLB-0399","Cancel_Open_POs","Scrap","Purge_and_Scrap","Hold","Hold_in_Transit","Recall_Defective","Cancel label buys and purge stock because the category is inactive and artwork approval is missing."
