"Category_Code","Category_Name","Category_Type","Description","Display_Order","Status","Created_By_Email"
"1001","New Client Registration","Registration","Used to classify intake records for newly acquired clients.","1","Active","maya.patel@zylker.com"
"1002","Vendor Registration","Registration","Tracks supplier signup and verification category records.","2","Active","ethan.chen@zylker.com"
"1003","Event Attendee Registration","Registration","Groups registrations for conferences workshops and company events.","3","Active","priya.shah@zylker.com"
"1004","Product Warranty Registration","Registration","Classifies customer submissions for product warranty activation.","4","Active","noah.wilson@zylker.com"
"1005","Membership Registration","Registration","Used for member account creation and renewal intake.","5","Active","olivia.brown@zylker.com"
"1006","Training Enrollment Registration","Registration","Organizes learner enrollment requests for scheduled training programs.","6","Active","liam.davis@zylker.com"
"1007","Application Screening Evaluation","Evaluation","Supports initial review of submitted applications against eligibility criteria.","7","Active","ava.martin@zylker.com"
"1008","Document Completeness Evaluation","Evaluation","Used when checking submitted documents for accuracy and completeness.","8","Active","lucas.garcia@zylker.com"
"1009","Service Quality Evaluation","Evaluation","Classifies feedback reviews related to service delivery quality.","9","Active","sophia.lee@zylker.com"
"1010","Supplier Performance Evaluation","Evaluation","Groups periodic assessments of supplier delivery quality and responsiveness.","10","Active","benjamin.kim@zylker.com"
"1011","Candidate Interview Evaluation","Evaluation","Used to organize interview scorecards and hiring assessment notes.","11","Active","emma.rodriguez@zylker.com"
"1012","Compliance Evidence Evaluation","Evaluation","Supports review of compliance artifacts and supporting documentation.","12","Active","jack.thompson@zylker.com"
"1013","Operational Risk Assessment","Risk Assessment","Classifies risks affecting process continuity resource availability and controls.","13","Active","isabella.clark@zylker.com"
"1014","Financial Exposure Assessment","Risk Assessment","Used to assess budget exposure payment risk and financial impact.","14","Active","mason.hall@zylker.com"
"1015","Cybersecurity Risk Assessment","Risk Assessment","Groups reviews of access threats data exposure and system vulnerabilities.","15","Active","mia.allen@zylker.com"
"1016","Project Delivery Risk Assessment","Risk Assessment","Tracks schedule scope and dependency risks across active projects.","16","Active","logan.young@zylker.com"
"1017","Vendor Risk Assessment","Risk Assessment","Classifies third party reliability compliance and service continuity risks.","17","Active","grace.scott@zylker.com"
"1018","Environmental Impact Risk","Risk Assessment","Used for assessing environmental operational and sustainability related risks.","18","Inactive","daniel.king@zylker.com"
"1019","Employee Onboarding","Onboarding","Groups tasks for bringing new employees into the organization.","19","Active","harper.adams@zylker.com"
"1020","Customer Onboarding","Onboarding","Classifies setup records for newly signed customers and accounts.","20","Active","arjun.menon@zylker.com"
"1021","Partner Onboarding","Onboarding","Used for partner enablement setup documentation and orientation steps.","21","Active","chloe.wright@zylker.com"
"1022","System Access Onboarding","Onboarding","Tracks provisioning of applications permissions and login credentials.","22","Active","ryan.moore@zylker.com"
"1023","Policy Orientation","Onboarding","Organizes orientation items for policy acknowledgement and employee guidance.","23","Active","nina.roy@zylker.com"
"1024","Role Induction","Onboarding","Supports department specific induction plans for new role assignments.","24","Active","omar.hassan@zylker.com"
"1025","Quarterly Performance Review","Performance Review","Used for quarterly employee performance discussions and progress tracking.","25","Active","leah.carter@zylker.com"
"1026","Annual Performance Review","Performance Review","Classifies year end review records for goals competencies and ratings.","26","Active","maya.patel@zylker.com"
"1027","Probation Performance Review","Performance Review","Groups evaluations for employees nearing completion of probation periods.","27","Active","ethan.chen@zylker.com"
"1028","Manager Feedback Review","Performance Review","Used to capture manager observations coaching notes and improvement areas.","28","Active","priya.shah@zylker.com"
"1029","Goal Achievement Review","Performance Review","Classifies performance reviews focused on goal completion and business outcomes.","29","Active","noah.wilson@zylker.com"
"1030","Skills Competency Review","Performance Review","Tracks assessment of job skills technical capabilities and development needs.","30","Active","olivia.brown@zylker.com"
"1031","General Inquiry","General","Used for miscellaneous questions that do not fit specialized categories.","31","Active","liam.davis@zylker.com"
"1032","Administrative Update","General","Classifies routine internal updates related to administrative operations.","32","Active","ava.martin@zylker.com"
"1033","Knowledge Base Topic","General","Groups reusable help articles procedures and reference information.","33","Active","lucas.garcia@zylker.com"
"1034","Internal Communication","General","Used for company notices team updates and cross functional messages.","34","Active","sophia.lee@zylker.com"
"1035","Facility Service Request","General","Classifies requests related to workplace facilities maintenance and supplies.","35","Active","benjamin.kim@zylker.com"
"1036","Policy Exception Request","General","Used for exceptional approvals where standard policy does not apply.","36","Inactive","emma.rodriguez@zylker.com"
"1037","Data Privacy Registration","Registration","Tracks registration of privacy requests consent records and data handling cases.","37","Active","jack.thompson@zylker.com"
"1038","Audit Readiness Evaluation","Evaluation","Used to review preparedness for internal external and regulatory audits.","38","Active","isabella.clark@zylker.com"
"1039","Health and Safety Risk","Risk Assessment","Classifies workplace safety concerns hazards and mitigation assessments.","39","Active","mason.hall@zylker.com"
"1040","Contract Onboarding","Onboarding","Groups onboarding actions for newly approved contracts and service agreements.","40","Active","mia.allen@zylker.com"
"1041","Performance Improvement Review","Performance Review","Used for structured reviews tied to improvement plans and coaching milestones.","41","Active","logan.young@zylker.com"
"1042","Customer Satisfaction Evaluation","Evaluation","Classifies survey results and sentiment reviews from customer interactions.","42","Active","grace.scott@zylker.com"
"1043","Asset Registration","Registration","Used to record newly acquired equipment software licenses and fixed assets.","43","Active","daniel.king@zylker.com"
"1044","Change Management Risk","Risk Assessment","Tracks risk reviews for process system and organizational changes.","44","Active","harper.adams@zylker.com"
"1045","New Hire Checklist","Onboarding","Organizes required onboarding checklist items for incoming staff members.","45","Active","arjun.menon@zylker.com"
"1046","Leadership Performance Review","Performance Review","Classifies executive and manager reviews focused on leadership effectiveness.","46","Active","chloe.wright@zylker.com"
"1047","General Announcement","General","Used for broad announcements that apply across departments or locations.","47","Active","ryan.moore@zylker.com"
"1048","License Registration","Registration","Tracks registration and renewal of business and software licenses.","48","Inactive","nina.roy@zylker.com"
"1049","Third Party Risk Assessment","Risk Assessment","Classifies risk reviews for external providers contractors and service partners.","49","Active","omar.hassan@zylker.com"
"1050","Team Performance Review","Performance Review","Used for evaluating department or project team performance outcomes.","50","Active","leah.carter@zylker.com"
