"Profile_Code","Customer","Product","Application_Category","Resin_Subcategory","Monthly_Consumption_Tons","Calculated_Tier","Tier_Rule_Used","Effective_From","Effective_To","Notes"
"CPP-0001","Southern Film Converters Pty Ltd","PE-FILM-LLD-001","Film","PE","720.50","Tier A","CTR-001","01-Jul-2026","31-Jul-2026","Strategic PE film profile aligned to monthly forecast and blanket delivered pricing."
"CPP-0002","Harbour Packaging Supplies","PE-FILM-HD-002","Film","PE","325.00","Tier B","CTR-002","03-Jul-2026","31-Jul-2026","Distributor film grade profile for regular Sydney packaging converter replenishment."
"CPP-0003","Golden State Film Products","PE-FILM-MD-003","Film","PE","145.75","Tier C","CTR-003","04-Jul-2026","","Trial shrink film volume for a smaller production lane with monthly review planned."
"CPP-0004","Santos Film Industries","PP-FILM-BOPP-005","Film","PP","520.25","Tier A","CTR-019","20-Jul-2026","31-Jul-2026","High volume PP film requirement supporting monthly Santos import planning."
"CPP-0005","Buenos Aires Packaging SA","PP-FILM-CPP-004","Film","PP","240.00","Tier B","CTR-020","21-Jul-2026","31-Jul-2026","Mid volume cast film profile linked to recurring palletized packaging orders."
"CPP-0006","North Island Packaging Co","PP-FILM-CPP-004","Film","PP","96.40","Tier C","CTR-021","27-Jul-2026","31-Jul-2026","Current week PP film demand for seasonal converter uplift at Te Rapa."
"CPP-0007","Kiwi Pipe Systems Ltd","PVC-PIPE-RIG-006","Pipe & Fittings","PVC","890.00","Tier A","CTR-004","06-Jul-2026","31-Jul-2026","Large PVC pipe compound profile tied to infrastructure project call offs."
"CPP-0008","Savannah Pipe Fabricators","PVC-FIT-INJ-007","Pipe & Fittings","PVC","480.50","Tier B","CTR-005","07-Jul-2026","31-Jul-2026","Medium PVC fittings profile retained while project documentation is finalized."
"CPP-0009","Veracruz Industrial Plastics","PVC-PIPE-RIG-006","Pipe & Fittings","PVC","160.25","Tier C","CTR-006","08-Jul-2026","","Regional PVC pipe profile with intermittent municipal project demand."
"CPP-0010","Houston Polymer Solutions","PE-PIPE-HD-008","Pipe & Fittings","PE","860.00","Tier A","CTR-022","28-Jul-2026","31-Jul-2026","Current week PE pressure pipe profile for Gulf Coast utility schedules."
"CPP-0011","Kiwi Pipe Systems Ltd","PE-PIPE-MD-009","Pipe & Fittings","PE","410.60","Tier B","CTR-023","29-Jul-2026","31-Jul-2026","Medium PE pipe resin demand for project store replenishment this week."
"CPP-0012","Pacific Resin Distribution","PE-BLOW-HM-010","Blow Moulding","PE","612.40","Tier A","CTR-007","09-Jul-2026","31-Jul-2026","High volume blow moulding resin profile for Queensland distributor container programs."
"CPP-0013","Empire Packaging Group","PE-BLOW-DRUM-011","Blow Moulding","PE","265.80","Tier B","CTR-008","10-Jul-2026","31-Jul-2026","Mid volume drum and jerrycan resin profile serving East Coast packaging customers."
"CPP-0014","Vancouver Resin Importers","PE-BLOW-HM-010","Blow Moulding","PE","88.75","Tier C","CTR-009","11-Jul-2026","","Entry volume PE blow moulding profile used for mixed Canadian import containers."
"CPP-0015","Adelaide Roto Plastics","PE-ROTO-GEN-013","Roto Moulding","PE","315.00","Tier A","CTR-010","12-Jul-2026","31-Jul-2026","Large roto moulding profile for tank production with scheduled bagged deliveries."
"CPP-0016","San Antonio Roto Moulders","PE-ROTO-UV-014","Roto Moulding","PE","168.45","Tier B","CTR-011","13-Jul-2026","31-Jul-2026","Medium UV stabilized roto profile for outdoor tank and custom part orders."
"CPP-0017","Adelaide Roto Plastics","PE-ROTO-GEN-013","Roto Moulding","PE","58.25","Tier C","CTR-012","14-Jul-2026","31-Jul-2026","Small campaign roto profile maintained for custom molded product runs."
"CPP-0018","Canterbury Moulding Works","PP-INJ-HOMO-015","Injection Moulding","PP","620.70","Tier A","CTR-013","15-Jul-2026","31-Jul-2026","High volume PP injection moulding profile for appliance housing production."
"CPP-0019","Houston Polymer Solutions","PP-INJ-COP-016","Injection Moulding","PP","255.30","Tier B","CTR-014","16-Jul-2026","31-Jul-2026","Mid volume impact copolymer profile for industrial component moulding."
"CPP-0020","Montreal Compounding Labs","PP-INJ-SPEC-025","Injection Moulding","PP","92.10","Tier C","CTR-015","17-Jul-2026","","Specialty PP injection profile for smaller technical moulding campaigns."
"CPP-0021","Tasman Specialty Resins","PP-OTHER-FIB-019","Other","PP","420.00","Tier A","CTR-016","18-Jul-2026","31-Jul-2026","High volume specialty PP fiber profile for spot campaign allocation."
"CPP-0022","Rotterdam Polymer Trading BV","PP-OTHER-FIB-019","Other","PP","186.65","Tier B","CTR-017","27-Jul-2026","31-Jul-2026","Current week specialty PP profile for European hub distributor transfers."
"CPP-0023","Singapore Polymer Hub","PP-OTHER-FIB-019","Other","PP","74.20","Tier C","CTR-018","30-Jul-2026","31-Jul-2026","Current day internal hub profile for smaller PP nonwoven allocation planning."
"CPP-0024","Montreal Compounding Labs","OTH-INJ-ENG-018","Injection Moulding","Other","220.00","Tier B","CTR-024","30-Jul-2026","31-Jul-2026","Current day specialty engineering resin profile for controlled compounding orders."
"CPP-0025","Tasman Specialty Resins","OTH-OTHER-ADD-022","Other","Other","24.00","Unassigned","","30-Jul-2026","","Current day additive masterbatch profile without an active tier rule for the resin category."
