"Quote_Number","Pricing_Request","Customer","Quote_Date","Valid_Until","Quote_Status","Quote_Currency","Payment_Terms","Total_Options","Quote_Title","Quote_Summary","Quote_HTML_Snapshot","Generated_By","Generated_On","Notes"
"5000","1000","Southern Film Converters Pty Ltd","02-Jul-2026","15-Jul-2026","Accepted","AUD","Net 30","2","July PE Film Delivered Pricing","Accepted July delivered pricing for Dandenong South PE film shipments under the Tier A blanket program.","<h1>Quote 5000</h1><p>Accepted July pricing for Dandenong South PE film deliveries.</p>","pricing.documents@zylker.com","02-Jul-2026 10:05:00","Customer confirmed pricing within standard July validity window."
"5001","1000","Southern Film Converters Pty Ltd","03-Jul-2026","15-Jul-2026","Generated","AUD","Net 30","2","Dandenong South Seabulk Film Quote","Generated quote snapshot for standard seabulk LLDPE film resin deliveries to the main Melbourne branch.","<h1>Quote 5001</h1><p>Generated seabulk film quote for Dandenong South July demand.</p>","lisa.chen@zylker.com","03-Jul-2026 09:42:00","Prepared for internal comparison against the accepted customer version."
"5002","1003","Canterbury Moulding Works","05-Jul-2026","14-Jul-2026","Accepted","NZD","Net 30","1","Hornby PP Injection Moulding Quote","Accepted palletized PP injection moulding pricing for Canterbury appliance component production.","<h1>Quote 5002</h1><p>Accepted PP injection quote for Hornby plant deliveries.</p>","pricing.approvals@zylker.com","05-Jul-2026 11:30:00","Standard margin and New Zealand direct delivery terms applied."
"5003","1003","Canterbury Moulding Works","06-Jul-2026","14-Jul-2026","Expired","NZD","Net 30","1","Hornby July Injection Resin Alternate","Alternate Hornby quote snapshot retained after the validity period lapsed without purchase order selection.","<h1>Quote 5003</h1><p>Expired alternate PP injection quote for Hornby review.</p>","pricing.documents@zylker.com","06-Jul-2026 14:18:00","Expired alternate version kept for July comparison history."
"5004","1004","Pacific Resin Distribution","07-Jul-2026","20-Jul-2026","Generated","AUD","Net 45","2","Lytton Seabulk Distributor Quote","Generated quote for Queensland distributor heavy duty seabulk program into the Lytton warehouse.","<h1>Quote 5004</h1><p>Generated Lytton seabulk distributor pricing for July imports.</p>","commercial.manager@zylker.com","07-Jul-2026 14:12:00","Quote generated from approved Queensland distributor request."
"5005","1004","Pacific Resin Distribution","08-Jul-2026","20-Jul-2026","Accepted","AUD","Net 45","2","Pacific Resin Lytton July Quote","Accepted delivered pricing for heavy duty liner seabulk shipments to the Lytton warehouse.","<h1>Quote 5005</h1><p>Accepted Queensland seabulk pricing with Net 45 terms.</p>","sarah.nguyen@zylker.com","08-Jul-2026 16:25:00","Customer accepted the seabulk option for July stock replenishment."
"5006","1007","Houston Polymer Solutions","10-Jul-2026","24-Jul-2026","Generated","USD","Net 30","1","Pasadena Bulk Bag Resin Quote","Generated one ton bulk bag pricing for Houston Pasadena production requirements.","<h1>Quote 5006</h1><p>Generated Gulf Coast bulk bag quote for Pasadena plant deliveries.</p>","finance.manager@zylker.com","10-Jul-2026 09:05:00","Approved request converted to customer ready quote document."
"5007","1007","Houston Polymer Solutions","11-Jul-2026","24-Jul-2026","Declined","USD","Net 30","1","Houston Pasadena Alternate Quote","Alternate Pasadena plant quote declined after customer selected a later shipment timing.","<h1>Quote 5007</h1><p>Declined alternate Houston bulk bag pricing version.</p>","pricing.documents@zylker.com","11-Jul-2026 12:40:00","Declined version retained for account price history."
"5008","1008","Golden State Film Products","11-Jul-2026","31-Jul-2026","Generated","USD","Net 45","2","Vernon Food Grade Film Quote","Generated premium film resin quote using food grade liner configuration for Vernon production.","<h1>Quote 5008</h1><p>Generated West Coast film quote with food grade liner and storage allowance.</p>","commercial.manager@zylker.com","11-Jul-2026 13:22:00","Prepared after approval of West Coast blanket storage allowance."
"5009","1008","Golden State Film Products","14-Jul-2026","31-Jul-2026","Accepted","USD","Net 45","2","Golden State Premium Film Quote","Accepted premium film resin pricing for July warehouse appointment planning at Vernon.","<h1>Quote 5009</h1><p>Accepted Vernon premium film resin pricing for July call offs.</p>","mia.roberts@zylker.com","14-Jul-2026 10:15:00","Customer confirmed quote for premium food grade liner shipments."
"5010","1012","Veracruz Industrial Plastics","17-Jul-2026","30-Jul-2026","Generated","USD","Net 30","1","Veracruz PVC Pipe Resin Quote","Generated regional PVC pipe resin pricing with port delivery costs included for Veracruz plant production.","<h1>Quote 5010</h1><p>Generated Veracruz pipe and fittings quote with port delivery cost inclusion.</p>","finance.manager@zylker.com","17-Jul-2026 10:05:00","Approved pipe and fittings request converted to quote document."
"5011","1012","Veracruz Industrial Plastics","18-Jul-2026","30-Jul-2026","Accepted","USD","Net 30","1","Veracruz Industrial July Pipe Quote","Accepted July pipe resin pricing for Zona Industrial production schedule.","<h1>Quote 5011</h1><p>Accepted Veracruz PVC pipe resin quote for July plant supply.</p>","ava.martin@zylker.com","18-Jul-2026 09:35:00","Customer accepted the regional port delivery price before month end validity."
"5012","1016","Rotterdam Polymer Trading BV","23-Jul-2026","31-Jul-2026","Generated","USD","Net 30","1","Botlek Hub Distribution Quote","Generated European hub distribution quote for slip sheet containers moving through Rotterdam stock.","<h1>Quote 5012</h1><p>Generated Botlek hub quote for July distributor transfer pricing.</p>","pricing.approvals@zylker.com","23-Jul-2026 16:55:00","Approved request converted to quote snapshot for hub allocation planning."
