"Process_Area","Category","Criteria","Weight_Percentage","Effective_From","Effective_To","Status","Notes"
"Registration","New Client Registration","Identity Verification Completeness","15.00","01-Aug-2026","31-Aug-2026","Active","Core identity verification carries the highest intake weight for new client registration records."
"Registration","Vendor Registration","Tax and Banking Detail Completeness","14.00","02-Aug-2026","31-Aug-2026","Active","Tax and banking completeness is weighted strongly because it affects vendor setup readiness."
"Registration","Event Attendee Registration","Attendee Contact Accuracy","8.00","03-Aug-2026","30-Aug-2026","Active","Contact accuracy supports event communication but has a moderate registration impact."
"Registration","Product Warranty Registration","Proof of Purchase Validity","12.00","04-Aug-2026","31-Aug-2026","Active","Purchase evidence must align with warranty requests before activation is accepted."
"Registration","Membership Registration","Membership Eligibility Confirmation","10.00","05-Aug-2026","31-Aug-2026","Active","Eligibility confirmation receives standard weighting for membership account decisions."
"Registration","Training Enrollment Registration","Prerequisite Completion Status","9.00","06-Aug-2026","28-Aug-2026","Active","Prerequisite completion is important for enrollment approval and scheduling readiness."
"Registration","Data Privacy Registration","Consent Record Verification","11.00","06-Aug-2026","31-Aug-2026","Active","Consent verification is weighted to ensure privacy registrations have valid supporting records."
"Registration","Asset Registration","Asset Tag Accuracy","12.00","08-Aug-2026","31-Aug-2026","Active","Asset tag accuracy is weighted highly to protect inventory and ownership records."
"Registration","License Registration","License Expiry Validation","9.00","09-Aug-2026","31-Aug-2026","Inactive","Inactive weightage retained for license registration criteria that are not currently used."
"Evaluation","Application Screening Evaluation","Eligibility Match Score","9.00","01-Aug-2026","31-Aug-2026","Active","Eligibility match provides a baseline score for application screening decisions."
"Evaluation","Document Completeness Evaluation","Required Document Coverage","10.00","03-Aug-2026","31-Aug-2026","Active","Required document coverage is weighted heavily for reliable evaluation outcomes."
"Evaluation","Service Quality Evaluation","Service Experience Rating","8.00","04-Aug-2026","30-Aug-2026","Active","Service experience rating contributes to overall service quality evaluation results."
"Evaluation","Supplier Performance Evaluation","Delivery Reliability Score","12.00","05-Aug-2026","31-Aug-2026","Active","Delivery reliability receives the highest evaluation weight for supplier performance reviews."
"Evaluation","Candidate Interview Evaluation","Interview Competency Rating","8.00","06-Aug-2026","29-Aug-2026","Active","Interview competency is weighted to support consistent hiring assessment outcomes."
"Evaluation","Compliance Evidence Evaluation","Evidence Traceability Check","10.00","06-Aug-2026","31-Aug-2026","Active","Traceable evidence is essential for compliance evaluation and audit readiness."
"Evaluation","General Inquiry","Inquiry Resolution Quality","5.00","07-Aug-2026","31-Aug-2026","Active","Inquiry resolution quality has a lighter weight for general service evaluations."
"Evaluation","Administrative Update","Update Accuracy Confirmation","5.00","08-Aug-2026","31-Aug-2026","Active","Administrative update accuracy receives a modest evaluation weighting."
"Evaluation","Knowledge Base Topic","Article Usefulness Rating","5.00","09-Aug-2026","31-Aug-2026","Active","Article usefulness is included as a supporting measure for knowledge quality reviews."
"Evaluation","Internal Communication","Message Clarity Rating","5.00","10-Aug-2026","31-Aug-2026","Active","Message clarity contributes to evaluation scoring for internal communication records."
"Evaluation","Policy Exception Request","Exception Justification Completeness","6.00","11-Aug-2026","31-Aug-2026","Inactive","Inactive weightage retained because the policy exception criterion is not part of current scoring."
"Evaluation","Audit Readiness Evaluation","Audit Evidence Readiness Score","10.00","12-Aug-2026","31-Aug-2026","Active","Audit evidence readiness is weighted strongly for evaluation cycles involving control evidence."
"Evaluation","Customer Satisfaction Evaluation","Customer Sentiment Rating","7.00","13-Aug-2026","31-Aug-2026","Active","Customer sentiment provides a meaningful supporting score for satisfaction evaluations."
"Risk Assessment","Operational Risk Assessment","Process Continuity Impact","12.00","01-Aug-2026","31-Aug-2026","Active","Process continuity impact is a major driver in operational risk scoring."
"Risk Assessment","Financial Exposure Assessment","Estimated Financial Exposure","10.00","02-Aug-2026","31-Aug-2026","Active","Financial exposure is weighted to reflect potential cost and budget impact."
"Risk Assessment","Cybersecurity Risk Assessment","Access Control Maturity","13.00","03-Aug-2026","31-Aug-2026","Active","Access control maturity receives strong weighting in cybersecurity risk assessment."
"Risk Assessment","Project Delivery Risk Assessment","Schedule Dependency Risk","11.00","04-Aug-2026","31-Aug-2026","Active","Schedule dependency risk is important for project delivery and milestone reliability."
"Risk Assessment","Vendor Risk Assessment","Third Party Control Adequacy","14.00","05-Aug-2026","31-Aug-2026","Active","Third party control adequacy has the highest vendor risk weighting for August reviews."
"Risk Assessment","Environmental Impact Risk","Environmental Mitigation Readiness","5.00","06-Aug-2026","31-Aug-2026","Inactive","Inactive weightage retained for environmental impact risk criteria that are not currently scored."
"Risk Assessment","Facility Service Request","Service Request Priority Score","6.00","06-Aug-2026","31-Aug-2026","Active","Service request priority has a limited but useful role in risk triage."
"Risk Assessment","Health and Safety Risk","Safety Hazard Severity","12.00","07-Aug-2026","31-Aug-2026","Active","Safety hazard severity is weighted highly due to potential workplace impact."
"Risk Assessment","Change Management Risk","Change Impact Severity","9.00","08-Aug-2026","31-Aug-2026","Active","Change impact severity supports risk scoring for process and system changes."
"Risk Assessment","Third Party Risk Assessment","Supplier Criticality Rating","8.00","09-Aug-2026","31-Aug-2026","Active","Supplier criticality provides supporting context for third party dependency risk."
"Onboarding","Employee Onboarding","Employment Documentation Complete","14.00","01-Aug-2026","31-Aug-2026","Active","Employment documentation carries significant weight in onboarding readiness scoring."
"Onboarding","Customer Onboarding","Account Setup Readiness","13.00","03-Aug-2026","31-Aug-2026","Active","Account setup readiness is weighted strongly for customer launch preparation."
"Onboarding","Partner Onboarding","Partner Enablement Completion","10.00","04-Aug-2026","31-Aug-2026","Active","Partner enablement completion has a standard weighting for onboarding progress."
"Onboarding","System Access Onboarding","Access Provisioning Accuracy","12.00","05-Aug-2026","31-Aug-2026","Active","Access provisioning accuracy is important for secure and timely onboarding."
"Onboarding","Policy Orientation","Policy Acknowledgement Completion","11.00","06-Aug-2026","31-Aug-2026","Active","Policy acknowledgements are weighted to ensure required orientation steps are complete."
"Onboarding","Role Induction","Role Readiness Feedback","8.00","06-Aug-2026","30-Aug-2026","Active","Role readiness feedback provides qualitative support for onboarding decisions."
"Onboarding","Contract Onboarding","Contract Activation Checklist","12.00","07-Aug-2026","31-Aug-2026","Active","Contract activation checklist completion is weighted highly for service readiness."
"Onboarding","New Hire Checklist","New Hire Task Completion","13.00","08-Aug-2026","31-Aug-2026","Active","New hire task completion is a key onboarding progress indicator."
"Onboarding","General Announcement","Announcement Reach Confirmation","7.00","09-Aug-2026","31-Aug-2026","Active","Announcement reach confirmation has a lighter onboarding communication weight."
"Performance Review","Quarterly Performance Review","Quarterly Goal Progress Rating","14.00","01-Aug-2026","31-Aug-2026","Active","Quarterly goal progress receives strong weighting in performance review scoring."
"Performance Review","Annual Performance Review","Annual Competency Rating","15.00","03-Aug-2026","31-Aug-2026","Active","Annual competency rating has the highest performance review weighting for the month."
"Performance Review","Probation Performance Review","Probation Milestone Completion","10.00","04-Aug-2026","31-Aug-2026","Active","Probation milestone completion is weighted to support early performance decisions."
"Performance Review","Manager Feedback Review","Coaching Quality Notes","8.00","05-Aug-2026","31-Aug-2026","Active","Coaching quality notes provide qualitative context for manager feedback reviews."
"Performance Review","Goal Achievement Review","Goal Completion Percentage","13.00","06-Aug-2026","31-Aug-2026","Active","Goal completion percentage is a major quantitative performance review factor."
"Performance Review","Skills Competency Review","Skills Proficiency Rating","14.00","06-Aug-2026","31-Aug-2026","Active","Skills proficiency receives strong weighting for competency based review cycles."
"Performance Review","Performance Improvement Review","Improvement Plan Progress","11.00","07-Aug-2026","31-Aug-2026","Active","Improvement plan progress is weighted to track agreed corrective actions."
"Performance Review","Leadership Performance Review","Leadership Effectiveness Rating","9.00","08-Aug-2026","31-Aug-2026","Active","Leadership effectiveness contributes a focused score for manager and executive reviews."
"Performance Review","Team Performance Review","Team Collaboration Rating","6.00","09-Aug-2026","31-Aug-2026","Active","Team collaboration has a supporting weight in overall performance review scoring."
